phase	positive_probability	sign_agreement	magnitude_sigma	magnitude_rho	center_sd	center_rho	dyadic_weight	dyadic_rho	method	repetitions	n_perm	rejection_rate	wilson_low	wilson_high	median_p_value	mean_observed_profile_weight	mean_realized_sign_agreement	mean_realized_positive_probability	mean_realized_log_radius_sd	mean_realized_log_radius_correlation	mean_realized_center_correlation
seed2	0.5	0.75	0.35	0.55	0.0	0.8	0.15	0.5	naive_selected	400	199	0.805	0.7633481418022936	0.8408493586537855	0.01	0.5922678085289299	0.7456666666666666	0.4985833333333333	0.34453782425993096	0.5455939466273485	0.7694223326491012
seed2	0.5	0.75	0.35	0.55	0.0	0.8	0.15	0.5	nested_max	400	199	0.7925	0.7500694660392275	0.829365841775209	0.01	0.5922678085289299	0.7456666666666666	0.4985833333333333	0.34453782425993096	0.5455939466273485	0.7694223326491012
seed2	0.5	0.75	0.35	0.55	0.0	0.8	0.15	0.5	cv_retrained	400	199	0.8675	0.8307536803033191	0.897254783360973	0.005	0.5922678085289299	0.7456666666666666	0.4985833333333333	0.34453782425993096	0.5455939466273485	0.7694223326491012
seed2	0.5	0.75	0.35	0.55	0.0	0.8	0.15	0.5	cv_frozen	400	199	0.88	0.8444860470597602	0.9082846092461745	0.005	0.5922678085289299	0.7456666666666666	0.4985833333333333	0.34453782425993096	0.5455939466273485	0.7694223326491012
seed2	0.5	0.75	0.35	0.55	1.0	0.8	0.15	0.5	profile	400	199	0.715	0.6688804833361408	0.7570292301001116	0.015	0.574391174106984	0.7472916666666666	0.4979375	0.34504610654744056	0.5430669434196171	0.7488784723146799
seed2	0.5	0.75	0.35	0.55	1.0	0.8	0.15	0.5	mantel	400	199	0.9325	0.9035733345645931	0.9531985308362403	0.005	0.574391174106984	0.7472916666666666	0.4979375	0.34504610654744056	0.5430669434196171	0.7488784723146799
seed2	0.5	0.75	0.35	0.55	1.0	0.8	0.15	0.5	naive_selected	400	199	0.8225	0.782040489241534	0.8568240809128447	0.01	0.574391174106984	0.7472916666666666	0.4979375	0.34504610654744056	0.5430669434196171	0.7488784723146799
seed2	0.5	0.75	0.35	0.55	1.0	0.8	0.15	0.5	nested_max	400	199	0.755	0.710557459419624	0.7945912704698848	0.01	0.574391174106984	0.7472916666666666	0.4979375	0.34504610654744056	0.5430669434196171	0.7488784723146799
seed2	0.5	0.75	0.35	0.55	1.0	0.8	0.15	0.5	cv_retrained	400	199	0.8275	0.7874046544953168	0.8613647927157191	0.01	0.574391174106984	0.7472916666666666	0.4979375	0.34504610654744056	0.5430669434196171	0.7488784723146799
seed2	0.5	0.75	0.35	0.55	1.0	0.8	0.15	0.5	cv_frozen	400	199	0.87	0.8334921544792615	0.8994687477133592	0.005	0.574391174106984	0.7472916666666666	0.4979375	0.34504610654744056	0.5430669434196171	0.7488784723146799
seed2	0.5	0.75	0.85	0.55	0.0	0.8	0.15	0.5	profile	400	199	0.705	0.658528950995276	0.7475710083276624	0.015	0.5812018975426556	0.75	0.49766666666666665	0.8368624577283873	0.5421181920073243	0.7673965295799086
seed2	0.5	0.75	0.85	0.55	0.0	0.8	0.15	0.5	mantel	400	199	0.7625	0.7184235572819022	0.8015824881925919	0.01	0.5812018975426556	0.75	0.49766666666666665	0.8368624577283873	0.5421181920073243	0.7673965295799086
seed2	0.5	0.75	0.85	0.55	0.0	0.8	0.15	0.5	naive_selected	400	199	0.72	0.6740660138899559	0.7617485766029535	0.015	0.5812018975426556	0.75	0.49766666666666665	0.8368624577283873	0.5421181920073243	0.7673965295799086
seed2	0.5	0.75	0.85	0.55	0.0	0.8	0.15	0.5	nested_max	400	199	0.705	0.658528950995276	0.7475710083276624	0.015	0.5812018975426556	0.75	0.49766666666666665	0.8368624577283873	0.5421181920073243	0.7673965295799086
seed2	0.5	0.75	0.85	0.55	0.0	0.8	0.15	0.5	cv_retrained	400	199	0.8275	0.7874046544953168	0.8613647927157191	0.01	0.5812018975426556	0.75	0.49766666666666665	0.8368624577283873	0.5421181920073243	0.7673965295799086
seed2	0.5	0.75	0.85	0.55	0.0	0.8	0.15	0.5	cv_frozen	400	199	0.8275	0.7874046544953168	0.8613647927157191	0.005	0.5812018975426556	0.75	0.49766666666666665	0.8368624577283873	0.5421181920073243	0.7673965295799086
seed2	0.5	0.75	0.85	0.55	1.0	0.8	0.15	0.5	profile	400	199	0.69	0.643049046352087	0.7333362818008802	0.015	0.5548155967266379	0.7515833333333335	0.5017083333333333	0.8406347448452252	0.5446515949262831	0.768950475821135
seed2	0.5	0.75	0.85	0.55	1.0	0.8	0.15	0.5	mantel	400	199	0.7875	0.7447739406814162	0.8247564900763633	0.005	0.5548155967266379	0.7515833333333335	0.5017083333333333	0.8406347448452252	0.5446515949262831	0.768950475821135
seed2	0.5	0.75	0.85	0.55	1.0	0.8	0.15	0.5	naive_selected	400	199	0.735	0.6896629392432349	0.7758662824196457	0.01	0.5548155967266379	0.7515833333333335	0.5017083333333333	0.8406347448452252	0.5446515949262831	0.768950475821135
seed2	0.5	0.75	0.85	0.55	1.0	0.8	0.15	0.5	nested_max	400	199	0.7025	0.6559450648860605	0.7452024559085495	0.015	0.5548155967266379	0.7515833333333335	0.5017083333333333	0.8406347448452252	0.5446515949262831	0.768950475821135
seed2	0.5	0.75	0.85	0.55	1.0	0.8	0.15	0.5	cv_retrained	400	199	0.8225	0.782040489241534	0.8568240809128447	0.01	0.5548155967266379	0.7515833333333335	0.5017083333333333	0.8406347448452252	0.5446515949262831	0.768950475821135
seed2	0.5	0.75	0.85	0.55	1.0	0.8	0.15	0.5	cv_frozen	400	199	0.8425	0.8035652075632727	0.8749188708177342	0.01	0.5548155967266379	0.7515833333333335	0.5017083333333333	0.8406347448452252	0.5446515949262831	0.768950475821135
