phase	node_strength	dyad_strength	raw_strength_ratio	fisher_z_strength_ratio	dyadic_weight	node_weight	repetitions	n_perm	profile_power	mantel_power	power_difference	paired_standard_error	paired_ci_low	paired_ci_high	profile_only_rejections	mantel_only_rejections	both_reject	neither_reject	maximum_huber_cdelta_pearson_p_difference
refined	0.55	0.45	1.2222222222222223	1.275801440362639	0.3	0.7	400	199	0.22	0.255	-0.035	0.01688639617976108	-0.06809733651233171	-0.0019026634876682866	16	30	72	282	0.0
refined	0.55	0.45	1.2222222222222223	1.275801440362639	0.325	0.675	400	199	0.2025	0.2375	-0.035	0.017253454849990236	-0.06881677150598087	-0.0011832284940191395	17	31	64	288	0.0
refined	0.55	0.45	1.2222222222222223	1.275801440362639	0.35	0.65	400	199	0.18	0.2275	-0.0475	0.017359803626622254	-0.08152521510817962	-0.013474784891820385	15	34	57	294	0.0
refined	0.55	0.65	0.8461538461538461	0.7976039539662141	0.1	0.9	400	199	0.5425	0.4575	0.085	0.019885322857899675	0.04602476719851664	0.12397523280148337	50	16	167	167	0.0
refined	0.55	0.65	0.8461538461538461	0.7976039539662141	0.125	0.875	400	199	0.49	0.4225	0.0675	0.01825355734890392	0.03172302759614832	0.1032769724038517	41	14	155	190	0.0
refined	0.55	0.65	0.8461538461538461	0.7976039539662141	0.15	0.85	400	199	0.4475	0.405	0.0425	0.017392256941057404	0.008411176395527492	0.07658882360447251	33	16	146	205	0.0
refined	0.55	0.65	0.8461538461538461	0.7976039539662141	0.175	0.825	400	199	0.3825	0.3625	0.02	0.017671465750027242	-0.014636072870053394	0.0546360728700534	29	21	124	226	0.0
refined	0.55	0.65	0.8461538461538461	0.7976039539662141	0.2	0.8	400	199	0.3575	0.33	0.0275	0.017105287256586072	-0.006026363022908699	0.0610263630229087	29	18	114	239	0.0
refined	0.55	0.65	0.8461538461538461	0.7976039539662141	0.225	0.775	400	199	0.3225	0.3125	0.01	0.01733497196804287	-0.023976545057364018	0.04397654505736402	26	22	103	249	0.0
refined	0.55	0.65	0.8461538461538461	0.7976039539662141	0.25	0.75	400	199	0.295	0.29	0.005	0.01769803806579831	-0.02968815460896469	0.03968815460896469	26	24	92	258	0.0
refined	0.55	0.8	0.6875	0.5628749286285075	0.1	0.9	400	199	0.5375	0.4875	0.05	0.019867985355975656	0.011058748702287714	0.0889412512977123	42	22	173	163	0.0
refined	0.55	0.8	0.6875	0.5628749286285075	0.125	0.875	400	199	0.485	0.455	0.03	0.01933091333916522	-0.007888590144763827	0.06788859014476382	36	24	158	182	0.0
refined	0.55	0.8	0.6875	0.5628749286285075	0.15	0.85	400	199	0.4475	0.3925	0.055	0.020760901656575157	0.014308632753112692	0.09569136724688732	46	24	133	197	0.0
refined	0.55	0.8	0.6875	0.5628749286285075	0.175	0.825	400	199	0.41	0.385	0.025	0.019669894811736078	-0.01355299383100271	0.06355299383100271	36	26	128	210	0.0
refined	0.55	0.8	0.6875	0.5628749286285075	0.2	0.8	400	199	0.37	0.3375	0.0325	0.019801252460324166	-0.006310454822235363	0.07131045482223536	38	25	110	227	0.0
refined	0.55	0.8	0.6875	0.5628749286285075	0.225	0.775	400	199	0.3275	0.325	0.0025	0.017160144270327284	-0.031133882769841473	0.036133882769841474	24	23	107	246	0.0
refined	0.55	0.8	0.6875	0.5628749286285075	0.25	0.75	400	199	0.305	0.3175	-0.0125	0.016015636939142198	-0.04389064840071871	0.018890648400718708	18	23	104	255	0.0
refined	0.75	0.45	1.6666666666666665	2.007333433663095	0.25	0.75	400	199	0.46	0.415	0.045	0.0195805002483322	0.006622219513268891	0.08337778048673111	40	22	144	194	0.0
