seed	n	scenario	method	repetitions	n_perm	rejections	rejection_rate	wilson_low	wilson_high
20260820	80	null_clean	cap_8	1200	499	55	0.04583333333333333	0.035380848837991884	0.05918431004282566
20260820	80	null_contam_p10	uncapped	1200	499	49	0.04083333333333333	0.03102354197066147	0.05357352691618343
20260820	80	null_contam_p10	cap_4.5	1200	499	55	0.04583333333333333	0.035380848837991884	0.05918431004282566
20260820	80	null_contam_p10	cap_5	1200	499	51	0.0425	0.032471408616991965	0.05544835693451049
20260820	80	null_contam_p10	cap_5.5	1200	499	52	0.043333333333333335	0.03319710174469772	0.0563840121391335
20260820	80	null_contam_p10	cap_6	1200	499	52	0.043333333333333335	0.03319710174469772	0.0563840121391335
20260820	80	null_contam_p10	cap_6.5	1200	499	54	0.045	0.034651851044372725	0.058251959504116047
20260820	80	null_contam_p10	cap_7	1200	499	54	0.045	0.034651851044372725	0.058251959504116047
20260820	80	null_contam_p10	cap_8	1200	499	53	0.04416666666666667	0.03392392584061023	0.05731853637554976
20260820	80	matched_p01_m8	uncapped	1200	499	1200	1.0	0.9968089993972651	1.0
20260820	80	matched_p01_m8	cap_4.5	1200	499	1099	0.9158333333333334	0.8987669211364325	0.9302458966956263
20260820	80	matched_p01_m8	cap_5	1200	499	1174	0.9783333333333334	0.9684421563950483	0.9851717863616687
20260820	80	matched_p01_m8	cap_5.5	1200	499	1193	0.9941666666666666	0.9880080606189062	0.9971715004520573
20260820	80	matched_p01_m8	cap_6	1200	499	1200	1.0	0.9968089993972651	1.0
20260820	80	matched_p01_m8	cap_6.5	1200	499	1200	1.0	0.9968089993972651	1.0
20260820	80	matched_p01_m8	cap_7	1200	499	1200	1.0	0.9968089993972651	1.0
20260820	80	matched_p01_m8	cap_8	1200	499	1200	1.0	0.9968089993972651	1.0
20260820	80	t2_matched	uncapped	1200	499	936	0.78	0.7556891329095197	0.8025239067529488
20260820	80	t2_matched	cap_4.5	1200	499	1163	0.9691666666666666	0.957790443222018	0.9775486678790822
20260820	80	t2_matched	cap_5	1200	499	1180	0.9833333333333333	0.974396714790915	0.9891853179597744
20260820	80	t2_matched	cap_5.5	1200	499	1191	0.9925	0.9858076084338075	0.9960492559724986
20260820	80	t2_matched	cap_6	1200	499	1192	0.9933333333333333	0.9869001244145462	0.9966180883240884
20260820	80	t2_matched	cap_6.5	1200	499	1191	0.9925	0.9858076084338075	0.9960492559724986
20260820	80	t2_matched	cap_7	1200	499	1186	0.9883333333333333	0.9805122967086947	0.9930378260359675
20260820	80	t2_matched	cap_8	1200	499	1176	0.98	0.9704129080935024	0.9865237313278719
20260820	80	diffuse_aligned	uncapped	1200	499	1193	0.9941666666666666	0.9880080606189062	0.9971715004520573
20260820	80	diffuse_aligned	cap_4.5	1200	499	1192	0.9933333333333333	0.9869001244145462	0.9966180883240884
20260820	80	diffuse_aligned	cap_5	1200	499	1193	0.9941666666666666	0.9880080606189062	0.9971715004520573
20260820	80	diffuse_aligned	cap_5.5	1200	499	1193	0.9941666666666666	0.9880080606189062	0.9971715004520573
20260820	80	diffuse_aligned	cap_6	1200	499	1193	0.9941666666666666	0.9880080606189062	0.9971715004520573
20260820	80	diffuse_aligned	cap_6.5	1200	499	1193	0.9941666666666666	0.9880080606189062	0.9971715004520573
20260820	80	diffuse_aligned	cap_7	1200	499	1193	0.9941666666666666	0.9880080606189062	0.9971715004520573
20260820	80	diffuse_aligned	cap_8	1200	499	1193	0.9941666666666666	0.9880080606189062	0.9971715004520573
20260820	80	bimodal_aligned	uncapped	1200	499	1074	0.895	0.8763768647675607	0.9111022447562787
20260820	80	bimodal_aligned	cap_4.5	1200	499	1074	0.895	0.8763768647675607	0.9111022447562787
20260820	80	bimodal_aligned	cap_5	1200	499	1074	0.895	0.8763768647675607	0.9111022447562787
20260820	80	bimodal_aligned	cap_5.5	1200	499	1074	0.895	0.8763768647675607	0.9111022447562787
20260820	80	bimodal_aligned	cap_6	1200	499	1074	0.895	0.8763768647675607	0.9111022447562787
20260820	80	bimodal_aligned	cap_6.5	1200	499	1074	0.895	0.8763768647675607	0.9111022447562787
20260820	80	bimodal_aligned	cap_7	1200	499	1074	0.895	0.8763768647675607	0.9111022447562787
20260820	80	bimodal_aligned	cap_8	1200	499	1074	0.895	0.8763768647675607	0.9111022447562787
20260820	80	unmatched_masking	uncapped	1200	499	92	0.07666666666666666	0.06292738768669681	0.0931076594902854
20260820	80	unmatched_masking	cap_4.5	1200	499	725	0.6041666666666666	0.5762075434000622	0.6314609981410346
20260820	80	unmatched_masking	cap_5	1200	499	753	0.6275	0.5997793784383552	0.6544069164079473
20260820	80	unmatched_masking	cap_5.5	1200	499	752	0.6266666666666667	0.5989363741738138	0.65358857234016
20260820	80	unmatched_masking	cap_6	1200	499	715	0.5958333333333333	0.5678050214890484	0.6232500367287608
20260820	80	unmatched_masking	cap_6.5	1200	499	670	0.5583333333333333	0.5300949807832153	0.5861994024797991
20260820	80	unmatched_masking	cap_7	1200	499	607	0.5058333333333334	0.4775721641351143	0.5340572741911871
20260820	80	unmatched_masking	cap_8	1200	499	494	0.4116666666666667	0.38414690293543063	0.4397501738377191
20260821	20	null_clean	uncapped	1200	499	55	0.04583333333333333	0.035380848837991884	0.05918431004282566
20260821	20	null_clean	cap_4.5	1200	499	54	0.045	0.034651851044372725	0.058251959504116047
20260821	20	null_clean	cap_5	1200	499	54	0.045	0.034651851044372725	0.058251959504116047
20260821	20	null_clean	cap_5.5	1200	499	54	0.045	0.034651851044372725	0.058251959504116047
20260821	20	null_clean	cap_6	1200	499	55	0.04583333333333333	0.035380848837991884	0.05918431004282566
20260821	20	null_clean	cap_6.5	1200	499	55	0.04583333333333333	0.035380848837991884	0.05918431004282566
20260821	20	null_clean	cap_7	1200	499	55	0.04583333333333333	0.035380848837991884	0.05918431004282566
20260821	20	null_clean	cap_8	1200	499	55	0.04583333333333333	0.035380848837991884	0.05918431004282566
20260821	20	null_contam_p10	uncapped	1200	499	71	0.059166666666666666	0.0471715395740472	0.07397519262403075
20260821	20	null_contam_p10	cap_4.5	1200	499	64	0.05333333333333334	0.04198595756592827	0.06753133630584826
20260821	20	null_contam_p10	cap_5	1200	499	65	0.05416666666666667	0.04272435599457301	0.06845428620953228
20260821	20	null_contam_p10	cap_5.5	1200	499	65	0.05416666666666667	0.04272435599457301	0.06845428620953228
20260821	20	null_contam_p10	cap_6	1200	499	64	0.05333333333333334	0.04198595756592827	0.06753133630584826
