n	scenario	method	repetitions	n_perm	rejections	rejection_rate	wilson_low	wilson_high	mean_raw	mean_profile_correlation
80	diffuse_aligned	huber_radius_cap6	250	199	250	1.0	0.9848667005045553	0.9999999999999998	1.06418089850474	0.7276770352348833
80	t2_matched	original_l2	250	199	172	0.688	0.6280887684141925	0.7422211109755201	1.079401758284682	0.36003362263798594
80	t2_matched	huber_radius	250	199	194	0.776	0.7203647189638117	0.8232816997147029	1.733040702674129	0.3691515299874065
80	t2_matched	huber_l2_floor0.5	250	199	190	0.76	0.7033795246798652	0.8087511595825035	1.519512942112971	0.378958433781352
80	t2_matched	huber_l2_floor1	250	199	193	0.772	0.7161087831505828	0.8196587019238954	1.309264867533072	0.3858764799503509
80	t2_matched	huber_radius_cap6	250	199	247	0.988	0.9653192195729803	0.9959106801194657	1.652124327718855	0.4439289794176156
80	bimodal_aligned	original_l2	250	199	161	0.644	0.5828778691896869	0.7007637405556252	1.0028536745109782	0.3660810228273499
80	bimodal_aligned	huber_radius	250	199	230	0.92	0.8796703567961583	0.9476176716276683	1.2750583952772707	0.7862870270982889
80	bimodal_aligned	huber_l2_floor0.5	250	199	230	0.92	0.8796703567961583	0.9476176716276683	1.244170070330239	0.7878094449371712
80	bimodal_aligned	huber_l2_floor1	250	199	231	0.924	0.8843586026895993	0.9508083593382637	1.185058598775909	0.7893951703509259
80	bimodal_aligned	huber_radius_cap6	250	199	230	0.92	0.8796703567961583	0.9476176716276683	1.2661779254572714	0.7865294578862199
80	unmatched_masking	original_l2	250	199	14	0.056	0.03364764921901088	0.0917907207329439	1.014904602425355	0.04372851561254485
80	unmatched_masking	huber_radius	250	199	27	0.108	0.07529194840055528	0.15257255840387324	1.2446057343437404	0.07890197085111689
80	unmatched_masking	huber_l2_floor0.5	250	199	25	0.1	0.06865492898829106	0.14345171060806458	1.1652272508673949	0.07576985973212547
80	unmatched_masking	huber_l2_floor1	250	199	19	0.076	0.04919164066173632	0.11564139731040066	1.0914488106280733	0.06960314202045047
80	unmatched_masking	huber_radius_cap6	250	199	142	0.568	0.5060249967174061	0.6279168745512133	1.317492691132498	0.2406353695675242
