scenario	method	n	repetitions	n_perm	rejections	rejection_rate	wilson_low	wilson_high	mean_profile_correlation
null_contam_p05	huber_cap3	80	300	199	6	0.02	0.009197631557703617	0.042939620817860576	-0.01079300600596223
null_contam_p05	huber_cap4	80	300	199	7	0.023333333333333334	0.011347660299125234	0.04737197226827532	-0.010206451834228221
null_contam_p05	huber_cap6	80	300	199	10	0.03333333333333333	0.01820494733885481	0.06026182580405482	-0.008000631406706956
null_contam_p05	huber_cap8	80	300	199	12	0.04	0.023027321487942308	0.06860421203864003	-0.006399854231672395
null_contam_p05	huber_soft3	80	300	199	11	0.03666666666666667	0.02059530516285303	0.06445384817189295	-0.01050890482965858
null_contam_p05	huber_soft4	80	300	199	9	0.03	0.01586185380943231	0.05602253914164096	-0.009741927927728242
null_contam_p05	huber_soft6	80	300	199	12	0.04	0.023027321487942308	0.06860421203864003	-0.007867612666199744
null_contam_p05	huber_soft8	80	300	199	11	0.03666666666666667	0.02059530516285303	0.06445384817189295	-0.006505068410844588
null_contam_p05	trim5	80	300	199	9	0.03	0.01586185380943231	0.05602253914164096	-0.003711517371845432
null_contam_p05	trim10	80	300	199	10	0.03333333333333333	0.01820494733885481	0.06026182580405482	-0.003731544944878193
null_contam_p05	trim20	80	300	199	10	0.03333333333333333	0.01820494733885481	0.06026182580405482	-0.003790893554763619
matched_p01_m8	huber_c1.0	80	300	199	300	1.0	0.9873570287754538	0.9999999999999998	0.6394486002142651
matched_p01_m8	huber_c1.345	80	300	199	300	1.0	0.9873570287754538	0.9999999999999998	0.6400911052269548
matched_p01_m8	huber_c2.0	80	300	199	300	1.0	0.9873570287754538	0.9999999999999998	0.6403774029087365
matched_p01_m8	huber_c3.0	80	300	199	300	1.0	0.9873570287754538	0.9999999999999998	0.6396561016140999
matched_p01_m8	huber_cap3	80	300	199	95	0.31666666666666665	0.26662835068573615	0.37134073876326396	0.14882259416185756
matched_p01_m8	huber_cap4	80	300	199	227	0.7566666666666667	0.7050648160221181	0.8017784587492817	0.26687418593129164
matched_p01_m8	huber_cap6	80	300	199	299	0.9966666666666667	0.9813633063054688	0.9994113422781488	0.48381863983598994
matched_p01_m8	huber_cap8	80	300	199	300	1.0	0.9873570287754538	0.9999999999999998	0.6058601840371098
matched_p01_m8	huber_soft3	80	300	199	127	0.42333333333333334	0.3687385228107271	0.47986673277703656	0.1883256774049776
matched_p01_m8	huber_soft4	80	300	199	246	0.82	0.7725668011129554	0.859341697303335	0.28328810233247526
