phase	dyadic_weight	node_weight	profile_method	repetitions	n_perm	profile_power	mantel_power	power_difference	paired_standard_error	paired_ci_low	paired_ci_high	profile_only_rejections	mantel_only_rejections	both_reject	neither_reject
replication	0.2	0.8	original_l2_cdelta	1200	399	0.3258333333333333	0.3566666666666667	-0.030833333333333334	0.008895774919416604	-0.048269052175389876	-0.013397614491276792	39	76	352	733
replication	0.2	0.8	huber_cdelta_star	1200	399	0.36666666666666664	0.3566666666666667	0.01	0.01040866387052831	-0.010400981186235487	0.030400981186235486	84	72	356	688
replication	0.2	0.8	huber_cap6_cdelta_star	1200	399	0.36666666666666664	0.3566666666666667	0.01	0.01040866387052831	-0.010400981186235487	0.030400981186235486	84	72	356	688
replication	0.225	0.775	original_l2_cdelta	1200	399	0.34	0.375	-0.035	0.008685097273554172	-0.052022790656166176	-0.017977209343833827	34	76	374	716
replication	0.225	0.775	huber_cdelta_star	1200	399	0.375	0.375	0.0	0.009793531592376456	-0.019195321921057853	0.019195321921057853	69	69	381	681
replication	0.225	0.775	huber_cap6_cdelta_star	1200	399	0.375	0.375	0.0	0.009793531592376456	-0.019195321921057853	0.019195321921057853	69	69	381	681
replication	0.25	0.75	original_l2_cdelta	1200	399	0.31916666666666665	0.35083333333333333	-0.03166666666666667	0.0081170144421906	-0.047576014973360246	-0.015757318359973092	29	67	354	750
replication	0.25	0.75	huber_cdelta_star	1200	399	0.3416666666666667	0.35083333333333333	-0.009166666666666667	0.009610830419241573	-0.028003894288380148	0.009670560955046814	61	72	349	718
replication	0.25	0.75	huber_cap6_cdelta_star	1200	399	0.3416666666666667	0.35083333333333333	-0.009166666666666667	0.009610830419241573	-0.028003894288380148	0.009670560955046814	61	72	349	718
replication	0.275	0.725	original_l2_cdelta	1200	399	0.29833333333333334	0.34833333333333333	-0.05	0.007952807705654253	-0.06558750310308234	-0.034412496896917666	17	77	341	765
replication	0.275	0.725	huber_cdelta_star	1200	399	0.30583333333333335	0.34833333333333333	-0.0425	0.009239669373449702	-0.06060975197196142	-0.024390248028038585	37	88	330	745
replication	0.275	0.725	huber_cap6_cdelta_star	1200	399	0.30583333333333335	0.34833333333333333	-0.0425	0.009239669373449702	-0.06060975197196142	-0.024390248028038585	37	88	330	745
replication	0.3	0.7	original_l2_cdelta	1200	399	0.2808333333333333	0.33666666666666667	-0.05583333333333333	0.008553222094159128	-0.07259764863788522	-0.039069018028781446	21	88	316	775
replication	0.3	0.7	huber_cdelta_star	1200	399	0.2975	0.33666666666666667	-0.03916666666666667	0.009176518071784455	-0.0571526420873642	-0.02118069124596914	38	85	319	758
replication	0.3	0.7	huber_cap6_cdelta_star	1200	399	0.2975	0.33666666666666667	-0.03916666666666667	0.009176518071784455	-0.0571526420873642	-0.02118069124596914	38	85	319	758
replication	0.325	0.675	original_l2_cdelta	1200	399	0.275	0.3408333333333333	-0.06583333333333333	0.009048381320561545	-0.08356816072163395	-0.0480985059450327	22	101	308	769
replication	0.325	0.675	huber_cdelta_star	1200	399	0.2791666666666667	0.3408333333333333	-0.06166666666666667	0.010259242754874165	-0.08177478246622003	-0.041558550867113304	41	115	294	750
replication	0.325	0.675	huber_cap6_cdelta_star	1200	399	0.2791666666666667	0.3408333333333333	-0.06166666666666667	0.010259242754874165	-0.08177478246622003	-0.041558550867113304	41	115	294	750
replication	0.35	0.65	original_l2_cdelta	1200	399	0.24583333333333332	0.32416666666666666	-0.07833333333333334	0.008689364217539191	-0.09536448719971015	-0.06130217946695653	11	105	284	800
replication	0.35	0.65	huber_cdelta_star	1200	399	0.265	0.32416666666666666	-0.059166666666666666	0.009313343649727052	-0.07742082022013169	-0.04091251311320164	29	100	289	782
replication	0.35	0.65	huber_cap6_cdelta_star	1200	399	0.265	0.32416666666666666	-0.059166666666666666	0.009313343649727052	-0.07742082022013169	-0.04091251311320164	29	100	289	782
replication	0.375	0.625	original_l2_cdelta	1200	399	0.24	0.31583333333333335	-0.07583333333333334	0.00874765811889677	-0.09297874324637101	-0.05868792342029567	13	104	275	808
replication	0.375	0.625	huber_cdelta_star	1200	399	0.25666666666666665	0.31583333333333335	-0.059166666666666666	0.009679287486480897	-0.07813807014016923	-0.040195263193164105	34	105	274	787
replication	0.375	0.625	huber_cap6_cdelta_star	1200	399	0.25666666666666665	0.31583333333333335	-0.059166666666666666	0.009679287486480897	-0.07813807014016923	-0.040195263193164105	34	105	274	787
replication	0.4	0.6	original_l2_cdelta	1200	399	0.22333333333333333	0.3175	-0.09416666666666666	0.00906986316079449	-0.11194359846182386	-0.07638973487150946	8	121	260	811
replication	0.4	0.6	huber_cdelta_star	1200	399	0.24	0.3175	-0.0775	0.010405742116828863	-0.09789525454898457	-0.05710474545101543	35	128	253	784
replication	0.4	0.6	huber_cap6_cdelta_star	1200	399	0.23916666666666667	0.3175	-0.07833333333333334	0.010367069861923813	-0.09865279026270402	-0.05801387640396266	34	128	253	785
