n	scenario	method	repetitions	n_perm	rejections	rejection_rate	wilson_low	wilson_high	mean_profile_correlation	median_p_value
40	matched_p01_m8	huber_capped3	300	199	121	0.4033333333333333	0.3493821700801514	0.459728804356594	0.27259368368364806	0.065
40	matched_p05_m8	original_l2	300	199	300	1.0	0.9873570287754538	0.9999999999999998	0.9293316573669133	0.005
40	matched_p05_m8	iqr_fit_all	300	199	300	1.0	0.9873570287754538	0.9999999999999998	0.8724774650156496	0.005
40	matched_p05_m8	trim10_fit_all	300	199	300	1.0	0.9873570287754538	0.9999999999999998	0.8682893863440743	0.005
40	matched_p05_m8	huber_fit_all	300	199	300	1.0	0.9873570287754538	0.9999999999999998	0.868065675768581	0.005
40	matched_p05_m8	iqr_capped3	300	199	248	0.8266666666666667	0.7797738592974309	0.8652993995025323	0.40975569744501195	0.01
40	matched_p05_m8	huber_capped3	300	199	273	0.91	0.8722229892013517	0.9374097743945206	0.4506534631045617	0.01
40	diffuse_aligned	original_l2	300	199	293	0.9766666666666667	0.9526280277317246	0.9886523397008747	0.6517950116578104	0.005
40	diffuse_aligned	iqr_fit_all	300	199	294	0.98	0.9570603791821394	0.9908023684422963	0.6624242966174213	0.005
40	diffuse_aligned	trim10_fit_all	300	199	285	0.95	0.9191529665272558	0.9694683593706526	0.6095858012257132	0.005
40	diffuse_aligned	huber_fit_all	300	199	268	0.8933333333333333	0.8532967116826325	0.9234241509540578	0.5798722995101624	0.005
40	diffuse_aligned	iqr_capped3	300	199	293	0.9766666666666667	0.9526280277317246	0.9886523397008747	0.6623208318817372	0.005
40	diffuse_aligned	huber_capped3	300	199	269	0.8966666666666666	0.8570598275670679	0.9262434152614588	0.5795294936345619	0.005
40	t2_matched	original_l2	300	199	172	0.5733333333333334	0.5167859400590311	0.6280264241613689	0.40461080769313557	0.03
40	t2_matched	iqr_fit_all	300	199	184	0.6133333333333333	0.5571245198072374	0.6666764067151987	0.3979601938483178	0.025
40	t2_matched	trim10_fit_all	300	199	184	0.6133333333333333	0.5571245198072374	0.6666764067151987	0.3919806192049891	0.03
40	t2_matched	huber_fit_all	300	199	180	0.6	0.5436365963411878	0.653834809413903	0.39328036010491163	0.025
40	t2_matched	iqr_capped3	300	199	94	0.31333333333333335	0.2634843975598553	0.36790231169730847	0.21021431132659918	0.1125
40	t2_matched	huber_capped3	300	199	122	0.4066666666666667	0.3526017598634212	0.46309159476516065	0.24827667941862316	0.08
40	skewed_aligned	original_l2	300	199	300	1.0	0.9873570287754538	0.9999999999999998	0.9784227938063605	0.005
40	skewed_aligned	iqr_fit_all	300	199	300	1.0	0.9873570287754538	0.9999999999999998	0.9695834374693336	0.005
40	skewed_aligned	trim10_fit_all	300	199	300	1.0	0.9873570287754538	0.9999999999999998	0.9707840248020515	0.005
40	skewed_aligned	huber_fit_all	300	199	300	1.0	0.9873570287754538	0.9999999999999998	0.9708810862345301	0.005
40	skewed_aligned	iqr_capped3	300	199	300	1.0	0.9873570287754538	0.9999999999999998	0.9411159720917829	0.005
40	skewed_aligned	huber_capped3	300	199	300	1.0	0.9873570287754538	0.9999999999999998	0.9487999635378123	0.005
40	bimodal_aligned	original_l2	300	199	224	0.7466666666666667	0.6945458844004171	0.7925502497954735	0.515184563377353	0.005
40	bimodal_aligned	iqr_fit_all	300	199	218	0.7266666666666667	0.6736074258805683	0.7739944271643041	0.5116099551524155	0.005
40	bimodal_aligned	trim10_fit_all	300	199	237	0.79	0.7403888774230657	0.8322781992666975	0.5771682749518414	0.005
40	bimodal_aligned	huber_fit_all	300	199	269	0.8966666666666666	0.8570598275670679	0.9262434152614588	0.8420430238805025	0.005
40	bimodal_aligned	iqr_capped3	300	199	222	0.74	0.6875519770721528	0.7863793967400652	0.5111994405151793	0.005
40	bimodal_aligned	huber_capped3	300	199	270	0.9	0.8608335376153785	0.9290520854049847	0.8403010972548408	0.005
40	unmatched_masking	original_l2	300	199	5	0.016666666666666666	0.00713947735063333	0.0384153948330945	0.004473365988664748	0.28
40	unmatched_masking	iqr_fit_all	300	199	4	0.013333333333333334	0.005196961739358857	0.03377553025253262	0.059191341652466686	0.22
40	unmatched_masking	trim10_fit_all	300	199	5	0.016666666666666666	0.00713947735063333	0.0384153948330945	0.0553672388221434	0.225
40	unmatched_masking	huber_fit_all	300	199	11	0.03666666666666667	0.02059530516285303	0.06445384817189295	0.056263176626501994	0.225
40	unmatched_masking	iqr_capped3	300	199	85	0.2833333333333333	0.2353308526310286	0.33681443489960794	0.20735396124924002	0.11
40	unmatched_masking	huber_capped3	300	199	108	0.36	0.30776933517318583	0.4157706967696869	0.2434371242778076	0.0775
80	null_clean	original_l2	300	199	21	0.07	0.046236944827176336	0.10463601042593323	0.0036112478043290666	0.48
80	null_clean	iqr_fit_all	300	199	16	0.05333333333333334	0.03309191251909646	0.08486914177483133	0.001795817322539916	0.485
80	null_clean	trim10_fit_all	300	199	19	0.06333333333333334	0.040916882383915276	0.09679131248552161	0.0021125246111316203	0.485
80	null_clean	huber_fit_all	300	199	16	0.05333333333333334	0.03309191251909646	0.08486914177483133	0.002048067837645711	0.4825
80	null_clean	iqr_capped3	300	199	15	0.05	0.03053164062934728	0.08084703347274415	0.0013212808299828346	0.49
80	null_clean	huber_capped3	300	199	19	0.06333333333333334	0.040916882383915276	0.09679131248552161	0.0016949764169958666	0.49
80	null_contam_p01	original_l2	300	199	9	0.03	0.01586185380943231	0.05602253914164096	-0.00959200755005326	0.505
