n	replication	root_seed	truth	method	estimate	se	z	covered	coefficient_x	coefficient_y	error
160	14	2026090701	0.19347511885804566	complete_kde	0.15191679195138294	0.09261447454407076	-0.4487238858855385	1	-0.1183579600005237	-0.35301612889434364	
160	14	2026090701	0.19347511885804566	direct_only_ablation	0.1519167919513832	0.08812831195683506	-0.47156612879431525	1	-0.1183579600005237	-0.35301612889434364	
160	14	2026090701	0.19347511885804566	oracle_fixed_reference	0.1490648273416786	0.08778989617592055	-0.5058701906580922	1	-0.1183579600005237	-0.35301612889434364	
160	15	2026090701	0.19347511885804566	complete_kde	0.010895567260387503	0.08990262635882901	-2.0308589302933937	0	0.0043227073887918705	-0.38161593096864543	
160	15	2026090701	0.19347511885804566	direct_only_ablation	0.010895567260387463	0.09003822237164877	-2.0278004917070516	0	0.0043227073887918705	-0.38161593096864543	
160	15	2026090701	0.19347511885804566	oracle_fixed_reference	0.0029162078028034596	0.08625327032090212	-2.2092949095874834	0	0.0043227073887918705	-0.38161593096864543	
160	16	2026090701	0.19347511885804566	complete_kde	0.227456068286807	0.09596594597356246	0.3540938307232725	1	-0.20508879027629137	-0.23601681411978637	
160	16	2026090701	0.19347511885804566	direct_only_ablation	0.22745606828680726	0.09507933796206815	0.35739573031438515	1	-0.20508879027629137	-0.23601681411978637	
160	16	2026090701	0.19347511885804566	oracle_fixed_reference	0.2389439366971361	0.09334601270266624	0.48709973273225526	1	-0.20508879027629137	-0.23601681411978637	
160	17	2026090701	0.19347511885804566	complete_kde	0.33218382888851633	0.15099783777131967	0.9186138826738671	1	-0.1280073503977697	-0.07678725118308607	
160	17	2026090701	0.19347511885804566	direct_only_ablation	0.33218382888851633	0.15168026291767342	0.9144809440748185	1	-0.1280073503977697	-0.07678725118308607	
160	17	2026090701	0.19347511885804566	oracle_fixed_reference	0.3333419778135263	0.15089139400322465	0.9269372841269635	1	-0.1280073503977697	-0.07678725118308607	
160	18	2026090701	0.19347511885804566	complete_kde	0.0995752762895914	0.07201824576988719	-1.3038340710003293	1	-0.3231181573846786	-0.4241543345968769	
160	18	2026090701	0.19347511885804566	direct_only_ablation	0.09957527628959148	0.06720227970484094	-1.3972716845451014	1	-0.3231181573846786	-0.4241543345968769	
160	18	2026090701	0.19347511885804566	oracle_fixed_reference	0.057844154749052745	0.06643411951752212	-2.0415859364738025	0	-0.3231181573846786	-0.4241543345968769	
160	19	2026090701	0.19347511885804566	complete_kde	0.27714844011001843	0.14010819653849907	0.59720504095548	1	-0.051726885030632636	-0.33356639551655004	
160	19	2026090701	0.19347511885804566	direct_only_ablation	0.2771484401100183	0.14083230039393368	0.5941344493977808	1	-0.051726885030632636	-0.33356639551655004	
160	19	2026090701	0.19347511885804566	oracle_fixed_reference	0.32995272767034295	0.1287491955039094	1.0600268862119082	1	-0.051726885030632636	-0.33356639551655004	
160	20	2026090701	0.19347511885804566	complete_kde	0.10416219387807635	0.06266891489172133	-1.4251551209125484	1	-0.18490033736080813	-0.0932721236535833	
160	20	2026090701	0.19347511885804566	direct_only_ablation	0.10416219387807632	0.061919708505220335	-1.4423989895307652	1	-0.18490033736080813	-0.0932721236535833	
160	20	2026090701	0.19347511885804566	oracle_fixed_reference	0.09532808849628946	0.0610388455185454	-1.607943753325679	1	-0.18490033736080813	-0.0932721236535833	
160	21	2026090701	0.19347511885804566	complete_kde	-0.008100180856030838	0.06645705042542854	-3.0331665101547673	0	-0.1421786551972771	-0.07358445219766503	
160	21	2026090701	0.19347511885804566	direct_only_ablation	-0.008100180856030648	0.0657354727528423	-3.066461550706053	0	-0.1421786551972771	-0.07358445219766503	
160	21	2026090701	0.19347511885804566	oracle_fixed_reference	-0.017242782750527545	0.06527749956846093	-3.2280326759081674	0	-0.1421786551972771	-0.07358445219766503	
160	22	2026090701	0.19347511885804566	complete_kde	0.19536788474572186	0.10532095986173866	0.017971407497244157	1	-0.21143912215076147	-0.03376875625746438	
160	22	2026090701	0.19347511885804566	direct_only_ablation	0.19536788474572178	0.105639514025047	0.017917215022660415	1	-0.21143912215076147	-0.03376875625746438	
160	22	2026090701	0.19347511885804566	oracle_fixed_reference	0.18746242018912498	0.10595075490916579	-0.05674993702570138	1	-0.21143912215076147	-0.03376875625746438	
160	23	2026090701	0.19347511885804566	complete_kde	0.1316092705512938	0.12060916370644202	-0.5129448410514721	1	-0.019725145000505553	-0.40048456194194554	
160	23	2026090701	0.19347511885804566	direct_only_ablation	0.1316092705512936	0.12075024630067341	-0.5123455247677375	1	-0.019725145000505553	-0.40048456194194554	
160	23	2026090701	0.19347511885804566	oracle_fixed_reference	0.14060847468335194	0.11840768292281331	-0.44647984716630273	1	-0.019725145000505553	-0.40048456194194554	
160	24	2026090701	0.19347511885804566	complete_kde	0.06798342641430961	0.08645503855743233	-1.451525492760859	1	-0.27361852526498887	-0.21318654887640498	
160	24	2026090701	0.19347511885804566	direct_only_ablation	0.06798342641430964	0.08459142343403696	-1.483503732994781	1	-0.27361852526498887	-0.21318654887640498	
160	24	2026090701	0.19347511885804566	oracle_fixed_reference	0.06013230798807325	0.08750786418561052	-1.5237808865628653	1	-0.27361852526498887	-0.21318654887640498	
160	25	2026090701	0.19347511885804566	complete_kde	0.1958539186063826	0.13011537290495737	0.01828223441418046	1	-0.10202475563765145	-0.15242393419040431	
160	25	2026090701	0.19347511885804566	direct_only_ablation	0.1958539186063828	0.13098376426187927	0.018161027526901217	1	-0.10202475563765145	-0.15242393419040431	
160	25	2026090701	0.19347511885804566	oracle_fixed_reference	0.19869397013895304	0.13033299450526176	0.040042441292152495	1	-0.10202475563765145	-0.15242393419040431	
160	26	2026090701	0.19347511885804566	complete_kde	0.1051459094738106	0.10176336620776091	-0.8679863164500812	1	-0.15399146829001537	-0.4802820212541342	
160	26	2026090701	0.19347511885804566	direct_only_ablation	0.10514590947381058	0.09872973637101892	-0.8946565911236768	1	-0.15399146829001537	-0.4802820212541342	
160	26	2026090701	0.19347511885804566	oracle_fixed_reference	0.08758952742784369	0.09889843249012462	-1.07064984514062	1	-0.15399146829001537	-0.4802820212541342	
160	27	2026090701	0.19347511885804566	complete_kde	0.275550082615465	0.09584722860555608	0.8563102444535532	1	-0.18350765824555226	-0.09858000029938226	
160	27	2026090701	0.19347511885804566	direct_only_ablation	0.2755500826154647	0.09627833493270618	0.8524759367181143	1	-0.18350765824555226	-0.09858000029938226	
160	27	2026090701	0.19347511885804566	oracle_fixed_reference	0.3045557416783948	0.09271576968805506	1.1980769096140078	1	-0.18350765824555226	-0.09858000029938226	
160	28	2026090701	0.19347511885804566	complete_kde	0.23206051930046434	0.09101508012983872	0.42394513510699744	1	-0.4469189401117981	-0.12396362765528499	
160	28	2026090701	0.19347511885804566	direct_only_ablation	0.23206051930046442	0.09066656891154931	0.4255747284322752	1	-0.4469189401117981	-0.12396362765528499	
160	28	2026090701	0.19347511885804566	oracle_fixed_reference	0.22497557927202513	0.09153505634082171	0.34413547850662407	1	-0.4469189401117981	-0.12396362765528499	
160	29	2026090701	0.19347511885804566	complete_kde	-0.017704470163200495	0.08245810612983306	-2.5610531084565147	0	-0.18379770155937608	-0.22212758929119614	
160	29	2026090701	0.19347511885804566	direct_only_ablation	-0.01770447016320053	0.08072471886798399	-2.6160461378206366	0	-0.18379770155937608	-0.22212758929119614	
160	29	2026090701	0.19347511885804566	oracle_fixed_reference	-0.03327226291775294	0.07991762100638429	-2.8372639090155687	0	-0.18379770155937608	-0.22212758929119614	
160	30	2026090701	0.19347511885804566	complete_kde	0.06215575786750709	0.0799175127994521	-1.643186285339937	1	-0.11879429757933954	-0.0836123135168261	
160	30	2026090701	0.19347511885804566	direct_only_ablation	0.06215575786750717	0.07991366495687544	-1.6432654047515352	1	-0.11879429757933954	-0.0836123135168261	
160	30	2026090701	0.19347511885804566	oracle_fixed_reference	0.06614471066130082	0.0819346264224528	-1.5540488039846863	1	-0.11879429757933954	-0.0836123135168261	
