background	kind	n	k_extremes	scenario	target_reference	target_corr	selected_magnitude	calibrated_mean_corr	calibrated_mean_norm	alpha	calibration_repetitions	evaluation_repetitions	n_perm	reject_count	rejection_rate	wilson_low	wilson_high	mean_raw	mean_norm	mean_corr	mean_p	p05	p50	p95	mean_index_overlap
lognormal	l2	40	3	matched	explicit target_corr=0.55	0.55	3.5	0.6101	0.958	0.05	180	500	499	498	0.996	0.9855	0.9989	43.1256	0.9565	0.5987	0.0057	0.002	0.004	0.02	3.0
lognormal	l2	40	3	negative_control	explicit target_corr=0.55	0.55	3.5	0.6101	0.958	0.05	180	500	499	9	0.018	0.0095	0.0339	39.7736	0.8837	-0.045	0.5736	0.104	0.592	0.9481	0.0
lognormal	l2	40	3	independent_null	explicit target_corr=0.55	0.55	3.5	0.6101	0.958	0.05	180	500	499	25	0.05	0.0341	0.0728	40.0	0.887	0.0004	0.5006	0.0499	0.516	0.9442	0.226
normal	l2	40	1	matched	explicit target_corr=0.65	0.65	4.5	0.6461	0.9592	0.05	180	500	499	500	1.0	0.9924	1.0	43.7268	0.9591	0.6484	0.0146	0.002	0.014	0.03	1.0
normal	l2	40	1	negative_control	explicit target_corr=0.65	0.65	4.5	0.6461	0.9592	0.05	180	500	499	18	0.036	0.0229	0.0562	39.9262	0.8764	-0.0127	0.5127	0.0579	0.501	0.9601	0.0
normal	l2	40	1	independent_null	explicit target_corr=0.65	0.65	4.5	0.6461	0.9592	0.05	180	500	499	32	0.064	0.0457	0.089	40.0408	0.8793	0.0068	0.4903	0.034	0.478	0.9501	0.034
normal	l2	40	2	matched	explicit target_corr=0.65	0.65	3.5	0.6004	0.9605	0.05	180	500	499	500	1.0	0.9924	1.0	42.8883	0.9608	0.6037	0.0043	0.002	0.002	0.01	2.0
normal	l2	40	2	negative_control	explicit target_corr=0.65	0.65	3.5	0.6004	0.9605	0.05	180	500	499	5	0.01	0.0043	0.0232	39.8695	0.8931	-0.0268	0.536	0.1299	0.533	0.9462	0.0
normal	l2	40	2	independent_null	explicit target_corr=0.65	0.65	3.5	0.6004	0.9605	0.05	180	500	499	29	0.058	0.0407	0.0821	40.027	0.8962	0.0058	0.4919	0.042	0.479	0.9501	0.114
normal	l2	40	3	matched	explicit target_corr=0.65	0.65	3.5	0.676	0.9684	0.05	180	500	499	500	1.0	0.9924	1.0	43.1887	0.9678	0.6708	0.0025	0.002	0.002	0.004	3.0
normal	l2	40	3	negative_control	explicit target_corr=0.65	0.65	3.5	0.676	0.9684	0.05	180	500	499	2	0.004	0.0011	0.0145	39.7656	0.8922	-0.0493	0.5811	0.1758	0.589	0.956	0.0
normal	l2	40	3	independent_null	explicit target_corr=0.65	0.65	3.5	0.676	0.9684	0.05	180	500	499	32	0.064	0.0457	0.089	40.0376	0.8987	0.0084	0.492	0.0419	0.506	0.942	0.254
t3	l2	40	1	matched	explicit target_corr=0.65	0.65	8.0	0.5643	0.9289	0.05	180	500	499	432	0.864	0.8312	0.8913	44.9697	0.935	0.5921	0.0276	0.002	0.02	0.0802	1.0
t3	l2	40	1	negative_control	explicit target_corr=0.65	0.65	8.0	0.5643	0.9289	0.05	180	500	499	14	0.028	0.0168	0.0464	39.9432	0.8294	-0.0078	0.5067	0.0679	0.51	0.9461	0.0
t3	l2	40	1	independent_null	explicit target_corr=0.65	0.65	8.0	0.5643	0.9289	0.05	180	500	499	17	0.034	0.0213	0.0538	39.9359	0.8307	-0.0079	0.5136	0.0679	0.529	0.95	0.014
t3	l2	40	2	matched	explicit target_corr=0.65	0.65	7.0	0.6467	0.9497	0.05	180	500	499	447	0.894	0.8639	0.918	44.7046	0.9448	0.6194	0.016	0.002	0.004	0.09	2.0
t3	l2	40	2	negative_control	explicit target_corr=0.65	0.65	7.0	0.6467	0.9497	0.05	180	500	499	7	0.014	0.0068	0.0286	39.7928	0.8408	-0.027	0.527	0.1177	0.512	0.952	0.0
t3	l2	40	2	independent_null	explicit target_corr=0.65	0.65	7.0	0.6467	0.9497	0.05	180	500	499	33	0.066	0.0474	0.0912	40.0623	0.8468	0.0091	0.4931	0.044	0.486	0.9561	0.116
t3	l2	40	3	matched	explicit target_corr=0.65	0.65	7.0	0.6832	0.9591	0.05	180	500	499	476	0.952	0.9296	0.9675	45.0087	0.9616	0.7087	0.0095	0.002	0.002	0.0442	3.0
t3	l2	40	3	negative_control	explicit target_corr=0.65	0.65	7.0	0.6832	0.9591	0.05	180	500	499	6	0.012	0.0055	0.0259	39.5567	0.8461	-0.0628	0.6061	0.1899	0.612	0.9601	0.0
t3	l2	40	3	independent_null	explicit target_corr=0.65	0.65	7.0	0.6832	0.9591	0.05	180	500	499	18	0.036	0.0229	0.0562	39.9721	0.8557	-0.0028	0.5002	0.056	0.489	0.95	0.23
lognormal	l2	40	1	matched	explicit target_corr=0.65	0.65	5.5	0.655	0.9467	0.05	180	500	499	489	0.978	0.961	0.9877	45.2976	0.9474	0.6593	0.017	0.002	0.016	0.038	1.0
lognormal	l2	40	1	negative_control	explicit target_corr=0.65	0.65	5.5	0.655	0.9467	0.05	180	500	499	15	0.03	0.0183	0.0489	39.8912	0.8334	-0.0134	0.514	0.076	0.518	0.9621	0.0
lognormal	l2	40	1	independent_null	explicit target_corr=0.65	0.65	5.5	0.655	0.9467	0.05	180	500	499	26	0.052	0.0357	0.0751	40.0294	0.8366	0.0049	0.4941	0.0459	0.474	0.9483	0.034
lognormal	l2	40	2	matched	explicit target_corr=0.65	0.65	4.5	0.6887	0.959	0.05	180	500	499	500	1.0	0.9924	1.0	44.6241	0.9586	0.6913	0.0043	0.002	0.002	0.012	2.0
lognormal	l2	40	2	negative_control	explicit target_corr=0.65	0.65	4.5	0.6887	0.959	0.05	180	500	499	8	0.016	0.0081	0.0313	39.7611	0.8528	-0.0356	0.5486	0.1359	0.563	0.9561	0.0
lognormal	l2	40	2	independent_null	explicit target_corr=0.65	0.65	4.5	0.6887	0.959	0.05	180	500	499	28	0.056	0.039	0.0797	40.0771	0.8604	0.0104	0.4824	0.0438	0.475	0.942	0.114
lognormal	l2	40	3	matched	explicit target_corr=0.65	0.65	3.5	0.6061	0.9581	0.05	180	500	499	500	1.0	0.9924	1.0	43.1312	0.9563	0.5973	0.0057	0.002	0.004	0.02	3.0
lognormal	l2	40	3	negative_control	explicit target_corr=0.65	0.65	3.5	0.6061	0.9581	0.05	180	500	499	9	0.018	0.0095	0.0339	39.7737	0.8836	-0.0444	0.5756	0.0959	0.592	0.9461	0.0
lognormal	l2	40	3	independent_null	explicit target_corr=0.65	0.65	3.5	0.6061	0.9581	0.05	180	500	499	30	0.06	0.0423	0.0844	40.0205	0.8878	0.0042	0.4951	0.046	0.516	0.946	0.254
