phase	dyadic_weight	node_weight	method	n	n_blocks	rooms_per_block	repetitions	n_perm	rejection_rate	wilson_low	wilson_high	mean_statistic	median_p_value	maximum_huber_cdelta_pearson_p_difference
coarse	0.30000000000000004	0.7	huber_cdelta_star	48	4	12	500	199	0.27	0.2329485392031058	0.3105586574092084	1.1925940543377542	0.17	0.0
coarse	0.30000000000000004	0.7	huber_profile_pearson	48	4	12	500	199	0.27	0.2329485392031058	0.3105586574092084	0.3108881724528766	0.17	0.0
coarse	0.30000000000000004	0.7	huber_cap6_cdelta_star	48	4	12	500	199	0.27	0.2329485392031058	0.3105586574092084	1.192431007762979	0.17	0.0
coarse	0.30000000000000004	0.7	mantel	48	4	12	500	199	0.312	0.27295294872528497	0.3539138032882587	0.18902372261114567	0.155	0.0
coarse	0.4	0.6	original_l2_cdelta	48	4	12	500	199	0.206	0.17285664127336728	0.24362647091802545	1.0295699699702772	0.2425	0.0
coarse	0.4	0.6	huber_cdelta_star	48	4	12	500	199	0.214	0.18030299998759533	0.2520581227564126	1.1810532291465219	0.235	0.0
coarse	0.4	0.6	huber_profile_pearson	48	4	12	500	199	0.214	0.18030299998759533	0.2520581227564126	0.27637628301595	0.235	0.0
coarse	0.4	0.6	huber_cap6_cdelta_star	48	4	12	500	199	0.214	0.18030299998759533	0.2520581227564126	1.1809965207196382	0.235	0.0
coarse	0.4	0.6	mantel	48	4	12	500	199	0.294	0.25575848743575685	0.3353827408344027	0.17749729009583837	0.19	0.0
coarse	0.5	0.5	original_l2_cdelta	48	4	12	500	199	0.23	0.1952549251744704	0.26886221867476784	1.0321703488086127	0.205	0.0
coarse	0.5	0.5	huber_cdelta_star	48	4	12	500	199	0.234	0.1990046985940334	0.2730514505315124	1.1956904764183593	0.1825	0.0
coarse	0.5	0.5	huber_profile_pearson	48	4	12	500	199	0.234	0.1990046985940334	0.2730514505315124	0.28489485142905846	0.1825	0.0
coarse	0.5	0.5	huber_cap6_cdelta_star	48	4	12	500	199	0.234	0.1990046985940334	0.2730514505315124	1.1955792274716333	0.1825	0.0
coarse	0.5	0.5	mantel	48	4	12	500	199	0.362	0.32107604417818575	0.40502827378920275	0.20987254577652004	0.11	0.0
coarse	0.6000000000000001	0.3999999999999999	original_l2_cdelta	48	4	12	500	199	0.262	0.22537626941723765	0.30225291664246134	1.0333460784556834	0.2	0.0
coarse	0.6000000000000001	0.3999999999999999	huber_cdelta_star	48	4	12	500	199	0.26	0.22348572318538285	0.3001739602361623	1.2036228370999975	0.2025	0.0
coarse	0.6000000000000001	0.3999999999999999	huber_profile_pearson	48	4	12	500	199	0.26	0.22348572318538285	0.3001739602361623	0.2958261335086623	0.2025	0.0
coarse	0.6000000000000001	0.3999999999999999	huber_cap6_cdelta_star	48	4	12	500	199	0.262	0.22537626941723765	0.30225291664246134	1.2036151446873071	0.2025	0.0
coarse	0.6000000000000001	0.3999999999999999	mantel	48	4	12	500	199	0.4	0.35797899079473766	0.44354587729757294	0.22940761320250447	0.0925	0.0
coarse	0.7000000000000001	0.29999999999999993	original_l2_cdelta	48	4	12	500	199	0.294	0.25575848743575685	0.3353827408344027	1.0368512347462233	0.13	0.0
coarse	0.7000000000000001	0.29999999999999993	huber_cdelta_star	48	4	12	500	199	0.31	0.2710389112735686	0.3518583381018213	1.2269730179788383	0.125	0.0
coarse	0.7000000000000001	0.29999999999999993	huber_profile_pearson	48	4	12	500	199	0.31	0.2710389112735686	0.3518583381018213	0.3287924508578726	0.125	0.0
coarse	0.7000000000000001	0.29999999999999993	huber_cap6_cdelta_star	48	4	12	500	199	0.31	0.2710389112735686	0.3518583381018213	1.226949702837928	0.1225	0.0
coarse	0.7000000000000001	0.29999999999999993	mantel	48	4	12	500	199	0.572	0.5282438503629422	0.6146582446105943	0.27314640531799067	0.03	0.0
coarse	0.8	0.19999999999999996	original_l2_cdelta	48	4	12	500	199	0.366	0.32494760488221347	0.40909571836148256	1.0418210031451707	0.085	0.0
