design	scenario	strength	n_perm	repetitions	omnibus_reject_count	omnibus_rejection_rate	wilson_low	wilson_high	profile_rejection_rate	mantel_rejection_rate	best_component_power	omnibus_regret	adjusted_profile_rejection_rate	adjusted_mantel_rejection_rate	winner_profile_rate	winner_expected_rate	mean_profile_z	mean_mantel_z	profile_only_rate	mantel_only_rate	both_rate	unresolved_rate	winner_agreement_with_999	decision_agreement_with_999	attribution_agreement_with_999	profile_only_share_given_reject	mantel_only_share_given_reject	both_share_given_reject	unresolved_share_given_reject
moderately_unequal	radial_node	1.4	999	100	67	0.67	0.5730534379509052	0.7543687726587197	0.73	0.64	0.73	0.06	0.61	0.62	0.54	0.54	2.1434057940304307	2.1086364392354415	0.05	0.06	0.56	0.33	1.0	1.0	1.0	0.07462686567164178	0.08955223880597014	0.835820895522388	0.0
severely_unequal	conditional_null	0.0	199	100	3	0.03	0.010254524024038925	0.0845193642905276	0.03	0.03	0.04	0.01	0.01	0.03	0.49	nan	-0.018354541135486374	-0.0011958100614709987	0.0	0.02	0.01	0.97	0.95	1.0	0.99	0.0	0.6666666666666666	0.3333333333333333	0.0
severely_unequal	conditional_null	0.0	499	100	5	0.05	0.02154367915436796	0.11175046923191913	0.06	0.04	0.06	0.009999999999999998	0.03	0.04	0.47	nan	-0.014161739690208099	-7.803871722896982e-05	0.01	0.02	0.02	0.95	0.99	0.98	0.98	0.2	0.4	0.4	0.0
severely_unequal	conditional_null	0.0	999	100	3	0.03	0.010254524024038925	0.0845193642905276	0.04	0.04	0.04	0.01	0.02	0.03	0.48	nan	-0.014143522853380781	0.00045129841439257135	0.0	0.01	0.02	0.97	1.0	1.0	1.0	0.0	0.3333333333333333	0.6666666666666666	0.0
severely_unequal	dyadic	0.6	199	100	9	0.09	0.04807254000256516	0.1622621285271631	0.09	0.1	0.12	0.029999999999999995	0.03	0.09	0.33	0.67	0.2033950958026074	0.3664248159930279	0.0	0.06	0.03	0.91	0.97	0.96	0.94	0.0	0.6666666666666666	0.3333333333333333	0.0
severely_unequal	dyadic	0.6	499	100	14	0.14	0.08526343659939134	0.22137188210963837	0.09	0.12	0.12	-0.019999999999999997	0.04	0.12	0.35	0.65	0.21281410278321505	0.3730729055241595	0.02	0.1	0.02	0.86	0.99	0.99	0.98	0.14285714285714285	0.7142857142857143	0.14285714285714285	0.0
severely_unequal	dyadic	0.6	999	100	13	0.13	0.07757167427240512	0.20980351440076428	0.09	0.13	0.13	6.661338147750939e-18	0.05	0.11	0.36	0.64	0.2170722247930995	0.37540743504850055	0.02	0.08	0.03	0.87	1.0	1.0	1.0	0.15384615384615385	0.6153846153846154	0.23076923076923078	0.0
severely_unequal	dyadic	1.0	199	100	19	0.19	0.12514751509768735	0.27778845379064376	0.14	0.23	0.23	0.04000000000000001	0.09	0.19	0.18	0.82	0.6086284477432377	0.9635907089686857	0.0	0.1	0.09	0.81	0.96	0.97	0.95	0.0	0.5263157894736842	0.47368421052631576	0.0
severely_unequal	dyadic	1.0	499	100	18	0.18	0.1170022549894635	0.2666735838630073	0.13	0.22	0.22	0.039999999999999994	0.08	0.18	0.18	0.82	0.6169140543110297	0.9716959528177515	0.0	0.1	0.08	0.82	0.98	0.98	0.97	0.0	0.5555555555555556	0.4444444444444444	0.0
severely_unequal	dyadic	1.0	999	100	20	0.2	0.1333669333310325	0.2888291655931589	0.14	0.23	0.23	0.030000000000000013	0.09	0.2	0.18	0.82	0.6181532614392229	0.9743345992097693	0.0	0.11	0.09	0.8	1.0	1.0	1.0	0.0	0.55	0.45	0.0
