kind	scale_design	df_label	n	k_extremes	magnitude	repetition	matched_c_delta	matched_correlation	matched_p_value	independent_null_c_delta	independent_null_correlation	independent_null_p_value
l2	common_scale_parameter	normal	80	2	8.0	122	1.22747093	0.88574502	0.00333333	1.09915052	0.4532799	0.01
l2	common_scale_parameter	normal	80	2	8.0	123	1.24272444	0.92769976	0.00333333	1.00189295	0.0084833	0.29
l2	common_scale_parameter	normal	80	2	8.0	124	1.24370214	0.92182228	0.00333333	1.0195506	0.07142581	0.06
l2	common_scale_parameter	normal	80	2	8.0	125	1.2170279	0.89148365	0.00333333	0.98479454	-0.06072612	0.73666667
l2	common_scale_parameter	normal	80	2	8.0	126	1.22427712	0.89227969	0.00333333	0.99976211	-0.0009356	0.30333333
l2	common_scale_parameter	normal	80	2	8.0	127	1.22190028	0.89509054	0.00333333	0.99156576	-0.03430267	0.53
l2	common_scale_parameter	normal	80	2	8.0	128	1.22921077	0.89071633	0.00333333	1.10979301	0.41417548	0.06333333
l2	common_scale_parameter	normal	80	2	8.0	129	1.22001782	0.86367603	0.00333333	0.9934779	-0.02514681	0.47666667
l2	common_scale_parameter	normal	80	2	8.0	130	1.23473263	0.9058959	0.00333333	0.98690729	-0.05008831	0.67333333
l2	common_scale_parameter	normal	80	2	8.0	131	1.19713945	0.90423732	0.00333333	0.9906185	-0.03872137	0.53
l2	common_scale_parameter	normal	80	2	8.0	132	1.21579321	0.89976275	0.00333333	0.99843243	-0.00632512	0.31
l2	common_scale_parameter	normal	80	2	8.0	133	1.19641258	0.86723556	0.00333333	0.98461849	-0.0596999	0.76666667
l2	common_scale_parameter	normal	80	2	8.0	134	1.25740249	0.93763118	0.00333333	0.98940743	-0.04112556	0.63333333
l2	common_scale_parameter	normal	80	2	8.0	135	1.19342584	0.87538968	0.00333333	1.00908768	0.03697316	0.19666667
l2	common_scale_parameter	normal	80	2	8.0	136	1.20592123	0.86427154	0.00333333	0.99422514	-0.02463336	0.44333333
l2	common_scale_parameter	normal	80	2	8.0	137	1.22073398	0.89250666	0.00333333	1.01555921	0.06481743	0.09333333
l2	common_scale_parameter	normal	80	2	8.0	138	1.23785043	0.91053731	0.00333333	0.98356145	-0.06257779	0.77
l2	common_scale_parameter	normal	80	2	8.0	139	1.20826977	0.85495249	0.00333333	0.97940068	-0.08297938	0.91666667
l2	common_scale_parameter	normal	80	2	8.0	140	1.20201941	0.89578349	0.00333333	0.97724955	-0.09045192	0.95
l2	common_scale_parameter	normal	80	2	8.0	141	1.23308597	0.87649555	0.00333333	0.9928335	-0.02770357	0.49666667
l2	common_scale_parameter	normal	80	2	8.0	142	1.20192106	0.88670218	0.00333333	1.00920707	0.03624509	0.16
l2	common_scale_parameter	normal	80	2	8.0	143	1.22412756	0.86253853	0.00333333	0.98565992	-0.05893097	0.76333333
l2	common_scale_parameter	normal	80	2	8.0	144	1.23857976	0.90850436	0.00333333	0.9772843	-0.09363299	0.96333333
l2	common_scale_parameter	normal	80	2	8.0	145	1.23271477	0.90539175	0.00333333	0.98776929	-0.04824456	0.62333333
l2	common_scale_parameter	normal	80	2	8.0	146	1.20571875	0.8859517	0.00333333	0.97746694	-0.08868623	0.93666667
l2	common_scale_parameter	normal	80	2	8.0	147	1.25292072	0.93250744	0.00333333	0.98140099	-0.07509812	0.90666667
l2	common_scale_parameter	normal	80	2	8.0	148	1.22689169	0.87566349	0.00333333	0.98992365	-0.03797042	0.57
