kind	df_label	n	k_extremes	magnitude	scenario	alpha	repetitions	n_perm	reject_count	rejection_rate	wilson_low	wilson_high	mean_norm	mean_corr	mean_index_overlap	mean_p	p05	p50	p95
l2	t10	40	3	8.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9894	0.9315	3.0	0.0033	0.0033	0.0033	0.0033
l2	t10	40	3	8.0	independent_null	0.05	120	299	6	0.05	0.0231	0.1048	0.8212	-0.0182	0.2	0.5623	0.0498	0.6267	0.9733
l2	t10	80	1	4.0	matched	0.05	120	299	88	0.7333	0.6479	0.8043	0.9272	0.2926	1.0	0.0361	0.0033	0.0217	0.1178
l2	t10	80	1	4.0	independent_null	0.05	120	299	3	0.025	0.0085	0.0709	0.8971	0.0047	0.0083	0.4761	0.0667	0.465	0.9368
l2	t10	80	1	6.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9413	0.5444	1.0	0.0099	0.0033	0.01	0.02
l2	t10	80	1	6.0	independent_null	0.05	120	299	5	0.0417	0.0179	0.0938	0.8665	0.0017	0.0083	0.489	0.073	0.4567	0.9433
l2	t10	80	1	8.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9565	0.7302	1.0	0.0093	0.0033	0.0083	0.02
l2	t10	80	1	8.0	independent_null	0.05	120	299	3	0.025	0.0085	0.0709	0.8316	-0.0055	0.0083	0.5077	0.0792	0.5	0.9435
l2	t10	80	2	4.0	matched	0.05	120	299	118	0.9833	0.9413	0.9954	0.9388	0.429	2.0	0.0084	0.0033	0.0033	0.0235
l2	t10	80	2	4.0	independent_null	0.05	120	299	10	0.0833	0.0459	0.1466	0.8925	0.016	0.0833	0.4707	0.0362	0.4633	0.9405
l2	t10	80	2	6.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9579	0.7056	2.0	0.0034	0.0033	0.0033	0.0033
l2	t10	80	2	6.0	independent_null	0.05	120	299	8	0.0667	0.0342	0.1261	0.8518	0.0031	0.05	0.4913	0.0462	0.4767	0.9603
l2	t10	80	2	8.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9713	0.8354	2.0	0.0035	0.0033	0.0033	0.0035
l2	t10	80	2	8.0	independent_null	0.05	120	299	5	0.0417	0.0179	0.0938	0.8108	-0.0066	0.0333	0.517	0.0597	0.5183	0.9373
l2	t10	80	3	4.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9488	0.5369	3.0	0.0037	0.0033	0.0033	0.0067
l2	t10	80	3	4.0	independent_null	0.05	120	299	9	0.075	0.04	0.1364	0.8893	0.0177	0.1333	0.4658	0.0397	0.49	0.9735
l2	t10	80	3	6.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9674	0.7777	3.0	0.0034	0.0033	0.0033	0.0033
l2	t10	80	3	6.0	independent_null	0.05	120	299	10	0.0833	0.0459	0.1466	0.8505	0.0353	0.225	0.446	0.0332	0.4317	0.8913
l2	t10	80	3	8.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9802	0.8907	3.0	0.0033	0.0033	0.0033	0.0033
