kind	df_label	n	k_extremes	magnitude	scenario	alpha	repetitions	n_perm	reject_count	rejection_rate	wilson_low	wilson_high	mean_norm	mean_corr	mean_index_overlap	mean_p	p05	p50	p95
l2	t2.5	80	3	8.0	matched	0.05	120	299	97	0.8083	0.7288	0.8688	0.9174	0.4977	3.0	0.0239	0.0033	0.0033	0.1102
l2	t2.5	80	3	8.0	independent_null	0.05	120	299	3	0.025	0.0085	0.0709	0.8288	0.0012	0.125	0.4918	0.0665	0.4767	0.9202
l2	t2.5	160	1	4.0	matched	0.05	120	299	8	0.0667	0.0342	0.1261	0.8365	0.0132	1.0	0.4277	0.043	0.4283	0.8373
l2	t2.5	160	1	4.0	independent_null	0.05	120	299	5	0.0417	0.0179	0.0938	0.8333	0.0102	0.0083	0.4522	0.066	0.4517	0.9203
l2	t2.5	160	1	6.0	matched	0.05	120	299	19	0.1583	0.1038	0.2341	0.8431	0.0736	1.0	0.2137	0.0198	0.1633	0.5435
l2	t2.5	160	1	6.0	independent_null	0.05	120	299	9	0.075	0.04	0.1364	0.8352	0.0004	0.0083	0.5083	0.0433	0.5567	0.9267
l2	t2.5	160	1	8.0	matched	0.05	120	299	47	0.3917	0.309	0.4811	0.8519	0.1479	1.0	0.0825	0.0067	0.0633	0.2135
l2	t2.5	160	1	8.0	independent_null	0.05	120	299	4	0.0333	0.013	0.0826	0.822	-0.008	0.0083	0.5173	0.0925	0.4883	0.9173
l2	t2.5	160	2	4.0	matched	0.05	120	299	6	0.05	0.0231	0.1048	0.8452	0.0434	2.0	0.3113	0.0495	0.295	0.7133
l2	t2.5	160	2	4.0	independent_null	0.05	120	299	6	0.05	0.0231	0.1048	0.8405	-0.0014	0.0167	0.5112	0.0655	0.5133	0.9405
l2	t2.5	160	2	6.0	matched	0.05	120	299	50	0.4167	0.3324	0.5061	0.8582	0.1383	2.0	0.1127	0.0033	0.0667	0.3543
l2	t2.5	160	2	6.0	independent_null	0.05	120	299	7	0.0583	0.0285	0.1155	0.8347	0.0033	0.025	0.4886	0.0465	0.4467	0.9533
l2	t2.5	160	2	8.0	matched	0.05	120	299	93	0.775	0.6924	0.8405	0.8689	0.2601	2.0	0.0356	0.0033	0.0133	0.117
l2	t2.5	160	2	8.0	independent_null	0.05	120	299	5	0.0417	0.0179	0.0938	0.8222	-0.0057	0.0083	0.5234	0.0565	0.55	0.9313
l2	t2.5	160	3	4.0	matched	0.05	120	299	15	0.125	0.0772	0.196	0.8504	0.0591	3.0	0.2764	0.01	0.2317	0.6065
l2	t2.5	160	3	4.0	independent_null	0.05	120	299	8	0.0667	0.0342	0.1261	0.8419	0.0013	0.05	0.5003	0.0298	0.4967	0.9468
l2	t2.5	160	3	6.0	matched	0.05	120	299	65	0.5417	0.4526	0.6281	0.8621	0.1707	3.0	0.0674	0.0033	0.0433	0.194
l2	t2.5	160	3	6.0	independent_null	0.05	120	299	7	0.0583	0.0285	0.1155	0.8339	0.0077	0.0583	0.4551	0.0463	0.4333	0.9467
l2	t2.5	160	3	8.0	matched	0.05	120	299	102	0.85	0.7753	0.903	0.8784	0.3194	3.0	0.0221	0.0033	0.0067	0.0642
l2	t2.5	160	3	8.0	independent_null	0.05	120	299	4	0.0333	0.013	0.0826	0.8214	0.0044	0.0667	0.4975	0.0665	0.4883	0.9043
l2	t2.2	40	1	4.0	matched	0.05	120	299	11	0.0917	0.052	0.1567	0.876	0.0947	1.0	0.2931	0.0263	0.255	0.6672
l2	t2.2	40	1	4.0	independent_null	0.05	120	299	11	0.0917	0.052	0.1567	0.8636	0.0395	0.0083	0.4431	0.0267	0.43	0.9303
l2	t2.2	40	1	6.0	matched	0.05	120	299	38	0.3167	0.2402	0.4045	0.8839	0.2416	1.0	0.1355	0.01	0.09	0.4102
l2	t2.2	40	1	6.0	independent_null	0.05	120	299	3	0.025	0.0085	0.0709	0.8476	-0.016	0.0417	0.5211	0.0698	0.5483	0.9635
l2	t2.2	40	1	8.0	matched	0.05	120	299	74	0.6167	0.5273	0.6988	0.9056	0.4163	1.0	0.0623	0.0067	0.0367	0.2202
l2	t2.2	40	1	8.0	independent_null	0.05	120	299	5	0.0417	0.0179	0.0938	0.8321	-0.0028	0.025	0.5277	0.0565	0.5367	0.9635
l2	t2.2	40	2	4.0	matched	0.05	120	299	28	0.2333	0.1667	0.3166	0.8879	0.1532	2.0	0.2423	0.0065	0.2117	0.6707
l2	t2.2	40	2	4.0	independent_null	0.05	120	299	8	0.0667	0.0342	0.1261	0.8727	0.0132	0.0583	0.4916	0.0433	0.4983	0.9407
l2	t2.2	40	2	6.0	matched	0.05	120	299	68	0.5667	0.4773	0.6519	0.9113	0.3811	2.0	0.0748	0.0033	0.0267	0.2602
l2	t2.2	40	2	6.0	independent_null	0.05	120	299	7	0.0583	0.0285	0.1155	0.856	0.0203	0.1083	0.4713	0.0463	0.4817	0.9502
l2	t2.2	40	2	8.0	matched	0.05	120	299	100	0.8333	0.7565	0.8894	0.9337	0.5668	2.0	0.0253	0.0033	0.0067	0.1177
l2	t2.2	40	2	8.0	independent_null	0.05	120	299	6	0.05	0.0231	0.1048	0.8402	-0.0079	0.0917	0.5014	0.0593	0.49	0.9342
l2	t2.2	40	3	4.0	matched	0.05	120	299	25	0.2083	0.1453	0.2895	0.8941	0.1636	3.0	0.242	0.0033	0.1767	0.667
l2	t2.2	40	3	4.0	independent_null	0.05	120	299	7	0.0583	0.0285	0.1155	0.8838	0.0259	0.1833	0.4697	0.0328	0.445	0.9138
l2	t2.2	40	3	6.0	matched	0.05	120	299	77	0.6417	0.5527	0.7218	0.9214	0.4059	3.0	0.07	0.0033	0.0167	0.247
l2	t2.2	40	3	6.0	independent_null	0.05	120	299	6	0.05	0.0231	0.1048	0.8695	0.0096	0.2833	0.4792	0.0497	0.4633	0.9308
l2	t2.2	40	3	8.0	matched	0.05	120	299	96	0.8	0.7196	0.8618	0.9404	0.5626	3.0	0.0327	0.0033	0.0033	0.1337
l2	t2.2	40	3	8.0	independent_null	0.05	120	299	6	0.05	0.0231	0.1048	0.8485	-0.0177	0.175	0.5238	0.0527	0.5417	0.9568
l2	t2.2	80	1	4.0	matched	0.05	120	299	8	0.0667	0.0342	0.1261	0.8549	0.064	1.0	0.3384	0.0232	0.2733	0.8285
l2	t2.2	80	1	4.0	independent_null	0.05	120	299	5	0.0417	0.0179	0.0938	0.8425	0.0027	0.0167	0.4814	0.0563	0.4867	0.897
l2	t2.2	80	1	6.0	matched	0.05	120	299	17	0.1417	0.0904	0.2152	0.8503	0.1115	1.0	0.192	0.0298	0.1567	0.564
l2	t2.2	80	1	6.0	independent_null	0.05	120	299	11	0.0917	0.052	0.1567	0.837	0.0102	0.0	0.4781	0.0267	0.4567	0.9308
l2	t2.2	80	1	8.0	matched	0.05	120	299	50	0.4167	0.3324	0.5061	0.8608	0.2226	1.0	0.0943	0.0033	0.0583	0.3142
l2	t2.2	80	1	8.0	independent_null	0.05	120	299	8	0.0667	0.0342	0.1261	0.8246	-0.0015	0.0	0.5147	0.0298	0.5083	0.9668
l2	t2.2	80	2	4.0	matched	0.05	120	299	16	0.1333	0.0838	0.2056	0.8529	0.0701	2.0	0.2874	0.0232	0.265	0.639
l2	t2.2	80	2	4.0	independent_null	0.05	120	299	4	0.0333	0.013	0.0826	0.8451	0.0071	0.0333	0.4779	0.0533	0.4517	0.9367
l2	t2.2	80	2	6.0	matched	0.05	120	299	46	0.3833	0.3012	0.4727	0.8712	0.1996	2.0	0.1091	0.0033	0.0783	0.3047
l2	t2.2	80	2	6.0	independent_null	0.05	120	299	1	0.0083	0.0015	0.0457	0.8292	-0.0192	0.0583	0.5445	0.0898	0.5833	0.9668
l2	t2.2	80	2	8.0	matched	0.05	120	299	83	0.6917	0.6042	0.7673	0.8803	0.3249	2.0	0.0503	0.0033	0.025	0.2107
l2	t2.2	80	2	8.0	independent_null	0.05	120	299	7	0.0583	0.0285	0.1155	0.8265	0.0144	0.0417	0.4611	0.0433	0.4533	0.8985
l2	t2.2	80	3	4.0	matched	0.05	120	299	16	0.1333	0.0838	0.2056	0.8667	0.0993	3.0	0.2429	0.0232	0.2217	0.63
l2	t2.2	80	3	4.0	independent_null	0.05	120	299	11	0.0917	0.052	0.1567	0.8508	0.007	0.1	0.5183	0.0263	0.5567	0.9533
l2	t2.2	80	3	6.0	matched	0.05	120	299	65	0.5417	0.4526	0.6281	0.8852	0.2562	3.0	0.0758	0.0033	0.035	0.2785
l2	t2.2	80	3	6.0	independent_null	0.05	120	299	2	0.0167	0.0046	0.0587	0.8395	-0.0119	0.1083	0.5025	0.1132	0.49	0.947
l2	t2.2	80	3	8.0	matched	0.05	120	299	95	0.7917	0.7105	0.8547	0.9018	0.4096	3.0	0.039	0.0033	0.0067	0.1545
l2	t2.2	80	3	8.0	independent_null	0.05	120	299	3	0.025	0.0085	0.0709	0.8221	-0.0058	0.1333	0.5073	0.0863	0.4967	0.9203
l2	t2.2	160	1	4.0	matched	0.05	120	299	7	0.0583	0.0285	0.1155	0.825	0.0064	1.0	0.4654	0.0465	0.4117	0.9237
l2	t2.2	160	1	4.0	independent_null	0.05	120	299	5	0.0417	0.0179	0.0938	0.8198	0.0033	0.0	0.4875	0.0795	0.5033	0.9302
l2	t2.2	160	1	6.0	matched	0.05	120	299	14	0.1167	0.0708	0.1863	0.8251	0.0498	1.0	0.3007	0.0267	0.2433	0.7337
l2	t2.2	160	1	6.0	independent_null	0.05	120	299	7	0.0583	0.0285	0.1155	0.8124	0.0003	0.0	0.5035	0.0432	0.54	0.9437
l2	t2.2	160	1	8.0	matched	0.05	120	299	31	0.2583	0.1884	0.3433	0.832	0.1063	1.0	0.1487	0.0067	0.1017	0.4052
l2	t2.2	160	1	8.0	independent_null	0.05	120	299	6	0.05	0.0231	0.1048	0.8116	-0.0035	0.0083	0.5248	0.0558	0.505	0.9508
l2	t2.2	160	2	4.0	matched	0.05	120	299	8	0.0667	0.0342	0.1261	0.8299	0.0288	2.0	0.3465	0.0365	0.3333	0.7078
l2	t2.2	160	2	4.0	independent_null	0.05	120	299	6	0.05	0.0231	0.1048	0.8151	0.0072	0.025	0.472	0.0592	0.4283	0.9668
l2	t2.2	160	2	6.0	matched	0.05	120	299	23	0.1917	0.1312	0.2712	0.8378	0.091	2.0	0.1643	0.013	0.135	0.3872
l2	t2.2	160	2	6.0	independent_null	0.05	120	299	4	0.0333	0.013	0.0826	0.8262	0.0039	0.025	0.4673	0.0733	0.4183	0.9435
l2	t2.2	160	2	8.0	matched	0.05	120	299	55	0.4583	0.3719	0.5474	0.8373	0.1617	2.0	0.0712	0.0033	0.0533	0.1735
l2	t2.2	160	2	8.0	independent_null	0.05	120	299	10	0.0833	0.0459	0.1466	0.8137	0.0076	0.0417	0.4753	0.0363	0.475	0.9277
l2	t2.2	160	3	4.0	matched	0.05	120	299	12	0.1	0.0581	0.1667	0.8284	0.0344	3.0	0.3419	0.0267	0.3267	0.7003
l2	t2.2	160	3	4.0	independent_null	0.05	120	299	3	0.025	0.0085	0.0709	0.8171	-0.0127	0.05	0.5685	0.0665	0.66	0.9738
l2	t2.2	160	3	6.0	matched	0.05	120	299	31	0.2583	0.1884	0.3433	0.8404	0.1129	3.0	0.1419	0.0065	0.095	0.451
l2	t2.2	160	3	6.0	independent_null	0.05	120	299	9	0.075	0.04	0.1364	0.8192	0.0085	0.0333	0.5066	0.0297	0.5567	0.95
l2	t2.2	160	3	8.0	matched	0.05	120	299	77	0.6417	0.5527	0.7218	0.8576	0.2278	3.0	0.0445	0.0033	0.0233	0.14
l2	t2.2	160	3	8.0	independent_null	0.05	120	299	3	0.025	0.0085	0.0709	0.8117	-0.0145	0.0583	0.5474	0.0963	0.5667	0.9667
l2	t2	40	1	4.0	matched	0.05	120	299	10	0.0833	0.0459	0.1466	0.8623	0.0674	1.0	0.367	0.0233	0.32	0.8668
l2	t2	40	1	4.0	independent_null	0.05	120	299	2	0.0167	0.0046	0.0587	0.8498	-0.0226	0.0167	0.5113	0.1062	0.4783	0.9435
l2	t2	40	1	6.0	matched	0.05	120	299	22	0.1833	0.1243	0.262	0.8781	0.1926	1.0	0.1732	0.0133	0.135	0.4482
l2	t2	40	1	6.0	independent_null	0.05	120	299	7	0.0583	0.0285	0.1155	0.8452	0.0005	0.0333	0.5263	0.0467	0.5667	0.9568
l2	t2	40	1	8.0	matched	0.05	120	299	58	0.4833	0.3958	0.5719	0.8886	0.3467	1.0	0.0926	0.0033	0.05	0.2762
l2	t2	40	1	8.0	independent_null	0.05	120	299	6	0.05	0.0231	0.1048	0.8245	-0.0066	0.0333	0.5027	0.0557	0.5017	0.9667
l2	t2	40	2	4.0	matched	0.05	120	299	13	0.1083	0.0644	0.1766	0.8781	0.1082	2.0	0.2887	0.0227	0.24	0.6802
l2	t2	40	2	4.0	independent_null	0.05	120	299	6	0.05	0.0231	0.1048	0.8663	0.0164	0.0583	0.4737	0.053	0.4767	0.9373
l2	t2	40	2	6.0	matched	0.05	120	299	54	0.45	0.3639	0.5392	0.8937	0.2914	2.0	0.1273	0.0033	0.0717	0.5072
l2	t2	40	2	6.0	independent_null	0.05	120	299	6	0.05	0.0231	0.1048	0.858	0.0063	0.0667	0.4958	0.0495	0.4783	0.9268
l2	t2	40	2	8.0	matched	0.05	120	299	71	0.5917	0.5022	0.6754	0.909	0.4189	2.0	0.067	0.0033	0.03	0.2317
l2	t2	40	2	8.0	independent_null	0.05	120	299	4	0.0333	0.013	0.0826	0.8386	0.0027	0.1	0.5017	0.08	0.4967	0.9435
l2	t2	40	3	4.0	matched	0.05	120	299	23	0.1917	0.1312	0.2712	0.8884	0.1517	3.0	0.2478	0.0065	0.1917	0.6438
l2	t2	40	3	4.0	independent_null	0.05	120	299	2	0.0167	0.0046	0.0587	0.8669	-0.0148	0.1833	0.5259	0.08	0.5717	0.9503
l2	t2	40	3	6.0	matched	0.05	120	299	62	0.5167	0.4281	0.6042	0.9123	0.3392	3.0	0.0901	0.0033	0.0433	0.3102
l2	t2	40	3	6.0	independent_null	0.05	120	299	4	0.0333	0.013	0.0826	0.862	-0.0017	0.1667	0.4971	0.06	0.4867	0.9378
l2	t2	40	3	8.0	matched	0.05	120	299	78	0.65	0.5612	0.7295	0.9272	0.4735	3.0	0.0656	0.0033	0.0083	0.2968
l2	t2	40	3	8.0	independent_null	0.05	120	299	7	0.0583	0.0285	0.1155	0.8535	0.0129	0.2917	0.4739	0.0458	0.49	0.8737
l2	t2	80	1	4.0	matched	0.05	120	299	10	0.0833	0.0459	0.1466	0.8278	0.0268	1.0	0.4329	0.0198	0.3917	0.8768
l2	t2	80	1	4.0	independent_null	0.05	120	299	6	0.05	0.0231	0.1048	0.8318	0.0051	0.0	0.4816	0.053	0.5067	0.914
l2	t2	80	1	6.0	matched	0.05	120	299	17	0.1417	0.0904	0.2152	0.8407	0.0889	1.0	0.2197	0.0165	0.22	0.4838
l2	t2	80	1	6.0	independent_null	0.05	120	299	9	0.075	0.04	0.1364	0.8303	0.0064	0.0167	0.4981	0.0393	0.505	0.9767
l2	t2	80	1	8.0	matched	0.05	120	299	32	0.2667	0.1957	0.3521	0.8442	0.1587	1.0	0.1366	0.0132	0.115	0.3453
l2	t2	80	1	8.0	independent_null	0.05	120	299	10	0.0833	0.0459	0.1466	0.823	0.02	0.0167	0.4463	0.03	0.405	0.9203
l2	t2	80	2	4.0	matched	0.05	120	299	19	0.1583	0.1038	0.2341	0.848	0.0692	2.0	0.3218	0.0263	0.2867	0.7368
l2	t2	80	2	4.0	independent_null	0.05	120	299	3	0.025	0.0085	0.0709	0.8336	-0.0124	0.0333	0.533	0.0852	0.545	0.9313
l2	t2	80	2	6.0	matched	0.05	120	299	32	0.2667	0.1957	0.3521	0.8531	0.1477	2.0	0.1674	0.0033	0.145	0.3952
l2	t2	80	2	6.0	independent_null	0.05	120	299	6	0.05	0.0231	0.1048	0.8263	-0.0043	0.0667	0.5217	0.0498	0.5117	0.954
l2	t2	80	2	8.0	matched	0.05	120	299	58	0.4833	0.3958	0.5719	0.8657	0.2602	2.0	0.0784	0.0033	0.0567	0.2737
l2	t2	80	2	8.0	independent_null	0.05	120	299	3	0.025	0.0085	0.0709	0.8197	-0.009	0.0167	0.5141	0.0763	0.535	0.9177
l2	t2	80	3	4.0	matched	0.05	120	299	19	0.1583	0.1038	0.2341	0.85	0.0796	3.0	0.3115	0.0133	0.2533	0.7338
l2	t2	80	3	4.0	independent_null	0.05	120	299	12	0.1	0.0581	0.1667	0.8369	0.0163	0.1417	0.4702	0.0365	0.4733	0.9335
l2	t2	80	3	6.0	matched	0.05	120	299	40	0.3333	0.2553	0.4217	0.863	0.1835	3.0	0.134	0.0033	0.0867	0.4117
l2	t2	80	3	6.0	independent_null	0.05	120	299	3	0.025	0.0085	0.0709	0.8373	-0.0109	0.125	0.5155	0.0828	0.5	0.9408
l2	t2	80	3	8.0	matched	0.05	120	299	75	0.625	0.5358	0.7065	0.8852	0.3171	3.0	0.0606	0.0033	0.0233	0.2342
l2	t2	80	3	8.0	independent_null	0.05	120	299	10	0.0833	0.0459	0.1466	0.8343	0.0314	0.175	0.4262	0.0262	0.3967	0.9435
l2	t2	160	1	4.0	matched	0.05	120	299	5	0.0417	0.0179	0.0938	0.8065	0.0048	1.0	0.4603	0.076	0.46	0.8705
l2	t2	160	1	4.0	independent_null	0.05	120	299	6	0.05	0.0231	0.1048	0.8005	0.0049	0.0	0.5001	0.0498	0.4733	0.9603
l2	t2	160	1	6.0	matched	0.05	120	299	10	0.0833	0.0459	0.1466	0.8162	0.0477	1.0	0.2849	0.0233	0.2717	0.6183
l2	t2	160	1	6.0	independent_null	0.05	120	299	7	0.0583	0.0285	0.1155	0.7987	-0.0017	0.0083	0.5342	0.043	0.5433	0.9733
l2	t2	160	1	8.0	matched	0.05	120	299	16	0.1333	0.0838	0.2056	0.8184	0.0727	1.0	0.2028	0.0133	0.1633	0.5045
l2	t2	160	1	8.0	independent_null	0.05	120	299	3	0.025	0.0085	0.0709	0.7998	-0.0108	0.0	0.5373	0.1017	0.5783	0.9335
l2	t2	160	2	4.0	matched	0.05	120	299	7	0.0583	0.0285	0.1155	0.8092	0.0205	2.0	0.3987	0.0392	0.3667	0.8382
l2	t2	160	2	4.0	independent_null	0.05	120	299	4	0.0333	0.013	0.0826	0.8049	-0.0094	0.025	0.5197	0.0598	0.5083	0.9668
l2	t2	160	2	6.0	matched	0.05	120	299	16	0.1333	0.0838	0.2056	0.8196	0.0562	2.0	0.2535	0.0133	0.2483	0.5395
l2	t2	160	2	6.0	independent_null	0.05	120	299	6	0.05	0.0231	0.1048	0.8048	-0.0039	0.0167	0.5101	0.0497	0.5283	0.9505
l2	t2	160	2	8.0	matched	0.05	120	299	47	0.3917	0.309	0.4811	0.8345	0.1474	2.0	0.1008	0.0033	0.075	0.3002
l2	t2	160	2	8.0	independent_null	0.05	120	299	6	0.05	0.0231	0.1048	0.8027	0.0004	0.0083	0.5051	0.053	0.5717	0.9468
l2	t2	160	3	4.0	matched	0.05	120	299	8	0.0667	0.0342	0.1261	0.8117	0.0255	3.0	0.3588	0.0398	0.3083	0.8003
l2	t2	160	3	4.0	independent_null	0.05	120	299	5	0.0417	0.0179	0.0938	0.8121	0.004	0.0667	0.4971	0.0627	0.5383	0.937
l2	t2	160	3	6.0	matched	0.05	120	299	25	0.2083	0.1453	0.2895	0.8284	0.0891	3.0	0.1919	0.0163	0.1417	0.574
l2	t2	160	3	6.0	independent_null	0.05	120	299	7	0.0583	0.0285	0.1155	0.8092	0.0065	0.0333	0.4834	0.0432	0.4783	0.9605
l2	t2	160	3	8.0	matched	0.05	120	299	71	0.5917	0.5022	0.6754	0.8467	0.1872	3.0	0.0681	0.0033	0.0367	0.205
l2	t2	160	3	8.0	independent_null	0.05	120	299	4	0.0333	0.013	0.0826	0.7994	-0.0015	0.075	0.4986	0.06	0.4767	0.9767
l1	normal	40	1	4.0	matched	0.05	120	299	119	0.9917	0.9543	0.9985	0.9296	0.5712	1.0	0.0159	0.0033	0.0133	0.0367
l1	normal	40	1	4.0	independent_null	0.05	120	299	6	0.05	0.0231	0.1048	0.8291	-0.0095	0.025	0.5264	0.0498	0.5317	0.9635
l1	normal	40	1	6.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9463	0.789	1.0	0.0145	0.0033	0.0133	0.03
l1	normal	40	1	6.0	independent_null	0.05	120	299	2	0.0167	0.0046	0.0587	0.7244	-0.0295	0.0	0.5365	0.0865	0.5383	0.9368
l1	normal	40	1	8.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9595	0.8814	1.0	0.0165	0.0033	0.0133	0.0367
l1	normal	40	1	8.0	independent_null	0.05	120	299	10	0.0833	0.0459	0.1466	0.6488	0.0253	0.05	0.5033	0.0365	0.5633	0.9833
l1	normal	40	2	4.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9473	0.712	2.0	0.0043	0.0033	0.0033	0.0067
l1	normal	40	2	4.0	independent_null	0.05	120	299	6	0.05	0.0231	0.1048	0.8103	0.0032	0.1167	0.5018	0.0655	0.5067	0.9168
l1	normal	40	2	6.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9646	0.8688	2.0	0.0041	0.0033	0.0033	0.0067
l1	normal	40	2	6.0	independent_null	0.05	120	299	7	0.0583	0.0285	0.1155	0.7127	0.036	0.1667	0.4356	0.0332	0.4133	0.9133
l1	normal	40	2	8.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9761	0.933	2.0	0.0037	0.0033	0.0033	0.0067
l1	normal	40	2	8.0	independent_null	0.05	120	299	6	0.05	0.0231	0.1048	0.6171	0.0153	0.1167	0.4723	0.0495	0.46	0.9607
l1	normal	40	3	4.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9558	0.7517	3.0	0.0035	0.0033	0.0033	0.0033
l1	normal	40	3	4.0	independent_null	0.05	120	299	12	0.1	0.0581	0.1667	0.8167	0.0258	0.3083	0.4684	0.0263	0.455	0.947
l1	normal	40	3	6.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9732	0.9	3.0	0.0034	0.0033	0.0033	0.0033
l1	normal	40	3	6.0	independent_null	0.05	120	299	7	0.0583	0.0285	0.1155	0.7081	-0.0205	0.1667	0.5323	0.0398	0.5533	0.9568
l1	normal	40	3	8.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9821	0.9478	3.0	0.0034	0.0033	0.0033	0.0033
l1	normal	40	3	8.0	independent_null	0.05	120	299	4	0.0333	0.013	0.0826	0.6266	-0.0098	0.225	0.5298	0.0663	0.5267	0.95
l1	normal	80	1	4.0	matched	0.05	120	299	119	0.9917	0.9543	0.9985	0.912	0.3952	1.0	0.0126	0.0033	0.01	0.0367
l1	normal	80	1	4.0	independent_null	0.05	120	299	4	0.0333	0.013	0.0826	0.8503	-0.0098	0.0083	0.5248	0.0662	0.5167	0.9405
l1	normal	80	1	6.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9254	0.6514	1.0	0.0103	0.0033	0.01	0.0233
l1	normal	80	1	6.0	independent_null	0.05	120	299	7	0.0583	0.0285	0.1155	0.784	0.0187	0.025	0.4474	0.0367	0.4067	0.9478
l1	normal	80	1	8.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9367	0.7841	1.0	0.0088	0.0033	0.0067	0.02
l1	normal	80	1	8.0	independent_null	0.05	120	299	7	0.0583	0.0285	0.1155	0.701	-0.0005	0.0	0.4649	0.0465	0.4433	0.9277
l1	normal	80	2	4.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.925	0.5498	2.0	0.0036	0.0033	0.0033	0.0067
l1	normal	80	2	4.0	independent_null	0.05	120	299	4	0.0333	0.013	0.0826	0.83	-0.0057	0.0583	0.5178	0.0698	0.52	0.9633
l1	normal	80	2	6.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.945	0.7883	2.0	0.0034	0.0033	0.0033	0.0033
l1	normal	80	2	6.0	independent_null	0.05	120	299	12	0.1	0.0581	0.1667	0.7418	0.0284	0.1167	0.4729	0.0133	0.46	0.9308
l1	normal	80	2	8.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9577	0.8789	2.0	0.0036	0.0033	0.0033	0.0067
l1	normal	80	2	8.0	independent_null	0.05	120	299	2	0.0167	0.0046	0.0587	0.6352	-0.0127	0.0083	0.4892	0.0757	0.5183	0.9033
l1	normal	80	3	4.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9358	0.6359	3.0	0.0034	0.0033	0.0033	0.0033
l1	normal	80	3	4.0	independent_null	0.05	120	299	7	0.0583	0.0285	0.1155	0.8181	-0.0032	0.1333	0.5241	0.0395	0.5867	0.9407
l1	normal	80	3	6.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9554	0.8411	3.0	0.0033	0.0033	0.0033	0.0033
l1	normal	80	3	6.0	independent_null	0.05	120	299	5	0.0417	0.0179	0.0938	0.7127	-0.002	0.125	0.5183	0.0665	0.5683	0.9703
l1	normal	80	3	8.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9674	0.9098	3.0	0.0033	0.0033	0.0033	0.0033
l1	normal	80	3	8.0	independent_null	0.05	120	299	6	0.05	0.0231	0.1048	0.6196	0.0031	0.1167	0.5036	0.0617	0.51	0.9502
l1	normal	160	1	4.0	matched	0.05	120	299	113	0.9417	0.8845	0.9715	0.898	0.2347	1.0	0.0175	0.0033	0.01	0.05
l1	normal	160	1	4.0	independent_null	0.05	120	299	7	0.0583	0.0285	0.1155	0.8693	0.0033	0.0167	0.4969	0.0333	0.4833	0.9368
l1	normal	160	1	6.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9115	0.4925	1.0	0.0061	0.0033	0.0067	0.0133
l1	normal	160	1	6.0	independent_null	0.05	120	299	5	0.0417	0.0179	0.0938	0.8261	0.0064	0.025	0.5019	0.0597	0.495	0.901
l1	normal	160	1	8.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9177	0.6429	1.0	0.0061	0.0033	0.0067	0.0133
l1	normal	160	1	8.0	independent_null	0.05	120	299	6	0.05	0.0231	0.1048	0.7655	-0.0028	0.0083	0.5157	0.049	0.5283	0.9503
l1	normal	160	2	4.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.91	0.3849	2.0	0.0036	0.0033	0.0033	0.0067
l1	normal	160	2	4.0	independent_null	0.05	120	299	9	0.075	0.04	0.1364	0.8501	0.0022	0.0667	0.5043	0.0432	0.5317	0.9575
l1	normal	160	2	6.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9215	0.6374	2.0	0.0034	0.0033	0.0033	0.0033
l1	normal	160	2	6.0	independent_null	0.05	120	299	5	0.0417	0.0179	0.0938	0.7825	0.0048	0.025	0.4748	0.0533	0.475	0.9538
l1	normal	160	2	8.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.936	0.7829	2.0	0.0034	0.0033	0.0033	0.0033
l1	normal	160	2	8.0	independent_null	0.05	120	299	5	0.0417	0.0179	0.0938	0.6997	-0.0062	0.0083	0.5157	0.0532	0.495	0.9338
l1	normal	160	3	4.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9168	0.4752	3.0	0.0033	0.0033	0.0033	0.0033
l1	normal	160	3	4.0	independent_null	0.05	120	299	9	0.075	0.04	0.1364	0.8384	0.0033	0.1083	0.495	0.036	0.505	0.9645
l1	normal	160	3	6.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9333	0.7251	3.0	0.0033	0.0033	0.0033	0.0033
l1	normal	160	3	6.0	independent_null	0.05	120	299	5	0.0417	0.0179	0.0938	0.7536	-0.0029	0.0333	0.4997	0.0763	0.5367	0.9733
