background	kind	n	k_extremes	scenario	target_reference	target_corr	selected_magnitude	calibrated_mean_corr	calibrated_mean_norm	alpha	calibration_repetitions	evaluation_repetitions	n_perm	reject_count	rejection_rate	wilson_low	wilson_high	mean_raw	mean_norm	mean_corr	mean_p	p05	p50	p95	mean_index_overlap
t3	l2	80	1	matched	explicit target_corr=0.35	0.35	7.0	0.3038	0.8924	0.05	120	300	499	220	0.7333	0.6806	0.7802	84.6824	0.8952	0.3169	0.0397	0.002	0.024	0.1283	1.0
t3	l2	80	1	independent_null	explicit target_corr=0.35	0.35	7.0	0.3038	0.8924	0.05	120	300	499	8	0.0267	0.0136	0.0517	79.8252	0.8435	-0.0117	0.523	0.0799	0.536	0.9526	0.0133
t3	l2	80	2	matched	explicit target_corr=0.35	0.35	6.0	0.3499	0.903	0.05	120	300	499	236	0.7867	0.7368	0.8292	85.0337	0.9038	0.3518	0.0321	0.002	0.01	0.1241	2.0
t3	l2	80	2	independent_null	explicit target_corr=0.35	0.35	6.0	0.3499	0.903	0.05	120	300	499	19	0.0633	0.0409	0.0968	80.103	0.8527	0.0086	0.4805	0.032	0.497	0.9245	0.0633
t3	l2	80	3	matched	explicit target_corr=0.35	0.35	5.0	0.3085	0.9052	0.05	120	300	499	216	0.72	0.6667	0.7678	84.2181	0.9079	0.3223	0.0394	0.002	0.016	0.1482	3.0
t3	l2	80	3	independent_null	explicit target_corr=0.35	0.35	5.0	0.3085	0.9052	0.05	120	300	499	11	0.0367	0.0206	0.0645	79.9652	0.8626	-0.0012	0.4998	0.0599	0.502	0.9202	0.0867
t3	l2	160	1	matched	explicit target_corr=0.35	0.35	8.0	0.2388	0.8789	0.05	120	300	499	225	0.75	0.698	0.7956	167.086	0.8757	0.2293	0.0391	0.002	0.02	0.1222	1.0
t3	l2	160	1	independent_null	explicit target_corr=0.35	0.35	8.0	0.2388	0.8789	0.05	120	300	499	19	0.0633	0.0409	0.0968	159.9998	0.8401	-0.0002	0.511	0.0399	0.544	0.9343	0.0067
t3	l2	160	2	matched	explicit target_corr=0.35	0.35	8.0	0.3632	0.8921	0.05	120	300	499	286	0.9533	0.9232	0.972	171.8685	0.8916	0.3546	0.0126	0.002	0.004	0.0422	2.0
t3	l2	160	2	independent_null	explicit target_corr=0.35	0.35	8.0	0.3632	0.8921	0.05	120	300	499	14	0.0467	0.028	0.0768	159.9058	0.8316	-0.0027	0.5143	0.052	0.509	0.9501	0.0433
t3	l2	160	3	matched	explicit target_corr=0.35	0.35	7.0	0.3658	0.8991	0.05	120	300	499	282	0.94	0.9072	0.9617	171.9841	0.9002	0.3783	0.0103	0.002	0.002	0.0541	3.0
t3	l2	160	3	independent_null	explicit target_corr=0.35	0.35	7.0	0.3658	0.8991	0.05	120	300	499	11	0.0367	0.0206	0.0645	160.1424	0.8367	0.0036	0.4804	0.0714	0.474	0.9302	0.0633
lognormal	l2	20	1	matched	explicit target_corr=0.35	0.35	2.5	0.3323	0.9393	0.05	120	300	499	46	0.1533	0.117	0.1985	20.5999	0.9332	0.283	0.1528	0.01	0.149	0.32	1.0
lognormal	l2	20	1	independent_null	explicit target_corr=0.35	0.35	2.5	0.3323	0.9393	0.05	120	300	499	15	0.05	0.0305	0.0808	19.9731	0.9038	-0.0173	0.5275	0.0499	0.539	0.98	0.0633
lognormal	l2	20	2	matched	explicit target_corr=0.35	0.35	2.5	0.3944	0.9552	0.05	120	300	499	138	0.46	0.4045	0.5165	20.6933	0.957	0.4179	0.0788	0.002	0.057	0.224	2.0
lognormal	l2	20	2	independent_null	explicit target_corr=0.35	0.35	2.5	0.3944	0.9552	0.05	120	300	499	11	0.0367	0.0206	0.0645	20.0202	0.9248	0.0096	0.4858	0.0696	0.485	0.9161	0.2067
lognormal	l2	20	3	matched	explicit target_corr=0.35	0.35	2.0	0.2328	0.9573	0.05	120	300	499	56	0.1867	0.1466	0.2346	20.3253	0.9565	0.246	0.2118	0.004	0.178	0.5722	3.0
lognormal	l2	20	3	independent_null	explicit target_corr=0.35	0.35	2.0	0.2328	0.9573	0.05	120	300	499	12	0.04	0.023	0.0686	19.989	0.943	-0.0061	0.5061	0.0599	0.507	0.9722	0.45
lognormal	l2	40	1	matched	explicit target_corr=0.35	0.35	3.5	0.3352	0.9154	0.05	120	300	499	117	0.39	0.3365	0.4463	42.0635	0.9135	0.3355	0.0664	0.008	0.064	0.136	1.0
lognormal	l2	40	1	independent_null	explicit target_corr=0.35	0.35	3.5	0.3352	0.9154	0.05	120	300	499	17	0.0567	0.0357	0.0889	40.0271	0.8723	0.0054	0.5035	0.0477	0.507	0.96	0.0367
lognormal	l2	40	2	matched	explicit target_corr=0.35	0.35	3.0	0.3779	0.9297	0.05	120	300	499	203	0.6767	0.6218	0.7271	42.0013	0.9312	0.383	0.0398	0.002	0.032	0.1101	2.0
lognormal	l2	40	2	independent_null	explicit target_corr=0.35	0.35	3.0	0.3779	0.9297	0.05	120	300	499	15	0.05	0.0305	0.0808	40.0017	0.8852	0.0002	0.501	0.0535	0.49	0.9561	0.0967
lognormal	l2	40	3	matched	explicit target_corr=0.35	0.35	2.5	0.3379	0.935	0.05	120	300	499	137	0.4567	0.4012	0.5132	41.4377	0.9349	0.3223	0.0657	0.002	0.057	0.162	3.0
lognormal	l2	40	3	independent_null	explicit target_corr=0.35	0.35	2.5	0.3379	0.935	0.05	120	300	499	19	0.0633	0.0409	0.0968	40.1021	0.9046	0.0233	0.4625	0.0417	0.464	0.9441	0.2833
lognormal	l2	80	1	matched	explicit target_corr=0.35	0.35	5.0	0.3716	0.8941	0.05	120	300	499	276	0.92	0.8837	0.9457	86.1203	0.9022	0.3861	0.0219	0.002	0.018	0.052	1.0
lognormal	l2	80	1	independent_null	explicit target_corr=0.35	0.35	5.0	0.3716	0.8941	0.05	120	300	499	16	0.0533	0.0331	0.0849	80.2087	0.8398	0.0148	0.4626	0.0459	0.447	0.94	0.0233
lognormal	l2	80	2	matched	explicit target_corr=0.35	0.35	3.5	0.2998	0.9011	0.05	120	300	499	236	0.7867	0.7368	0.8292	84.3615	0.9043	0.3185	0.0281	0.002	0.022	0.07	2.0
lognormal	l2	80	2	independent_null	explicit target_corr=0.35	0.35	3.5	0.2998	0.9011	0.05	120	300	499	13	0.0433	0.0255	0.0727	79.9741	0.8568	-0.003	0.5141	0.0639	0.529	0.9621	0.0567
lognormal	l2	80	3	matched	explicit target_corr=0.35	0.35	3.5	0.39	0.9155	0.05	120	300	499	299	0.9967	0.9814	0.9994	85.4082	0.9195	0.4051	0.0106	0.002	0.006	0.036	3.0
lognormal	l2	80	3	independent_null	explicit target_corr=0.35	0.35	3.5	0.39	0.9155	0.05	120	300	499	16	0.0533	0.0331	0.0849	79.9514	0.8615	-0.0031	0.508	0.0479	0.505	0.9461	0.0933
lognormal	l2	160	1	matched	explicit target_corr=0.35	0.35	6.0	0.3013	0.8761	0.05	120	300	499	299	0.9967	0.9814	0.9994	170.9546	0.8766	0.3031	0.0154	0.002	0.014	0.032	1.0
lognormal	l2	160	1	independent_null	explicit target_corr=0.35	0.35	6.0	0.3013	0.8761	0.05	120	300	499	21	0.07	0.0462	0.1046	160.2877	0.8226	0.0084	0.4816	0.0319	0.476	0.946	0.01
lognormal	l2	160	2	matched	explicit target_corr=0.35	0.35	5.0	0.3545	0.8884	0.05	120	300	499	300	1.0	0.9874	1.0	172.6196	0.8897	0.3611	0.0072	0.002	0.004	0.0221	2.0
lognormal	l2	160	2	independent_null	explicit target_corr=0.35	0.35	5.0	0.3545	0.8884	0.05	120	300	499	9	0.03	0.0159	0.056	159.8411	0.825	-0.005	0.5165	0.0599	0.524	0.9401	0.0233
lognormal	l2	160	3	matched	explicit target_corr=0.35	0.35	4.5	0.3909	0.8995	0.05	120	300	499	300	1.0	0.9874	1.0	173.0444	0.9003	0.3948	0.0038	0.002	0.002	0.012	3.0
lognormal	l2	160	3	independent_null	explicit target_corr=0.35	0.35	4.5	0.3909	0.8995	0.05	120	300	499	11	0.0367	0.0206	0.0645	160.0565	0.8344	0.0024	0.4831	0.0579	0.486	0.9208	0.06
normal	l1	20	1	matched	explicit target_corr=0.35	0.35	2.5	0.417	0.9332	0.05	120	300	499	114	0.38	0.3269	0.4361	21.0323	0.9307	0.3787	0.1149	0.006	0.074	0.356	1.0
normal	l1	20	1	independent_null	explicit target_corr=0.35	0.35	2.5	0.417	0.9332	0.05	120	300	499	16	0.0533	0.0331	0.0849	20.0014	0.8844	-0.0025	0.5072	0.0477	0.483	0.964	0.0633
normal	l1	20	2	matched	explicit target_corr=0.35	0.35	2.5	0.4397	0.9451	0.05	120	300	499	176	0.5867	0.5302	0.641	21.0868	0.9457	0.4465	0.0753	0.002	0.038	0.2821	2.0
normal	l1	20	2	independent_null	explicit target_corr=0.35	0.35	2.5	0.4397	0.9451	0.05	120	300	499	13	0.0433	0.0255	0.0727	20.0314	0.8947	0.0128	0.4843	0.0579	0.481	0.9143	0.2067
normal	l1	20	3	matched	explicit target_corr=0.35	0.35	2.5	0.4688	0.9559	0.05	120	300	499	183	0.61	0.5537	0.6635	20.9725	0.9542	0.4605	0.0671	0.002	0.028	0.2489	3.0
normal	l1	20	3	independent_null	explicit target_corr=0.35	0.35	2.5	0.4688	0.9559	0.05	120	300	499	12	0.04	0.023	0.0686	19.9549	0.9096	-0.0214	0.5232	0.0619	0.517	0.9641	0.45
normal	l1	40	1	matched	explicit target_corr=0.35	0.35	3.0	0.3799	0.9214	0.05	120	300	499	198	0.66	0.6047	0.7113	42.1775	0.918	0.3572	0.0547	0.004	0.032	0.1902	1.0
normal	l1	40	1	independent_null	explicit target_corr=0.35	0.35	3.0	0.3799	0.9214	0.05	120	300	499	16	0.0533	0.0331	0.0849	39.9589	0.8686	-0.0056	0.5231	0.0458	0.563	0.954	0.0367
normal	l1	40	2	matched	explicit target_corr=0.35	0.35	2.5	0.3549	0.9269	0.05	120	300	499	206	0.6867	0.6321	0.7365	41.9244	0.9278	0.3584	0.0526	0.002	0.02	0.2147	2.0
normal	l1	40	2	independent_null	explicit target_corr=0.35	0.35	2.5	0.3549	0.9269	0.05	120	300	499	13	0.0433	0.0255	0.0727	40.0147	0.8842	0.002	0.494	0.0599	0.477	0.9487	0.0967
normal	l1	40	3	matched	explicit target_corr=0.35	0.35	2.5	0.394	0.9335	0.05	120	300	499	240	0.8	0.7511	0.8413	42.1236	0.9356	0.4048	0.0317	0.002	0.012	0.1245	3.0
normal	l1	40	3	independent_null	explicit target_corr=0.35	0.35	2.5	0.394	0.9335	0.05	120	300	499	19	0.0633	0.0409	0.0968	40.1125	0.8908	0.0233	0.464	0.0419	0.456	0.9263	0.2833
normal	l1	80	1	matched	explicit target_corr=0.35	0.35	3.5	0.3013	0.9075	0.05	120	300	499	256	0.8533	0.8088	0.8889	83.8137	0.9073	0.3028	0.0271	0.002	0.018	0.0881	1.0
normal	l1	80	1	independent_null	explicit target_corr=0.35	0.35	3.5	0.3013	0.9075	0.05	120	300	499	18	0.06	0.0383	0.0928	80.1353	0.8674	0.0108	0.4759	0.04	0.453	0.946	0.0233
normal	l1	80	2	matched	explicit target_corr=0.35	0.35	3.0	0.3419	0.9145	0.05	120	300	499	285	0.95	0.9192	0.9695	84.2526	0.9164	0.3502	0.0126	0.002	0.006	0.0481	2.0
normal	l1	80	2	independent_null	explicit target_corr=0.35	0.35	3.0	0.3419	0.9145	0.05	120	300	499	14	0.0467	0.028	0.0768	79.9855	0.8691	-0.0011	0.5029	0.0559	0.49	0.9425	0.0567
normal	l1	80	3	matched	explicit target_corr=0.35	0.35	2.5	0.2814	0.9175	0.05	120	300	499	253	0.8433	0.7979	0.8801	83.2244	0.9178	0.2969	0.0289	0.002	0.01	0.097	3.0
normal	l1	80	3	independent_null	explicit target_corr=0.35	0.35	2.5	0.2814	0.9175	0.05	120	300	499	12	0.04	0.023	0.0686	79.9622	0.8833	-0.0027	0.5099	0.0599	0.505	0.936	0.0933
normal	l1	160	1	matched	explicit target_corr=0.35	0.35	5.0	0.3664	0.9047	0.05	120	300	499	300	1.0	0.9874	1.0	170.5982	0.9037	0.3644	0.0057	0.002	0.006	0.0121	1.0
normal	l1	160	1	independent_null	explicit target_corr=0.35	0.35	5.0	0.3664	0.9047	0.05	120	300	499	15	0.05	0.0305	0.0808	160.192	0.8494	0.0065	0.4799	0.0518	0.487	0.944	0.01
normal	l1	160	2	matched	explicit target_corr=0.35	0.35	4.0	0.3802	0.9091	0.05	120	300	499	300	1.0	0.9874	1.0	171.0987	0.9091	0.3897	0.0023	0.002	0.002	0.004	2.0
normal	l1	160	2	independent_null	explicit target_corr=0.35	0.35	4.0	0.3802	0.9091	0.05	120	300	499	14	0.0467	0.028	0.0768	160.0085	0.8498	0.0007	0.4995	0.05	0.488	0.9541	0.0233
normal	l1	160	3	matched	explicit target_corr=0.35	0.35	3.5	0.3963	0.9143	0.05	120	300	499	300	1.0	0.9874	1.0	170.4975	0.912	0.3849	0.0023	0.002	0.002	0.004	3.0
normal	l1	160	3	independent_null	explicit target_corr=0.35	0.35	3.5	0.3963	0.9143	0.05	120	300	499	13	0.0433	0.0255	0.0727	160.0116	0.8576	0.0	0.5013	0.0595	0.485	0.9521	0.06
t3	l1	20	1	matched	explicit target_corr=0.35	0.35	4.0	0.3648	0.8805	0.05	120	300	499	88	0.2933	0.2447	0.3472	21.5982	0.8807	0.3509	0.1358	0.008	0.096	0.3896	1.0
t3	l1	20	1	independent_null	explicit target_corr=0.35	0.35	4.0	0.3648	0.8805	0.05	120	300	499	9	0.03	0.0159	0.056	20.068	0.8172	0.0085	0.4793	0.0719	0.471	0.9442	0.0233
t3	l1	20	2	matched	explicit target_corr=0.35	0.35	3.5	0.3464	0.9031	0.05	120	300	499	112	0.3733	0.3205	0.4293	21.2164	0.899	0.3365	0.1597	0.002	0.085	0.525	2.0
t3	l1	20	2	independent_null	explicit target_corr=0.35	0.35	3.5	0.3464	0.9031	0.05	120	300	499	11	0.0367	0.0206	0.0645	19.9822	0.8509	-0.0012	0.4963	0.0759	0.491	0.9366	0.2
t3	l1	20	3	matched	explicit target_corr=0.35	0.35	3.5	0.323	0.9177	0.05	120	300	499	120	0.4	0.3462	0.4564	20.9432	0.9176	0.3334	0.1647	0.002	0.098	0.5372	3.0
