kind	scale_design	df_label	statistic	n	k_extremes	magnitude	repetitions	matched_median	matched_mean	null_median	null_mad	null_mean	null_sd	null_q95	robust_separation	classical_separation	matched_median_minus_null_q95	median_conditional_permutation_q95	matched_median_minus_median_permutation_q95
l1	common_mad	t4	divergence_correlation	80	2	8.0	300	0.717298	0.707969	-0.033594	0.049195	-0.003776	0.111653	0.278132	15.2637	6.3746	0.439166	NA	NA
l1	common_mad	t3	c_delta	80	2	8.0	300	1.30657	1.313273	0.986407	0.030042	1.00263	0.061439	1.139582	10.6571	5.0561	0.166988	1.127514	0.179056
l1	common_mad	t3	divergence_correlation	80	2	8.0	300	0.618508	0.603376	-0.024266	0.055193	0.006038	0.115757	0.25909	11.6459	5.1603	0.359418	NA	NA
l1	common_mad	t2.5	c_delta	80	2	8.0	300	1.267213	1.268982	0.981452	0.026665	0.997895	0.06191	1.128744	10.7165	4.3787	0.138469	1.129124	0.138088
l1	common_mad	t2.5	divergence_correlation	80	2	8.0	300	0.522018	0.492528	-0.031151	0.051411	-0.001646	0.113124	0.239757	10.7597	4.3684	0.282261	NA	NA
l1	common_mad	t2.2	c_delta	80	2	8.0	300	1.243923	1.242381	0.97859	0.031253	0.999099	0.072691	1.133495	8.4898	3.3468	0.110428	1.128301	0.115621
l1	common_mad	t2.2	divergence_correlation	80	2	8.0	300	0.455902	0.437524	-0.034769	0.046344	0.001713	0.11641	0.249463	10.5876	3.7438	0.206439	NA	NA
l1	common_mad	t2	c_delta	80	2	8.0	300	1.210308	1.214339	0.982906	0.036873	1.011205	0.119279	1.155665	6.1672	1.703	0.054643	1.131482	0.078826
l1	common_mad	t2	divergence_correlation	80	2	8.0	300	0.361673	0.368167	-0.026879	0.050995	0.010926	0.126324	0.260734	7.6193	2.828	0.100939	NA	NA
l1	common_variance	normal	c_delta	80	2	8.0	300	1.497477	1.501646	0.982246	0.019177	0.995053	0.053537	1.069355	26.8674	9.4625	0.428122	1.1022	0.395277
l1	common_variance	normal	divergence_correlation	80	2	8.0	300	0.880577	0.876471	-0.032523	0.03276	-0.007908	0.098282	0.115006	27.8723	8.9984	0.765571	NA	NA
l1	common_variance	t5	c_delta	80	2	8.0	300	1.547509	1.551365	0.979107	0.028493	0.996854	0.067778	1.120148	19.9485	8.1812	0.427361	1.176793	0.370715
l1	common_variance	t5	divergence_correlation	80	2	8.0	300	0.831898	0.823097	-0.031942	0.04221	-0.004093	0.101859	0.155668	20.4654	8.121	0.67623	NA	NA
l1	common_variance	t4	c_delta	80	2	8.0	300	1.571815	1.572586	0.973522	0.025207	0.991743	0.069988	1.110658	23.7354	8.2992	0.461157	1.196249	0.375566
l1	common_variance	t4	divergence_correlation	80	2	8.0	300	0.824833	0.809364	-0.03501	0.03666	-0.011638	0.098434	0.14736	23.4544	8.3406	0.677473	NA	NA
l1	common_variance	t3	c_delta	80	2	8.0	300	1.661373	1.674865	0.970704	0.030165	0.996535	0.098283	1.248149	22.8962	6.9018	0.413224	1.237259	0.424114
l1	common_variance	t3	divergence_correlation	80	2	8.0	300	0.807061	0.782567	-0.035649	0.035497	-0.003261	0.113838	0.322668	23.7406	6.9031	0.484393	NA	NA
l1	common_variance	t2.5	c_delta	80	2	8.0	300	1.878363	1.875189	0.962475	0.03529	0.999967	0.129802	1.326199	25.9535	6.7428	0.552164	1.313922	0.564442
l1	common_variance	t2.5	divergence_correlation	80	2	8.0	300	0.820372	0.786302	-0.034424	0.032601	0.000135	0.116708	0.314883	26.2203	6.7362	0.505489	NA	NA
l1	common_variance	t2.2	c_delta	80	2	8.0	300	2.36932	2.376248	0.942594	0.035165	1.005978	0.194981	1.530612	40.5721	7.0277	0.838709	1.445201	0.924119
l1	common_variance	t2.2	divergence_correlation	80	2	8.0	300	0.896291	0.853758	-0.036524	0.022728	0.004718	0.122064	0.369235	41.043	6.9557	0.527056	NA	NA
