phase	design	scenario	strength	n_perm	repetitions	omnibus_rejection_rate	wilson_low	wilson_high	profile_rejection_rate	mantel_rejection_rate	best_component_power	omnibus_regret	adjusted_profile_rejection_rate	adjusted_mantel_rejection_rate	winner_profile_rate	winner_expected_rate	mean_profile_z	mean_mantel_z	profile_only_rate	mantel_only_rate	both_rate	unresolved_rate	profile_only_share_given_reject	mantel_only_share_given_reject	both_share_given_reject	unresolved_share_given_reject	winner_agreement_with_999	decision_agreement_with_999	attribution_agreement_with_999
seed1	severely_unequal	radial_node	0.6	499	50	0.34	0.2243694922250009	0.478461739497674	0.32	0.36	0.36	0.019999999999999962	0.24	0.32	0.42	0.42	1.0414869303333136	1.1365249191136848	0.02	0.1	0.22	0.66	0.058823529411764705	0.29411764705882354	0.6470588235294118	0.0	1.0	1.0	0.96
seed1	severely_unequal	radial_node	0.6	999	50	0.34	0.2243694922250009	0.478461739497674	0.32	0.34	0.34	0.0	0.24	0.32	0.42	0.42	1.0439439043310326	1.1358734411092326	0.02	0.1	0.22	0.66	0.058823529411764705	0.29411764705882354	0.6470588235294118	0.0	1.0	1.0	1.0
seed1	severely_unequal	radial_node	1.0	199	50	0.52	0.38511744890044614	0.6520286471342196	0.54	0.52	0.54	0.020000000000000018	0.48	0.48	0.46	0.46	1.8912007238564035	1.9797646011681314	0.04	0.04	0.44	0.48	0.07692307692307693	0.07692307692307693	0.8461538461538461	0.0	0.98	0.96	0.96
seed1	severely_unequal	radial_node	1.0	499	50	0.54	0.40398871399157477	0.6703034780777566	0.52	0.5	0.52	-0.020000000000000018	0.48	0.5	0.48	0.48	1.893141969730585	2.00380871649225	0.04	0.06	0.44	0.46	0.07407407407407407	0.1111111111111111	0.8148148148148148	0.0	1.0	0.98	0.98
seed1	severely_unequal	radial_node	1.0	999	50	0.56	0.4230602802165686	0.6883780078874284	0.52	0.52	0.52	-0.040000000000000036	0.5	0.5	0.48	0.48	1.909236778360076	2.0209400511873277	0.06	0.06	0.44	0.44	0.10714285714285714	0.10714285714285714	0.7857142857142857	0.0	1.0	1.0	1.0
seed1	severely_unequal	radial_node	1.4	199	50	0.74	0.6044684273515117	0.8412847250644762	0.8	0.74	0.8	0.06000000000000005	0.74	0.72	0.42	0.42	2.490020790401075	2.6141781381568756	0.02	0.0	0.72	0.26	0.02702702702702703	0.0	0.972972972972973	0.0	0.98	0.96	0.92
seed1	severely_unequal	radial_node	1.4	499	50	0.78	0.6475845041874634	0.8724608402978559	0.8	0.8	0.8	0.020000000000000018	0.74	0.76	0.38	0.38	2.5289365156596744	2.643220197207804	0.02	0.04	0.72	0.22	0.02564102564102564	0.05128205128205128	0.9230769230769231	0.0	0.98	1.0	1.0
seed1	severely_unequal	radial_node	1.4	999	50	0.78	0.6475845041874634	0.8724608402978559	0.78	0.8	0.8	0.020000000000000018	0.74	0.76	0.4	0.4	2.531138489512843	2.647286387782758	0.02	0.04	0.72	0.22	0.02564102564102564	0.05128205128205128	0.9230769230769231	0.0	1.0	1.0	1.0
seed1	severely_unequal	dyadic	0.6	199	50	0.04	0.011038884327619805	0.1346009068750702	0.08	0.04	0.08	0.04	0.02	0.04	0.34	0.66	0.14612127300588873	0.28326694988903983	0.0	0.02	0.02	0.96	0.0	0.5	0.5	0.0	0.98	0.96	0.94
seed1	severely_unequal	dyadic	0.6	499	50	0.1	0.04347576493189041	0.21360231437479654	0.08	0.08	0.08	-0.020000000000000004	0.04	0.08	0.34	0.66	0.15261576604554028	0.29331464282903197	0.02	0.06	0.02	0.9	0.2	0.6	0.2	0.0	0.98	0.98	0.96
seed1	severely_unequal	dyadic	0.6	999	50	0.08	0.03154951408859298	0.18838246918342838	0.08	0.1	0.1	0.020000000000000004	0.06	0.06	0.36	0.64	0.15298495004189683	0.2958353082122265	0.02	0.02	0.04	0.92	0.25	0.25	0.5	0.0	1.0	1.0	1.0
seed1	severely_unequal	dyadic	1.0	199	50	0.16	0.08337420678033404	0.2851421606303499	0.06	0.2	0.2	0.04000000000000001	0.04	0.16	0.2	0.8	0.5460302413603617	0.9019220730171854	0.0	0.12	0.04	0.84	0.0	0.75	0.25	0.0	0.96	0.98	0.96
seed1	severely_unequal	dyadic	1.0	499	50	0.16	0.08337420678033404	0.2851421606303499	0.06	0.18	0.18	0.01999999999999999	0.06	0.16	0.22	0.78	0.5670189584481046	0.9174114001734128	0.0	0.1	0.06	0.84	0.0	0.625	0.375	0.0	0.98	0.98	0.98
seed1	severely_unequal	dyadic	1.0	999	50	0.18	0.09770192670234178	0.30796053674300783	0.1	0.2	0.2	0.020000000000000018	0.06	0.18	0.2	0.8	0.5710967354275936	0.923986994534472	0.0	0.12	0.06	0.82	0.0	0.6666666666666666	0.3333333333333333	0.0	1.0	1.0	1.0
seed1	severely_unequal	dyadic	1.4	199	50	0.28	0.17474170665911232	0.4166512369595657	0.2	0.32	0.32	0.03999999999999998	0.16	0.28	0.16	0.84	0.8549912515610564	1.4163186376556791	0.0	0.12	0.16	0.72	0.0	0.42857142857142855	0.5714285714285714	0.0	1.0	0.96	0.96
seed1	severely_unequal	dyadic	1.4	499	50	0.3	0.19103553500880954	0.437503504644534	0.2	0.36	0.36	0.06	0.18	0.3	0.16	0.84	0.8625070232934882	1.4403035797994426	0.0	0.12	0.18	0.7	0.0	0.4	0.6	0.0	1.0	0.98	0.96
seed1	severely_unequal	dyadic	1.4	999	50	0.28	0.17474170665911232	0.4166512369595657	0.2	0.34	0.34	0.06	0.16	0.28	0.16	0.84	0.8568974471914212	1.4334717402679444	0.0	0.12	0.16	0.72	0.0	0.42857142857142855	0.5714285714285714	0.0	1.0	1.0	1.0
seed1	severely_unequal	mixed_covariate	0.6	199	50	0.34	0.2243694922250009	0.478461739497674	0.34	0.3	0.34	0.0	0.28	0.3	0.5	nan	1.0456835792671675	1.1523190451842356	0.04	0.06	0.24	0.66	0.11764705882352941	0.17647058823529413	0.7058823529411765	0.0	0.98	0.94	0.88
seed1	severely_unequal	mixed_covariate	0.6	499	50	0.36	0.24138749651846741	0.49858983123887307	0.34	0.32	0.34	-0.019999999999999962	0.3	0.3	0.5	nan	1.0358646386699673	1.155932880392124	0.06	0.06	0.24	0.64	0.16666666666666666	0.16666666666666666	0.6666666666666666	0.0	0.98	1.0	1.0
seed1	severely_unequal	mixed_covariate	0.6	999	50	0.36	0.24138749651846741	0.49858983123887307	0.36	0.32	0.36	0.0	0.3	0.3	0.52	nan	1.0337448741779303	1.1495116598748134	0.06	0.06	0.24	0.64	0.16666666666666666	0.16666666666666666	0.6666666666666666	0.0	1.0	1.0	1.0
seed1	severely_unequal	mixed_covariate	1.0	199	50	0.58	0.4423344176857823	0.7062499664528802	0.54	0.58	0.58	0.0	0.42	0.52	0.3	nan	1.7382683896208124	1.9789549619168674	0.06	0.16	0.36	0.42	0.10344827586206896	0.27586206896551724	0.6206896551724138	0.0	0.96	0.96	0.88
seed1	severely_unequal	mixed_covariate	1.0	499	50	0.6	0.4618143774758936	0.7239161026974346	0.52	0.62	0.62	0.020000000000000018	0.48	0.58	0.3	nan	1.7682976018752923	2.021096286743318	0.02	0.12	0.46	0.4	0.03333333333333333	0.2	0.7666666666666667	0.0	0.96	0.98	0.94
seed1	severely_unequal	mixed_covariate	1.0	999	50	0.58	0.4423344176857823	0.7062499664528802	0.54	0.6	0.6	0.020000000000000018	0.48	0.54	0.26	nan	1.7589396821736407	2.0117969457196234	0.04	0.1	0.44	0.42	0.06896551724137931	0.1724137931034483	0.7586206896551724	0.0	1.0	1.0	1.0
seed1	severely_unequal	mixed_covariate	1.4	199	50	0.78	0.6475845041874634	0.8724608402978559	0.74	0.76	0.76	-0.020000000000000018	0.7	0.72	0.28	nan	2.409928308008584	2.773881370240409	0.06	0.08	0.64	0.22	0.07692307692307693	0.10256410256410256	0.8205128205128205	0.0	1.0	0.96	0.94
seed1	severely_unequal	mixed_covariate	1.4	499	50	0.78	0.6475845041874634	0.8724608402978559	0.72	0.78	0.78	0.0	0.7	0.72	0.28	nan	2.4157821196957143	2.7918794117490484	0.06	0.08	0.64	0.22	0.07692307692307693	0.10256410256410256	0.8205128205128205	0.0	1.0	0.96	0.94
seed1	severely_unequal	mixed_covariate	1.4	999	50	0.78	0.6475845041874634	0.8724608402978559	0.74	0.78	0.78	0.0	0.66	0.74	0.28	nan	2.433225688142332	2.801229246951776	0.04	0.12	0.62	0.22	0.05128205128205128	0.15384615384615385	0.7948717948717948	0.0	1.0	1.0	1.0
