n	noise	positive_probability	contamination_fraction	magnitude_family	method	repetitions	n_perm	rejection_rate	wilson_low	wilson_high
20	0.5	0.65	0.05	uniform	huber_primary	1500	499	0.048666666666666664	0.03888362661591451	0.06075550618083598
20	0.5	0.65	0.05	uniform	huber_cap6	1500	499	0.05333333333333334	0.04306062753158088	0.0658879972451146
20	0.5	0.65	0.05	lognormal	original_l2	1500	499	0.05	0.040074440990789065	0.062224546657374286
20	0.5	0.65	0.05	lognormal	original_l1	1500	499	0.05	0.040074440990789065	0.062224546657374286
20	0.5	0.65	0.05	lognormal	huber_primary	1500	499	0.050666666666666665	0.040670651803700913	0.06295826327016886
20	0.5	0.65	0.05	lognormal	huber_cap6	1500	499	0.06333333333333334	0.05208839990254764	0.07680913625974421
40	0.15	0.5	0.0	uniform	original_l2	1500	499	0.9753333333333334	0.966186324588402	0.9820519299402789
40	0.15	0.5	0.0	uniform	original_l1	1500	499	0.8413333333333334	0.8219747998307712	0.8589480421309184
40	0.15	0.5	0.0	uniform	huber_primary	1500	499	0.904	0.8880432413475254	0.917892778630568
40	0.15	0.5	0.0	uniform	huber_cap6	1500	499	0.904	0.8880432413475254	0.917892778630568
40	0.15	0.5	0.0	lognormal	original_l2	1500	499	0.998	0.9941361954746901	0.9993195915280091
40	0.15	0.5	0.0	lognormal	original_l1	1500	499	0.98	0.9715926317939492	0.9859551147146766
40	0.15	0.5	0.0	lognormal	huber_primary	1500	499	0.986	0.9786920346546757	0.9908250586853078
40	0.15	0.5	0.0	lognormal	huber_cap6	1500	499	0.986	0.9786920346546757	0.9908250586853078
40	0.15	0.5	0.05	uniform	original_l2	1500	499	0.036	0.027695588043697456	0.04667492366463097
40	0.15	0.5	0.05	uniform	original_l1	1500	499	0.043333333333333335	0.03414340356776986	0.054856309823329244
40	0.15	0.5	0.05	uniform	huber_primary	1500	499	0.04466666666666667	0.03532481507788357	0.05633475316462838
40	0.15	0.5	0.05	uniform	huber_cap6	1500	499	0.064	0.0526935459511578	0.07753391763684048
40	0.15	0.5	0.05	lognormal	original_l2	1500	499	0.042666666666666665	0.03355366749284015	0.054116118472552516
40	0.15	0.5	0.05	lognormal	original_l1	1500	499	0.05	0.040074440990789065	0.062224546657374286
40	0.15	0.5	0.05	lognormal	huber_primary	1500	499	0.05	0.040074440990789065	0.062224546657374286
40	0.15	0.5	0.05	lognormal	huber_cap6	1500	499	0.07666666666666666	0.06425750173494678	0.09123858294147354
40	0.15	0.65	0.0	uniform	original_l2	1500	499	0.682	0.6579934102616696	0.7050767769561845
40	0.15	0.65	0.0	uniform	original_l1	1500	499	0.3526666666666667	0.3288914147508212	0.37719462416805905
40	0.15	0.65	0.0	uniform	huber_primary	1500	499	0.43933333333333335	0.4144038397079614	0.46457276455275404
40	0.15	0.65	0.0	uniform	huber_cap6	1500	499	0.438	0.4130822200771158	0.4632345293321867
40	0.15	0.65	0.0	lognormal	original_l2	1500	499	0.9093333333333333	0.8937379268859743	0.9228375124977705
40	0.15	0.65	0.0	lognormal	original_l1	1500	499	0.7733333333333333	0.7514631875123728	0.7938070570272612
40	0.15	0.65	0.0	lognormal	huber_primary	1500	499	0.728	0.7049196486648103	0.749915530926787
40	0.15	0.65	0.0	lognormal	huber_cap6	1500	499	0.7253333333333334	0.7021914439352749	0.7473240259534967
40	0.15	0.65	0.05	uniform	original_l2	1500	499	0.051333333333333335	0.041267385200304804	0.06369145729927139
40	0.15	0.65	0.05	uniform	original_l1	1500	499	0.054	0.04365935933562643	0.06661919286677545
40	0.15	0.65	0.05	uniform	huber_primary	1500	499	0.056	0.04545839056668995	0.06880994391283121
40	0.15	0.65	0.05	uniform	huber_cap6	1500	499	0.084	0.07100286623041224	0.09912242012877878
40	0.15	0.65	0.05	lognormal	original_l2	1500	499	0.04466666666666667	0.03532481507788357	0.05633475316462838
40	0.15	0.65	0.05	lognormal	original_l1	1500	499	0.043333333333333335	0.03414340356776986	0.054856309823329244
40	0.15	0.65	0.05	lognormal	huber_primary	1500	499	0.04733333333333333	0.03769502441859292	0.059284253526744726
40	0.15	0.65	0.05	lognormal	huber_cap6	1500	499	0.104	0.08955014082427697	0.12047296830610678
40	0.5	0.5	0.0	uniform	original_l2	1500	499	0.8353333333333334	0.8157124288112625	0.8532410663190693
40	0.5	0.5	0.0	uniform	original_l1	1500	499	0.65	0.6255070903921157	0.6737265803918299
