phase	dyadic_weight	node_weight	method	n	n_blocks	rooms_per_block	repetitions	n_perm	rejection_rate	wilson_low	wilson_high	mean_statistic	median_p_value	maximum_huber_cdelta_pearson_p_difference
replication	0.25	0.75	huber_profile_pearson	48	4	12	1200	399	0.3416666666666667	0.31537622206716237	0.3689675947903703	0.35030011625266205	0.1275	0.0
replication	0.25	0.75	huber_cap6_cdelta_star	48	4	12	1200	399	0.3416666666666667	0.31537622206716237	0.3689675947903703	1.2085024953505732	0.1275	0.0
replication	0.25	0.75	mantel	48	4	12	1200	399	0.35083333333333333	0.32434685518085293	0.3782717933322962	0.2013263458845089	0.1275	0.0
replication	0.275	0.725	original_l2_cdelta	48	4	12	1200	399	0.29833333333333334	0.27312364995652255	0.32483005361991385	1.0337698590600923	0.16125	0.0
replication	0.275	0.725	huber_cdelta_star	48	4	12	1200	399	0.30583333333333335	0.2804177296600773	0.33248810890731806	1.202510336291758	0.145	0.0
replication	0.275	0.725	huber_profile_pearson	48	4	12	1200	399	0.30583333333333335	0.2804177296600773	0.33248810890731806	0.3328121204092271	0.145	0.0
replication	0.275	0.725	huber_cap6_cdelta_star	48	4	12	1200	399	0.30583333333333335	0.2804177296600773	0.33248810890731806	1.202497690634673	0.145	0.0
replication	0.275	0.725	mantel	48	4	12	1200	399	0.34833333333333333	0.3218992316495759	0.3757353718665869	0.19347543304990208	0.15	0.0
replication	0.3	0.7	original_l2_cdelta	48	4	12	1200	399	0.2808333333333333	0.25613657953975166	0.3069288090577804	1.0334427672942115	0.175	0.0
replication	0.3	0.7	huber_cdelta_star	48	4	12	1200	399	0.2975	0.27231370333604943	0.3239786519080581	1.2012543835437446	0.155	0.0
replication	0.3	0.7	huber_profile_pearson	48	4	12	1200	399	0.2975	0.27231370333604943	0.3239786519080581	0.3245624098345047	0.155	0.0
replication	0.3	0.7	huber_cap6_cdelta_star	48	4	12	1200	399	0.2975	0.27231370333604943	0.3239786519080581	1.2012448236920623	0.155	0.0
replication	0.3	0.7	mantel	48	4	12	1200	399	0.33666666666666667	0.31048780740593657	0.3638879194576234	0.1932600372037994	0.14625	0.0
replication	0.325	0.675	original_l2_cdelta	48	4	12	1200	399	0.275	0.25048463937781995	0.30095131089341076	1.0322437210888191	0.1875	0.0
replication	0.325	0.675	huber_cdelta_star	48	4	12	1200	399	0.2791666666666667	0.25452119715228017	0.30522149478059435	1.196025820082938	0.17	0.0
replication	0.325	0.675	huber_profile_pearson	48	4	12	1200	399	0.2791666666666667	0.25452119715228017	0.30522149478059435	0.3121446378058002	0.17	0.0
replication	0.325	0.675	huber_cap6_cdelta_star	48	4	12	1200	399	0.2791666666666667	0.25452119715228017	0.30522149478059435	1.1960337778466306	0.17	0.0
replication	0.325	0.675	mantel	48	4	12	1200	399	0.3408333333333333	0.31456125636625015	0.3681212121589537	0.19074534430028636	0.14625	0.0
replication	0.35	0.65	original_l2_cdelta	48	4	12	1200	399	0.24583333333333332	0.22230784112383484	0.2709809175158887	1.0314927668239546	0.2025	0.0
replication	0.35	0.65	huber_cdelta_star	48	4	12	1200	399	0.265	0.24080816366690577	0.29069160661637955	1.1917940424303664	0.1825	0.0
replication	0.35	0.65	huber_profile_pearson	48	4	12	1200	399	0.265	0.24080816366690577	0.29069160661637955	0.3010718031164748	0.1825	0.0
replication	0.35	0.65	huber_cap6_cdelta_star	48	4	12	1200	399	0.265	0.24080816366690577	0.29069160661637955	1.1917862104083308	0.1825	0.0
replication	0.35	0.65	mantel	48	4	12	1200	399	0.32416666666666666	0.2982814345927185	0.35117406728590983	0.1871642707212033	0.1575	0.0
replication	0.375	0.625	original_l2_cdelta	48	4	12	1200	399	0.24	0.21668992432728484	0.2649693959861373	1.0311960710771984	0.21625	0.0
replication	0.375	0.625	huber_cdelta_star	48	4	12	1200	399	0.25666666666666665	0.23275690489083312	0.2821293820691645	1.1904500773246742	0.19625	0.0
replication	0.375	0.625	huber_profile_pearson	48	4	12	1200	399	0.25666666666666665	0.23275690489083312	0.2821293820691645	0.2939707277402028	0.19625	0.0
replication	0.375	0.625	huber_cap6_cdelta_star	48	4	12	1200	399	0.25666666666666665	0.23275690489083312	0.2821293820691645	1.190361964127306	0.1975	0.0
