design	scenario	temperature	aggregation	method	repetitions	reject_count	rejection_rate	wilson_low	wilson_high	mean_profile_weight
balanced	conditional_null	0.0	sqrt_rooms	standardized_max	600	18	0.03	0.01905925662590196	0.046920742326976704	0.5000000000000001
balanced	conditional_null	0.1	building_equal	cv_retrained	600	25	0.041666666666666664	0.02837972965493859	0.06078516294095374	0.4999925804864866
balanced	conditional_null	0.1	building_equal	cv_standardized	600	29	0.04833333333333333	0.03386090038689244	0.06855250286215053	0.5000485733535913
balanced	conditional_null	0.1	building_equal	mantel	600	19	0.03166666666666667	0.020364911485651824	0.048927215130514526	0.4999925804864866
balanced	conditional_null	0.1	building_equal	nested_max	600	22	0.03666666666666667	0.024336895975690734	0.05489161363033859	0.4999925804864866
balanced	conditional_null	0.1	building_equal	profile	600	21	0.035	0.023004350476005058	0.052912031466736606	0.4999925804864866
balanced	conditional_null	0.1	building_equal	standardized_max	600	18	0.03	0.01905925662590196	0.046920742326976704	0.4999925804864866
balanced	conditional_null	0.1	room_equal	cv_retrained	600	25	0.041666666666666664	0.02837972965493859	0.06078516294095374	0.4999925804864866
balanced	conditional_null	0.1	room_equal	cv_standardized	600	29	0.04833333333333333	0.03386090038689244	0.06855250286215053	0.5000485733535913
balanced	conditional_null	0.1	room_equal	mantel	600	19	0.03166666666666667	0.020364911485651824	0.048927215130514526	0.4999925804864866
balanced	conditional_null	0.1	room_equal	nested_max	600	22	0.03666666666666667	0.024336895975690734	0.05489161363033859	0.4999925804864866
balanced	conditional_null	0.1	room_equal	profile	600	21	0.035	0.023004350476005058	0.052912031466736606	0.4999925804864866
balanced	conditional_null	0.1	room_equal	standardized_max	600	18	0.03	0.01905925662590196	0.046920742326976704	0.4999925804864866
balanced	conditional_null	0.1	sqrt_rooms	cv_retrained	600	25	0.041666666666666664	0.02837972965493859	0.06078516294095374	0.4999925804864867
balanced	conditional_null	0.1	sqrt_rooms	cv_standardized	600	29	0.04833333333333333	0.03386090038689244	0.06855250286215053	0.5000485733535915
balanced	conditional_null	0.1	sqrt_rooms	mantel	600	19	0.03166666666666667	0.020364911485651824	0.048927215130514526	0.4999925804864867
balanced	conditional_null	0.1	sqrt_rooms	nested_max	600	22	0.03666666666666667	0.024336895975690734	0.05489161363033859	0.4999925804864867
balanced	conditional_null	0.1	sqrt_rooms	profile	600	21	0.035	0.023004350476005058	0.052912031466736606	0.4999925804864867
balanced	conditional_null	0.1	sqrt_rooms	standardized_max	600	18	0.03	0.01905925662590196	0.046920742326976704	0.4999925804864867
balanced	conditional_null	0.25	building_equal	cv_retrained	600	24	0.04	0.02702502927655182	0.05882773565605286	0.4999815650928245
balanced	conditional_null	0.25	building_equal	cv_standardized	600	29	0.04833333333333333	0.03386090038689244	0.06855250286215053	0.500136218338253
balanced	conditional_null	0.25	building_equal	mantel	600	19	0.03166666666666667	0.020364911485651824	0.048927215130514526	0.4999815650928245
balanced	conditional_null	0.25	building_equal	nested_max	600	22	0.03666666666666667	0.024336895975690734	0.05489161363033859	0.4999815650928245
balanced	conditional_null	0.25	building_equal	profile	600	21	0.035	0.023004350476005058	0.052912031466736606	0.4999815650928245
balanced	conditional_null	0.25	building_equal	standardized_max	600	18	0.03	0.01905925662590196	0.046920742326976704	0.4999815650928245
balanced	conditional_null	0.25	room_equal	cv_retrained	600	24	0.04	0.02702502927655182	0.05882773565605286	0.4999815650928245
balanced	conditional_null	0.25	room_equal	cv_standardized	600	29	0.04833333333333333	0.03386090038689244	0.06855250286215053	0.500136218338253
balanced	conditional_null	0.25	room_equal	mantel	600	19	0.03166666666666667	0.020364911485651824	0.048927215130514526	0.4999815650928245
balanced	conditional_null	0.25	room_equal	nested_max	600	22	0.03666666666666667	0.024336895975690734	0.05489161363033859	0.4999815650928245
balanced	conditional_null	0.25	room_equal	profile	600	21	0.035	0.023004350476005058	0.052912031466736606	0.4999815650928245
balanced	conditional_null	0.25	room_equal	standardized_max	600	18	0.03	0.01905925662590196	0.046920742326976704	0.4999815650928245
balanced	conditional_null	0.25	sqrt_rooms	cv_retrained	600	24	0.04	0.02702502927655182	0.05882773565605286	0.4999815650928245
balanced	conditional_null	0.25	sqrt_rooms	cv_standardized	600	29	0.04833333333333333	0.03386090038689244	0.06855250286215053	0.500136218338253
balanced	conditional_null	0.25	sqrt_rooms	mantel	600	19	0.03166666666666667	0.020364911485651824	0.048927215130514526	0.4999815650928245
balanced	conditional_null	0.25	sqrt_rooms	nested_max	600	22	0.03666666666666667	0.024336895975690734	0.05489161363033859	0.4999815650928245
balanced	conditional_null	0.25	sqrt_rooms	profile	600	21	0.035	0.023004350476005058	0.052912031466736606	0.4999815650928245
balanced	conditional_null	0.25	sqrt_rooms	standardized_max	600	18	0.03	0.01905925662590196	0.046920742326976704	0.4999815650928245
balanced	conditional_null	0.5	building_equal	cv_retrained	600	25	0.041666666666666664	0.02837972965493859	0.06078516294095374	0.49996394095572083
balanced	conditional_null	0.5	building_equal	cv_standardized	600	28	0.04666666666666667	0.03248188567095377	0.06661938991480156	0.5003718798283514
balanced	conditional_null	0.5	building_equal	mantel	600	19	0.03166666666666667	0.020364911485651824	0.048927215130514526	0.49996394095572083
balanced	conditional_null	0.5	building_equal	nested_max	600	22	0.03666666666666667	0.024336895975690734	0.05489161363033859	0.49996394095572083
balanced	conditional_null	0.5	building_equal	profile	600	21	0.035	0.023004350476005058	0.052912031466736606	0.49996394095572083
balanced	conditional_null	0.5	building_equal	standardized_max	600	18	0.03	0.01905925662590196	0.046920742326976704	0.49996394095572083
balanced	conditional_null	0.5	room_equal	cv_retrained	600	25	0.041666666666666664	0.02837972965493859	0.06078516294095374	0.49996394095572083
balanced	conditional_null	0.5	room_equal	cv_standardized	600	28	0.04666666666666667	0.03248188567095377	0.06661938991480156	0.5003718798283514
balanced	conditional_null	0.5	room_equal	mantel	600	19	0.03166666666666667	0.020364911485651824	0.048927215130514526	0.49996394095572083
balanced	conditional_null	0.5	room_equal	nested_max	600	22	0.03666666666666667	0.024336895975690734	0.05489161363033859	0.49996394095572083
balanced	conditional_null	0.5	room_equal	profile	600	21	0.035	0.023004350476005058	0.052912031466736606	0.49996394095572083
balanced	conditional_null	0.5	room_equal	standardized_max	600	18	0.03	0.01905925662590196	0.046920742326976704	0.49996394095572083
balanced	conditional_null	0.5	sqrt_rooms	cv_retrained	600	25	0.041666666666666664	0.02837972965493859	0.06078516294095374	0.49996394095572083
balanced	conditional_null	0.5	sqrt_rooms	cv_standardized	600	28	0.04666666666666667	0.03248188567095377	0.06661938991480156	0.5003718798283515
balanced	conditional_null	0.5	sqrt_rooms	mantel	600	19	0.03166666666666667	0.020364911485651824	0.048927215130514526	0.49996394095572083
balanced	conditional_null	0.5	sqrt_rooms	nested_max	600	22	0.03666666666666667	0.024336895975690734	0.05489161363033859	0.49996394095572083
balanced	conditional_null	0.5	sqrt_rooms	profile	600	21	0.035	0.023004350476005058	0.052912031466736606	0.49996394095572083
balanced	conditional_null	0.5	sqrt_rooms	standardized_max	600	18	0.03	0.01905925662590196	0.046920742326976704	0.49996394095572083
balanced	conditional_null	1.0	building_equal	cv_retrained	600	23	0.03833333333333333	0.025677277815960083	0.0568633594533569	0.49993428692139624
balanced	conditional_null	1.0	building_equal	cv_standardized	600	27	0.045	0.03110848866772835	0.0646806592547393	0.5013862348141815
balanced	conditional_null	1.0	building_equal	mantel	600	19	0.03166666666666667	0.020364911485651824	0.048927215130514526	0.49993428692139624
balanced	conditional_null	1.0	building_equal	nested_max	600	22	0.03666666666666667	0.024336895975690734	0.05489161363033859	0.49993428692139624
balanced	conditional_null	1.0	building_equal	profile	600	21	0.035	0.023004350476005058	0.052912031466736606	0.49993428692139624
balanced	conditional_null	1.0	building_equal	standardized_max	600	18	0.03	0.01905925662590196	0.046920742326976704	0.49993428692139624
balanced	conditional_null	1.0	room_equal	cv_retrained	600	23	0.03833333333333333	0.025677277815960083	0.0568633594533569	0.4999342869213962
balanced	conditional_null	1.0	room_equal	cv_standardized	600	27	0.045	0.03110848866772835	0.0646806592547393	0.5013862348141815
balanced	conditional_null	1.0	room_equal	mantel	600	19	0.03166666666666667	0.020364911485651824	0.048927215130514526	0.4999342869213962
balanced	conditional_null	1.0	room_equal	nested_max	600	22	0.03666666666666667	0.024336895975690734	0.05489161363033859	0.4999342869213962
balanced	conditional_null	1.0	room_equal	profile	600	21	0.035	0.023004350476005058	0.052912031466736606	0.4999342869213962
balanced	conditional_null	1.0	room_equal	standardized_max	600	18	0.03	0.01905925662590196	0.046920742326976704	0.4999342869213962
balanced	conditional_null	1.0	sqrt_rooms	cv_retrained	600	23	0.03833333333333333	0.025677277815960083	0.0568633594533569	0.49993428692139624
balanced	conditional_null	1.0	sqrt_rooms	cv_standardized	600	27	0.045	0.03110848866772835	0.0646806592547393	0.5013862348141817
balanced	conditional_null	1.0	sqrt_rooms	mantel	600	19	0.03166666666666667	0.020364911485651824	0.048927215130514526	0.49993428692139624
balanced	conditional_null	1.0	sqrt_rooms	nested_max	600	22	0.03666666666666667	0.024336895975690734	0.05489161363033859	0.49993428692139624
balanced	conditional_null	1.0	sqrt_rooms	profile	600	21	0.035	0.023004350476005058	0.052912031466736606	0.49993428692139624
balanced	conditional_null	1.0	sqrt_rooms	standardized_max	600	18	0.03	0.01905925662590196	0.046920742326976704	0.49993428692139624
balanced	conditional_null	16.0	building_equal	cv_retrained	600	20	0.03333333333333333	0.021680161456561077	0.05092409282289293	0.5063881657862674
balanced	conditional_null	16.0	building_equal	cv_standardized	600	23	0.03833333333333333	0.025677277815960083	0.0568633594533569	0.530811147324283
balanced	conditional_null	16.0	building_equal	mantel	600	19	0.03166666666666667	0.020364911485651824	0.048927215130514526	0.5063881657862674
balanced	conditional_null	16.0	building_equal	nested_max	600	22	0.03666666666666667	0.024336895975690734	0.05489161363033859	0.5063881657862674
balanced	conditional_null	16.0	building_equal	profile	600	21	0.035	0.023004350476005058	0.052912031466736606	0.5063881657862674
