phase	node_strength	dyad_strength	raw_strength_ratio	fisher_z_strength_ratio	dyadic_weight	node_weight	repetitions	n_perm	profile_power	mantel_power	power_difference	paired_standard_error	paired_ci_low	paired_ci_high	profile_only_rejections	mantel_only_rejections	both_reject	neither_reject	maximum_huber_cdelta_pearson_p_difference
external_combined	0.55	0.3	1.8333333333333335	1.9978744647420517	0.35	0.65	800	199	0.1825	0.20125	-0.01875	0.011781194445097301	-0.041841141112390706	0.004341141112390711	37	52	109	602	0.0
external_combined	0.65	0.3	2.166666666666667	2.5048452365454046	0.2	0.8	800	199	0.435	0.38	0.055	0.014882728900453892	0.025829851355110373	0.08417014864488963	94	50	254	402	0.0
external_combined	0.65	0.3	2.166666666666667	2.5048452365454046	0.225	0.775	800	199	0.39	0.34625	0.04375	0.014557982017626342	0.015216355245452368	0.07228364475454763	86	51	226	437	0.0
external_combined	0.65	0.3	2.166666666666667	2.5048452365454046	0.25	0.75	800	199	0.3325	0.3025	0.03	0.013887623360505356	0.002780258213409499	0.0572197417865905	74	50	192	484	0.0
external_combined	0.65	0.3	2.166666666666667	2.5048452365454046	0.275	0.725	800	199	0.2925	0.27	0.0225	0.013094140221303915	-0.0031645148337556724	0.04816451483375567	64	46	170	520	0.0
external_combined	0.65	0.3	2.166666666666667	2.5048452365454046	0.3	0.7	1600	199	0.27625	0.26625	0.01	0.008476875065836532	-0.006614675129039604	0.026614675129039603	100	84	342	1074	0.0
external_combined	0.65	0.3	2.166666666666667	2.5048452365454046	0.325	0.675	1600	199	0.246875	0.236875	0.01	0.008147713837358593	-0.005969519121222842	0.02596951912122284	93	77	302	1128	0.0
external_combined	0.65	0.3	2.166666666666667	2.5048452365454046	0.35	0.65	1600	199	0.215625	0.21125	0.004375	0.007316906642231536	-0.00996613701877381	0.01871613701877381	72	65	273	1190	0.0
external_combined	0.65	0.3	2.166666666666667	2.5048452365454046	0.375	0.625	800	199	0.21375	0.21875	-0.005	0.010758179354741488	-0.026086031535293316	0.016086031535293314	35	39	136	590	0.0
external_combined	0.65	0.3	2.166666666666667	2.5048452365454046	0.4	0.6	800	199	0.19125	0.2075	-0.01625	0.009911115458768821	-0.03567578629918689	0.0031757862991868904	25	38	128	609	0.0
external_combined	0.65	0.3	2.166666666666667	2.5048452365454046	0.425	0.575	800	199	0.17625	0.2	-0.02375	0.009570627880266172	-0.0425084306453217	-0.004991569354678302	20	39	121	620	0.0
external_combined	0.65	0.3	2.166666666666667	2.5048452365454046	0.45	0.55	800	199	0.165	0.1925	-0.0275	0.009309297302715062	-0.04574622271332152	-0.009253777286678477	17	39	115	629	0.0
external_combined	0.65	0.45	1.4444444444444444	1.5995425223489814	0.2	0.8	800	199	0.465	0.4025	0.0625	0.014417941385379546	0.03424083488465609	0.0907591651153439	93	43	279	385	0.0
external_combined	0.65	0.45	1.4444444444444444	1.5995425223489814	0.225	0.775	800	199	0.39	0.36	0.03	0.013075308968846148	0.004372394421061548	0.05562760557893845	67	43	245	445	0.0
external_combined	0.65	0.45	1.4444444444444444	1.5995425223489814	0.25	0.75	800	199	0.35125	0.32625	0.025	0.01235048250160811	0.0007930542968481065	0.0492069457031519	59	39	222	480	0.0
external_combined	0.65	0.45	1.4444444444444444	1.5995425223489814	0.275	0.725	800	199	0.3125	0.30125	0.01125	0.012438757986644521	-0.013129965653823263	0.03562996565382326	54	45	196	505	0.0
external_combined	0.65	0.45	1.4444444444444444	1.5995425223489814	0.3	0.7	800	199	0.28125	0.28	0.00125	0.011799770765258146	-0.021877550699905966	0.024377550699905968	45	44	180	531	0.0
external_combined	0.65	0.45	1.4444444444444444	1.5995425223489814	0.325	0.675	800	199	0.2575	0.265	-0.0075	0.01118418727741629	-0.029421007063735925	0.014421007063735926	37	43	169	551	0.0
external_combined	0.65	0.45	1.4444444444444444	1.5995425223489814	0.35	0.65	800	199	0.2425	0.24375	-0.00125	0.010975478271086818	-0.022761937411330164	0.02026193741133016	38	39	156	567	0.0
external_combined	0.65	0.65	1.0	1.0	0.15	0.85	800	199	0.565	0.48125	0.08375	0.01476710893363431	0.054806466490076755	0.11269353350992325	106	39	346	309	0.0
external_combined	0.65	0.65	1.0	1.0	0.175	0.825	800	199	0.5125	0.44	0.0725	0.014467768760805695	0.04414317322882083	0.10085682677117916	98	40	312	350	0.0
external_combined	0.65	0.65	1.0	1.0	0.2	0.8	800	199	0.4525	0.40375	0.04875	0.013764214975521324	0.02177213864797821	0.0757278613520218	81	42	281	396	0.0
external_combined	0.65	0.65	1.0	1.0	0.225	0.775	800	199	0.40125	0.37375	0.0275	0.013552094361277566	0.0009378950518959712	0.054062104948104026	70	48	251	431	0.0
external_combined	0.65	0.65	1.0	1.0	0.25	0.75	800	199	0.36625	0.35875	0.0075	0.01369906083769225	-0.01935015924187681	0.03435015924187681	63	57	230	450	0.0
external_combined	0.65	0.65	1.0	1.0	0.275	0.725	800	199	0.3225	0.3375	-0.015	0.012370733357596708	-0.03924663738088954	0.009246637380889548	43	55	215	487	0.0
external_combined	0.65	0.65	1.0	1.0	0.3	0.7	800	199	0.29875	0.3225	-0.02375	0.011364147644659145	-0.04602372938353193	-0.0014762706164680763	32	51	207	510	0.0
external_combined	0.65	0.8	0.8125	0.7057072947413578	0.1	0.9	800	199	0.705	0.59	0.115	0.014768764183044158	0.08605322220123346	0.14394677779876655	121	29	443	207	0.0
external_combined	0.65	0.8	0.8125	0.7057072947413578	0.125	0.875	800	199	0.64625	0.54875	0.0975	0.014172800458662054	0.06972131110102238	0.12527868889897764	107	29	410	254	0.0
external_combined	0.65	0.8	0.8125	0.7057072947413578	0.15	0.85	800	199	0.5875	0.49625	0.09125	0.014058853476594222	0.06369464718587532	0.11880535281412467	103	30	367	300	0.0
external_combined	0.65	0.8	0.8125	0.7057072947413578	0.175	0.825	800	199	0.53375	0.46125	0.0725	0.01368992165586347	0.0456677535545076	0.09933224644549239	91	33	336	340	0.0
external_combined	0.65	0.8	0.8125	0.7057072947413578	0.2	0.8	800	199	0.4875	0.43625	0.05125	0.013407236455053	0.024971816548096118	0.07752818345190388	79	38	311	372	0.0
external_combined	0.65	0.8	0.8125	0.7057072947413578	0.225	0.775	800	199	0.4475	0.42625	0.02125	0.013156344805294316	-0.004536435818376858	0.04703643581837686	64	47	294	395	0.0
external_combined	0.65	0.8	0.8125	0.7057072947413578	0.25	0.75	800	199	0.40375	0.41375	-0.01	0.013113540948014158	-0.03570254025810775	0.01570254025810775	51	59	272	418	0.0
external_combined	0.75	0.3	2.5	3.143436025749076	0.25	0.75	800	199	0.4225	0.38875	0.03375	0.012637773281591031	0.008979964368081583	0.05852003563191842	65	38	273	424	0.0
external_combined	0.75	0.3	2.5	3.143436025749076	0.275	0.725	800	199	0.38375	0.35	0.03375	0.012637773281591031	0.008979964368081583	0.05852003563191842	65	38	242	455	0.0
external_combined	0.75	0.3	2.5	3.143436025749076	0.3	0.7	800	199	0.34625	0.31375	0.0325	0.011676905632762712	0.009613264959785088	0.055386735040214914	57	31	220	492	0.0
external_combined	0.75	0.3	2.5	3.143436025749076	0.325	0.675	800	199	0.31375	0.28625	0.0275	0.01114495176918329	0.0056558945324007535	0.04934410546759925	51	29	200	520	0.0
external_combined	0.75	0.3	2.5	3.143436025749076	0.35	0.65	800	199	0.28625	0.26125	0.025	0.01156550695771639	0.002331606362875875	0.04766839363712413	53	33	176	538	0.0
external_combined	0.75	0.3	2.5	3.143436025749076	0.375	0.625	800	199	0.24625	0.25125	-0.005	0.010463297795195293	-0.025508063678582774	0.015508063678582772	33	37	164	566	0.0
external_combined	0.75	0.3	2.5	3.143436025749076	0.4	0.6	800	199	0.22875	0.22625	0.0025	0.01016101595838887	-0.017415591278442187	0.022415591278442185	34	32	149	585	0.0
external_combined	0.75	0.3	2.5	3.143436025749076	0.425	0.575	800	199	0.2	0.205	-0.005	0.009524029290032487	-0.023667097408463678	0.013667097408463676	27	31	133	609	0.0
external_combined	0.75	0.3	2.5	3.143436025749076	0.45	0.55	800	199	0.18125	0.19375	-0.0125	0.009678418115659547	-0.03146969950669271	0.006469699506692711	25	35	120	620	0.0
