section	source_file	kind	background	n	k_extremes	scenario	target_corr	selected_magnitude	alpha	repetitions	n_perm	reject_count	rejection_rate	wilson_low	wilson_high	mean_norm	mean_corr	mean_p	p05	p50	p95	mean_index_overlap
lower_target_l2_target_0.35	lower_target_calibration_20260715.tsv	l2	lognormal	40	3	matched	0.35	2.5	0.05	500	499	226	0.452	0.4089	0.4958	0.9341	0.3197	0.0658	0.002	0.058	0.1661	3.0
lower_target_l2_target_0.35	lower_target_calibration_20260715.tsv	l2	lognormal	40	3	negative_control	0.35	2.5	0.05	500	499	15	0.03	0.0183	0.0489	0.9015	-0.0229	0.5465	0.07	0.585	0.946	0.0
lower_target_l2_target_0.35	lower_target_calibration_20260715.tsv	l2	lognormal	40	3	independent_null	0.35	2.5	0.05	500	499	21	0.042	0.0276	0.0634	0.9008	0.0016	0.498	0.054	0.52	0.948	0.204
lower_target_l1_target_0.35	lower_target_l1_calibration_20260716.tsv	l1	normal	40	1	matched	0.35	3.0	0.05	500	499	321	0.642	0.599	0.6828	0.9182	0.3561	0.0554	0.004	0.034	0.1885	1.0
lower_target_l1_target_0.35	lower_target_l1_calibration_20260716.tsv	l1	normal	40	1	negative_control	0.35	3.0	0.05	500	499	17	0.034	0.0213	0.0538	0.8699	-0.005	0.5066	0.0659	0.52	0.948	0.0
lower_target_l1_target_0.35	lower_target_l1_calibration_20260716.tsv	l1	normal	40	1	independent_null	0.35	3.0	0.05	500	499	21	0.042	0.0276	0.0634	0.8703	0.0003	0.4978	0.06	0.515	0.9401	0.02
lower_target_l1_target_0.35	lower_target_l1_calibration_20260716.tsv	l1	normal	40	2	matched	0.35	2.5	0.05	500	499	339	0.678	0.6358	0.7175	0.9269	0.3573	0.0544	0.002	0.02	0.2302	2.0
lower_target_l1_target_0.35	lower_target_l1_calibration_20260716.tsv	l1	normal	40	2	negative_control	0.35	2.5	0.05	500	499	18	0.036	0.0229	0.0562	0.8842	-0.0096	0.5201	0.064	0.558	0.9541	0.0
lower_target_l1_target_0.35	lower_target_l1_calibration_20260716.tsv	l1	normal	40	2	independent_null	0.35	2.5	0.05	500	499	19	0.038	0.0245	0.0586	0.8839	0.001	0.496	0.072	0.475	0.9464	0.1
lower_target_l1_target_0.35	lower_target_l1_calibration_20260716.tsv	l1	normal	40	3	matched	0.35	2.5	0.05	500	499	421	0.842	0.8074	0.8713	0.9367	0.4181	0.0275	0.002	0.008	0.11	3.0
lower_target_l1_target_0.35	lower_target_l1_calibration_20260716.tsv	l1	normal	40	3	negative_control	0.35	2.5	0.05	500	499	11	0.022	0.0123	0.039	0.8835	-0.0344	0.5617	0.09	0.575	0.9641	0.0
lower_target_l1_target_0.35	lower_target_l1_calibration_20260716.tsv	l1	normal	40	3	independent_null	0.35	2.5	0.05	500	499	27	0.054	0.0374	0.0774	0.8901	0.0034	0.4938	0.046	0.497	0.944	0.218
lower_target_l1_target_0.35	lower_target_l1_calibration_20260716.tsv	l1	t3	40	1	matched	0.35	5.5	0.05	500	499	297	0.594	0.5504	0.6362	0.8526	0.3769	0.0649	0.004	0.038	0.222	1.0
