group	metric	method	correlation_with_rejection_rate	bootstrap_low	bootstrap_high	n_rows
n=160	signal_over_q95_noise	spearman	0.8563	0.8039	0.895	162
n=160	signal_over_topk_noise	pearson	0.8275	0.7914	0.8631	162
n=160	signal_over_topk_noise	spearman	0.9539	0.9384	0.9629	162
n=160	signal_over_max_noise	pearson	0.7851	0.7389	0.828	162
n=160	signal_over_max_noise	spearman	0.9137	0.8887	0.9301	162
n=160	mean_corr_from_signal_runs	pearson	0.8503	0.8217	0.8767	162
n=160	mean_corr_from_signal_runs	spearman	0.9702	0.9538	0.9802	162
n=160	mean_norm_from_signal_runs	pearson	0.7023	0.6278	0.7642	162
n=160	mean_norm_from_signal_runs	spearman	0.7928	0.74	0.8332	162
k=1	matched_extreme_to_mean	pearson	0.7668	0.712	0.8182	162
k=1	matched_extreme_to_mean	spearman	0.8299	0.7698	0.8742	162
k=1	background_cv	pearson	-0.6246	-0.6952	-0.5433	162
k=1	background_cv	spearman	-0.6739	-0.7453	-0.5885	162
k=1	background_q90_to_mean	pearson	0.2501	0.0963	0.3935	162
k=1	background_q90_to_mean	spearman	0.2368	0.0815	0.3765	162
k=1	background_q95_to_mean	pearson	-0.3047	-0.441	-0.1614	162
k=1	background_q95_to_mean	spearman	-0.2525	-0.411	-0.0881	162
k=1	background_topk_to_mean	pearson	-0.6584	-0.7267	-0.5888	162
k=1	background_topk_to_mean	spearman	-0.7163	-0.7773	-0.6361	162
k=1	background_max_to_mean	pearson	-0.6584	-0.7228	-0.5884	162
k=1	background_max_to_mean	spearman	-0.7163	-0.7776	-0.637	162
k=1	signal_over_q90_noise	pearson	0.7858	0.7329	0.8328	162
k=1	signal_over_q90_noise	spearman	0.846	0.7863	0.8858	162
k=1	signal_over_q95_noise	pearson	0.8376	0.8023	0.8747	162
k=1	signal_over_q95_noise	spearman	0.9108	0.8759	0.9319	162
k=1	signal_over_topk_noise	pearson	0.8944	0.8665	0.9213	162
k=1	signal_over_topk_noise	spearman	0.9696	0.956	0.9766	162
k=1	signal_over_max_noise	pearson	0.8944	0.8681	0.9225	162
k=1	signal_over_max_noise	spearman	0.9696	0.9555	0.9757	162
k=1	mean_corr_from_signal_runs	pearson	0.8736	0.8411	0.904	162
k=1	mean_corr_from_signal_runs	spearman	0.9186	0.8833	0.9399	162
k=1	mean_norm_from_signal_runs	pearson	0.7159	0.658	0.7709	162
k=1	mean_norm_from_signal_runs	spearman	0.7714	0.7081	0.8176	162
k=2	matched_extreme_to_mean	pearson	0.6598	0.5949	0.725	162
k=2	matched_extreme_to_mean	spearman	0.7651	0.6799	0.8294	162
k=2	background_cv	pearson	-0.621	-0.7059	-0.5295	162
k=2	background_cv	spearman	-0.6894	-0.763	-0.6063	162
k=2	background_q90_to_mean	pearson	0.2679	0.1003	0.4246	162
k=2	background_q90_to_mean	spearman	0.2628	0.1048	0.409	162
k=2	background_q95_to_mean	pearson	-0.2802	-0.4243	-0.1181	162
k=2	background_q95_to_mean	spearman	-0.2488	-0.4064	-0.0879	162
k=2	background_topk_to_mean	pearson	-0.6303	-0.7188	-0.5352	162
k=2	background_topk_to_mean	spearman	-0.6575	-0.7337	-0.555	162
k=2	background_max_to_mean	pearson	-0.6602	-0.7394	-0.5721	162
k=2	background_max_to_mean	spearman	-0.7124	-0.7797	-0.6337	162
k=2	signal_over_q90_noise	pearson	0.6736	0.6005	0.7335	162
k=2	signal_over_q90_noise	spearman	0.7743	0.692	0.835	162
k=2	signal_over_q95_noise	pearson	0.7311	0.6773	0.7858	162
k=2	signal_over_q95_noise	spearman	0.8627	0.8023	0.9031	162
k=2	signal_over_topk_noise	pearson	0.8199	0.782	0.8603	162
k=2	signal_over_topk_noise	spearman	0.9585	0.9397	0.9683	162
k=2	signal_over_max_noise	pearson	0.8092	0.7667	0.8517	162
k=2	signal_over_max_noise	spearman	0.9585	0.9419	0.968	162
k=2	mean_corr_from_signal_runs	pearson	0.8411	0.7982	0.8802	162
k=2	mean_corr_from_signal_runs	spearman	0.8853	0.8423	0.9152	162
k=2	mean_norm_from_signal_runs	pearson	0.7246	0.655	0.7855	162
k=2	mean_norm_from_signal_runs	spearman	0.7769	0.7142	0.8235	162
k=3	matched_extreme_to_mean	pearson	0.5896	0.5189	0.6576	162
k=3	matched_extreme_to_mean	spearman	0.6862	0.5911	0.763	162
k=3	background_cv	pearson	-0.601	-0.697	-0.4913	162
k=3	background_cv	spearman	-0.7079	-0.7656	-0.6305	162
k=3	background_q90_to_mean	pearson	0.2903	0.1215	0.4342	162
k=3	background_q90_to_mean	spearman	0.2932	0.1327	0.4307	162
k=3	background_q95_to_mean	pearson	-0.2486	-0.4175	-0.0721	162
k=3	background_q95_to_mean	spearman	-0.2399	-0.4055	-0.0717	162
k=3	background_topk_to_mean	pearson	-0.5807	-0.6937	-0.4632	162
k=3	background_topk_to_mean	spearman	-0.6071	-0.7011	-0.503	162
k=3	background_max_to_mean	pearson	-0.6419	-0.738	-0.5357	162
k=3	background_max_to_mean	spearman	-0.723	-0.7838	-0.6452	162
k=3	signal_over_q90_noise	pearson	0.5947	0.514	0.6657	162
