n	latent_correlation	contamination_fraction	method	repetitions	n_perm	rejection_rate	wilson_low	wilson_high	mean_cdelta_minus_one	mean_profile_correlation
40	0.5	0.0	huber_primary	1200	499	0.8125	0.789431940526446	0.8335736840968446	0.10508257070975446	0.40809360501646275
40	0.5	0.0	huber_cap6	1200	499	0.8125	0.789431940526446	0.8335736840968446	0.10506294071163347	0.40809147095719656
40	0.5	0.05	original_l2	1200	499	0.043333333333333335	0.03319710174469772	0.0563840121391335	0.0005934881459042085	0.0016777785983659236
40	0.5	0.05	huber_primary	1200	499	0.05	0.039041012521836546	0.06383088802062488	0.031885406671844585	0.007525307142079453
40	0.5	0.05	huber_cap6	1200	499	0.0725	0.05915239693022244	0.0885759085851159	0.05257959739513418	0.03511191449869427
40	0.7	0.0	original_l2	1200	499	0.975	0.9645356400225766	0.982432909404825	0.030078110783441137	0.5898469464109631
40	0.7	0.0	huber_primary	1200	499	0.9708333333333333	0.9597073089889877	0.9789544987767701	0.14788241476734654	0.5830241689163395
40	0.7	0.0	huber_cap6	1200	499	0.9708333333333333	0.9597073089889877	0.9789544987767701	0.1476339307844743	0.5828876503421718
40	0.7	0.05	original_l2	1200	499	0.055	0.043463582072856735	0.06937640846357733	0.0013861892909483586	0.003984478979532547
40	0.7	0.05	huber_primary	1200	499	0.0575	0.04568605530313232	0.07213798023028808	0.04813708980443199	0.011360724711196516
40	0.7	0.05	huber_cap6	1200	499	0.08583333333333333	0.07127628685086342	0.10303359198173533	0.06811426033794765	0.0477518978856457
80	0.0	0.0	original_l2	1200	499	0.049166666666666664	0.03830703804746354	0.06290351416266911	-7.44739515535775e-05	-0.0026671159895761292
80	0.0	0.0	huber_primary	1200	499	0.04833333333333333	0.037574011009416555	0.06197519286838732	-0.00047647327146327356	-0.003320889664050648
80	0.0	0.0	huber_cap6	1200	499	0.04833333333333333	0.037574011009416555	0.06197519286838732	-0.00047503697903850117	-0.0033177210186754813
80	0.0	0.05	original_l2	1200	499	0.04833333333333333	0.037574011009416555	0.06197519286838732	-9.801805595832658e-05	-0.00021825697348477113
80	0.0	0.05	huber_primary	1200	499	0.0475	0.03684195434139706	0.06104590120407803	-0.002504172828134088	-0.00033659162078475007
80	0.0	0.05	huber_cap6	1200	499	0.0475	0.03684195434139706	0.06104590120407803	0.00013759329930818076	-0.0003551249823904029
80	0.1	0.0	original_l2	1200	499	0.14166666666666666	0.12307880679953022	0.16254141029909644	0.0038126819504202825	0.07479269284805976
80	0.1	0.0	huber_primary	1200	499	0.15916666666666668	0.13956023540782653	0.18094829666970447	0.01928010417565429	0.081288458792965
80	0.1	0.0	huber_cap6	1200	499	0.15916666666666668	0.13956023540782653	0.18094829666970447	0.01928010417565429	0.081288458792965
80	0.1	0.05	original_l2	1200	499	0.05333333333333334	0.04198595756592827	0.06753133630584826	0.0020021068409816767	0.005827337258157879
80	0.1	0.05	huber_primary	1200	499	0.0475	0.03684195434139706	0.06104590120407803	0.032789565847119784	0.007890234078928764
80	0.1	0.05	huber_cap6	1200	499	0.06166666666666667	0.04940522288254483	0.07672555431251947	0.0220333336630405	0.013134894301088128
80	0.2	0.0	original_l2	1200	499	0.36333333333333334	0.3365970327934408	0.39094184070464	0.008439836406654466	0.1635628920515004
80	0.2	0.0	huber_primary	1200	499	0.42083333333333334	0.39319662265354866	0.44897528577521767	0.04133150859546619	0.17339069982223818
80	0.2	0.0	huber_cap6	1200	499	0.42083333333333334	0.39319662265354866	0.44897528577521767	0.04133150859546619	0.17339069982223818
80	0.2	0.05	original_l2	1200	499	0.0425	0.032471408616991965	0.05544835693451049	-0.0004718719175559327	-0.0013730639937238678
80	0.2	0.05	huber_primary	1200	499	0.04583333333333333	0.035380848837991884	0.05918431004282566	0.003051491423276431	0.000546810445170779
80	0.2	0.05	huber_cap6	1200	499	0.05583333333333333	0.04420361839753011	0.07029772047123273	0.015958799455515926	0.009648833458232125
80	0.3	0.0	original_l2	1200	499	0.635	0.6073703226528562	0.6617681071844055	0.012341092757829575	0.24290749689346589
80	0.3	0.0	huber_primary	1200	499	0.7166666666666667	0.6905110256785041	0.7414395407269774	0.06033085631772561	0.25676967416144125
80	0.3	0.0	huber_cap6	1200	499	0.7166666666666667	0.6905110256785041	0.7414395407269774	0.060308606559461575	0.25674083972571526
80	0.3	0.05	original_l2	1200	499	0.051666666666666666	0.04051171663917239	0.06568288056794659	0.00280498107804239	0.008156317783767915
80	0.3	0.05	huber_primary	1200	499	0.06416666666666666	0.05164513089868225	0.07946969129336834	0.047866939595146984	0.011407517633383166
80	0.3	0.05	huber_cap6	1200	499	0.09083333333333334	0.07585322452274126	0.10842474430383015	0.04073068695232762	0.02496144218365458
80	0.5	0.0	original_l2	1200	499	0.9608333333333333	0.9483062230574887	0.970419404720324	0.02174539870187564	0.4250106459119674
80	0.5	0.0	huber_primary	1200	499	0.98	0.9704129080935024	0.9865237313278719	0.10406516683442768	0.44076035110039524
80	0.5	0.0	huber_cap6	1200	499	0.98	0.9704129080935024	0.9865237313278719	0.10406516683442768	0.44076035110039524
80	0.5	0.05	original_l2	1200	499	0.0525	0.041248404856606004	0.06660754068284175	0.0011377318228982247	0.003387827680920159
80	0.5	0.05	huber_primary	1200	499	0.06666666666666667	0.053890931096324014	0.08220793609271289	0.039016405931639575	0.009492750993583961
80	0.5	0.05	huber_cap6	1200	499	0.10333333333333333	0.08735769061027265	0.12184050320123035	0.053587724322331276	0.033014100038200975
80	0.7	0.0	original_l2	1200	499	1.0	0.9968089993972651	1.0	0.03230468434700895	0.6238098008739043
80	0.7	0.0	huber_primary	1200	499	1.0	0.9968089993972651	1.0	0.15082523633643174	0.6317283546960999
80	0.7	0.0	huber_cap6	1200	499	1.0	0.9968089993972651	1.0	0.15082523633643174	0.6317283546960999
80	0.7	0.05	original_l2	1200	499	0.04666666666666667	0.03611089196253996	0.060115615250606366	0.0010356402882403248	0.0029650851425835558
80	0.7	0.05	huber_primary	1200	499	0.06916666666666667	0.056142321206953394	0.08494059097906986	0.049944755544500286	0.011690558114434315
80	0.7	0.05	huber_cap6	1200	499	0.1225	0.10514486973453341	0.14226433572053143	0.07360375689352128	0.04567591640853677
160	0.0	0.0	original_l2	1200	499	0.045	0.034651851044372725	0.058251959504116047	-0.0003203762041554814	-0.006325101214402533
