tau	n	replication	root_seed	sign_mean	sample_mean_x	sample_mean_y	sample_median_x	sample_median_y	stage	estimate	historical_C	se_stage_aware	se_direct_only	reject_stage_aware	reject_direct_only	reference_x	reference_y	scale_x	scale_y	active_fraction_x	active_fraction_y	score_residual_max	root_gap_in_scale_units	error
0.1	640	1817	2026090901	-0.025	-0.022806476761879652	-0.02972783594993835	-0.8198188383289111	-0.8313346861150807	population_scale	0.01505533579244616	1.0001583474693647	0.1856170413839102	0.038918351289608806	0	0	-0.022806476761879642	-0.029727835949938306	1.4826	1.4826	1.0	1.0	3.8857805861880476e-17	0.0	
0.1	640	1817	2026090901	-0.025	-0.022806476761879652	-0.02972783594993835	-0.8198188383289111	-0.8313346861150807	population_median	0.01505533579244616	1.0001583474693647	0.1856170413839102	0.038918351289608806	0	0	-0.022806476761879642	-0.02972783594993831	1.4890004302517403	1.4930850140764755	1.0	1.0	3.8857805861880476e-17	0.0	
0.1	640	1817	2026090901	-0.025	-0.022806476761879652	-0.02972783594993835	-0.8198188383289111	-0.8313346861150807	full_fit	0.8078623789162341	1.04406940971088	0.32266321575625917	0.010105156769886336	1	1	-0.21826307942522707	-0.2080361025813619	0.5845791824797	0.5966221232824154	0.25625	0.246875	8.352566416292007e-11	3.383317820465241e-10	
0.1	640	1818	2026090901	-0.0125	-0.017594607857690465	-0.009825035438320261	-0.8050112387414827	-0.8065359382490636	population_reference	-0.046138971887191946	0.9995579851134684	0.0399830767039627	0.0399830767039627	0	0	0.0	0.0	1.4826	1.4826	1.0	1.0	0.011867400416626492	0.0	
0.1	640	1818	2026090901	-0.0125	-0.017594607857690465	-0.009825035438320261	-0.8050112387414827	-0.8065359382490636	population_scale	-0.027978105093166627	0.9997279735771232	0.11272496241022528	0.03962801381553507	0	0	-0.017594607857690434	-0.009825035438320282	1.4826	1.4826	1.0	1.0	4.8572257327350596e-18	0.0	
0.1	640	1818	2026090901	-0.0125	-0.017594607857690465	-0.009825035438320261	-0.8050112387414827	-0.8065359382490636	population_median	-0.027978105093166648	0.9997279735771232	0.11272496241022527	0.03962801381553507	0	0	-0.01759460785769042	-0.009825035438320235	1.4794042264826064	1.4828192584563604	1.0	1.0	1.1102230246251566e-17	0.0	
0.1	640	1818	2026090901	-0.0125	-0.017594607857690465	-0.009825035438320261	-0.8050112387414827	-0.8065359382490636	full_fit	0.5708939987602947	1.0135150781943922	1.2898122023598884	0.022671298527322355	0	1	-0.1335717136338317	-0.10652911997145664	0.6177557445265187	0.6350856257831669	0.1671875	0.178125	9.833000802483838e-11	5.881421197976917e-10	
0.1	640	1819	2026090901	0.015625	0.014581028417455965	0.014127777387901863	0.8034493018810829	0.795560214612751	population_reference	0.026072584775772487	1.000250145965025	0.038442744793269104	0.038442744793269104	0	0	0.0	0.0	1.4826	1.4826	1.0	1.0	0.009834768931239695	0.0	
0.1	640	1819	2026090901	0.015625	0.014581028417455965	0.014127777387901863	0.8034493018810829	0.795560214612751	population_scale	0.05007717208213067	1.0004928068930878	0.12499741717577746	0.03854985987422831	0	0	0.014581028417455962	0.014127777387901833	1.4826	1.4826	1.0	1.0	1.5265566588595904e-17	0.0	
0.1	640	1819	2026090901	0.015625	0.014581028417455965	0.014127777387901863	0.8034493018810829	0.795560214612751	population_median	0.050077172082130826	1.0004928068930878	0.12499741717577784	0.0385498598742283	0	0	0.014581028417456012	0.01412777738790188	1.4739752602489586	1.4865141376234767	1.0	1.0	6.38378239159465e-17	0.0	
0.1	640	1819	2026090901	0.015625	0.014581028417455965	0.014127777387901863	0.8034493018810829	0.795560214612751	full_fit	0.4851741363519195	1.0096220462659018	1.412569938069698	0.02819658200651314	0	1	0.07116327123661684	0.12846818721063616	0.6736364089518255	0.6235686483392213	0.240625	0.1890625	9.198319744774253e-11	4.865226850606078e-10	
0.1	640	1820	2026090901	-0.01875	-0.020790298391333253	-0.021503247104488192	-0.8059767801674851	-0.8327185987307615	population_reference	-0.036608684168483174	0.9996501891157692	0.03631169155834458	0.03631169155834458	0	0	0.0	0.0	1.4826	1.4826	1.0	1.0	0.01450374147071915	0.0	
0.1	640	1820	2026090901	-0.01875	-0.020790298391333253	-0.021503247104488192	-0.8059767801674851	-0.8327185987307615	population_scale	-0.0003444086345482354	0.9999965869017959	0.1533330627003616	0.03600005189727251	0	0	-0.020790298391333242	-0.021503247104488178	1.4826	1.4826	1.0	1.0	1.3877787807814457e-17	0.0	
0.1	640	1820	2026090901	-0.01875	-0.020790298391333253	-0.021503247104488192	-0.8059767801674851	-0.8327185987307615	population_median	-0.0003444086345481174	0.9999965869017959	0.15333306270036173	0.036000051897272504	0	0	-0.020790298391333284	-0.02150324710448823	1.4841219229932272	1.4823997645283407	1.0	1.0	2.7755575615628914e-17	0.0	
0.1	640	1820	2026090901	-0.01875	-0.020790298391333253	-0.021503247104488192	-0.8059767801674851	-0.8327185987307615	full_fit	0.571925029466545	1.019932417962371	1.1468424684616612	0.02410353851734203	0	1	-0.08283964832059976	-0.2549487265854483	0.6772886153401076	0.5400478566808617	0.2546875	0.203125	9.339229389837556e-11	4.5977744467442386e-10	
0.1	640	1821	2026090901	-0.0125	-0.015330480908662436	-0.012614033700938946	-0.7860974518953527	-0.8065453853831569	population_reference	0.07713592354536107	1.0007756087322452	0.04096270417553529	0.04096270417553529	0	0	0.0	0.0	1.4826	1.4826	1.0	1.0	0.010340267711225166	0.0	
0.1	640	1821	2026090901	-0.0125	-0.015330480908662436	-0.012614033700938946	-0.7860974518953527	-0.8065453853831569	population_scale	0.09127824379092796	1.0009320296002404	0.09658474790421337	0.04086247423537965	0	1	-0.015330480908662469	-0.012614033700938951	1.4826	1.4826	1.0	1.0	5.2735593669694933e-17	0.0	
0.1	640	1821	2026090901	-0.0125	-0.015330480908662436	-0.012614033700938946	-0.7860974518953527	-0.8065453853831569	population_median	0.0912782437909278	1.0009320296002404	0.09658474790421294	0.04086247423537965	0	1	-0.015330480908662401	-0.012614033700938998	1.4752051683551792	1.48647130871526	1.0	1.0	5.412337245047638e-17	0.0	
0.1	640	1821	2026090901	-0.0125	-0.015330480908662436	-0.012614033700938946	-0.7860974518953527	-0.8065453853831569	full_fit	0.41489607957295005	1.0066932350780333	1.5713030943589865	0.030901430241104862	0	1	-0.0688420879642784	-0.09009824604002294	0.6681978295517902	0.6476010738802879	0.2015625	0.1890625	8.590916589223951e-11	4.420795834127463e-10	
0.1	640	1822	2026090901	0.034375	0.03419460215856817	0.032896988625685054	0.8303699812763565	0.8194885235629874	population_reference	-0.013639621812080527	0.9998758599481651	0.03676904101981987	0.03676904101981987	0	0	0.0	0.0	1.4826	1.4826	1.0	1.0	0.02306394317993267	0.0	
0.1	640	1822	2026090901	0.034375	0.03419460215856817	0.032896988625685054	0.8303699812763565	0.8194885235629874	population_scale	0.10267752799783837	1.0010582153705032	0.23860117255830723	0.03576895333853561	0	1	0.034194602158568184	0.032896988625685054	1.4826	1.4826	1.0	1.0	1.3877787807814457e-17	0.0	
0.1	640	1822	2026090901	0.034375	0.03419460215856817	0.032896988625685054	0.8303699812763565	0.8194885235629874	population_median	0.1026775279978385	1.0010582153705032	0.23860117255830735	0.03576895333853561	0	1	0.03419460215856814	0.03289698862568509	1.4871390745174073	1.4602243715539813	1.0	1.0	4.85722573273506e-17	0.0	
0.1	640	1822	2026090901	0.034375	0.03419460215856817	0.032896988625685054	0.8303699812763565	0.8194885235629874	full_fit	0.9142129292257879	1.1024738388559823	0.08554866230188073	0.004553951319554309	1	1	0.3436720181780136	0.2900603984475733	0.5024347946728687	0.5351255871058985	0.2890625	0.3140625	7.306996396838627e-11	2.3266068552619428e-10	
0.1	640	1823	2026090901	0.04375	0.04000917975822587	0.04174985363881473	0.8375157739592838	0.8505071408949055	population_reference	-0.033024764268190565	0.9996653327932504	0.03800092724401096	0.03800092724401096	0	0	0.0	0.0	1.4826	1.4826	1.0	1.0	0.02815989048888084	0.0	
0.1	640	1823	2026090901	0.04375	0.04000917975822587	0.04174985363881473	0.8375157739592838	0.8505071408949055	population_scale	0.13019106349525	1.0015723923793407	0.2513098195383682	0.035716852490960155	0	1	0.04000917975822588	0.04174985363881473	1.4826	1.4826	1.0	1.0	1.5959455978986624e-17	0.0	
0.1	640	1823	2026090901	0.04375	0.04000917975822587	0.04174985363881473	0.8375157739592838	0.8505071408949055	population_median	0.13019106349525	1.0015723923793407	0.2513098195383682	0.035716852490960155	0	1	0.040009179758225884	0.0417498536388147	1.476832448592065	1.487506630219144	1.0	1.0	1.457167719820518e-17	0.0	
0.1	640	1823	2026090901	0.04375	0.04000917975822587	0.04174985363881473	0.8375157739592838	0.8505071408949055	full_fit	0.912001305753425	1.111801173472247	0.07438316123965155	0.004746473923294553	1	1	0.3212913812057597	0.33777218650881663	0.5266712581181192	0.5234252077530165	0.340625	0.346875	5.57848087168189e-11	1.637719974457027e-10	
0.1	640	1824	2026090901	0.015625	0.010665394534175763	0.015333771990381505	0.7989130045469491	0.7963370356517834	population_reference	0.0214167173958657	1.0002087338185446	0.038346390518309154	0.038346390518309154	0	0	0.0	0.0	1.4826	1.4826	1.0	1.0	0.010342487515433364	0.0	
0.1	640	1824	2026090901	0.015625	0.010665394534175763	0.015333771990381505	0.7989130045469491	0.7963370356517834	population_scale	0.04521177740040258	1.00045128417833	0.1254724491046016	0.03834116535789294	0	0	0.010665394534175705	0.015333771990381466	1.4826	1.4826	1.0	1.0	3.7470027081099036e-17	0.0	
0.1	640	1824	2026090901	0.015625	0.010665394534175763	0.015333771990381505	0.7989130045469491	0.7963370356517834	population_median	0.04521177740040258	1.00045128417833	0.1254724491046016	0.03834116535789294	0	0	0.010665394534175723	0.01533377199038149	1.4955527175462424	1.4866408464766963	1.0	1.0	4.163336342344337e-17	0.0	
0.1	640	1824	2026090901	0.015625	0.010665394534175763	0.015333771990381505	0.7989130045469491	0.7963370356517834	full_fit	0.6786447848088443	1.020285530723153	0.8457745333216877	0.01741703199473605	0	1	0.1435215516739846	0.13551763896732744	0.6145655587039018	0.6241712922320705	0.1890625	0.19375	1.0397634697678627e-10	5.499574667732424e-10	
0.1	640	1825	2026090901	-0.028125	-0.023625739153599966	-0.03381069024515365	-0.823817726623563	-0.8411007781125666	population_reference	0.0043673620670713065	1.0000433037381629	0.03966680508328385	0.03966680508328385	0	0	0.0	0.0	1.4826	1.4826	1.0	1.0	0.02280499814188159	0.0	
0.1	640	1825	2026090901	-0.028125	-0.023625739153599966	-0.03381069024515365	-0.823817726623563	-0.8411007781125666	population_scale	0.08044441215020379	1.0008605365246268	0.19173023921575655	0.03909240505389559	0	1	-0.023625739153599983	-0.033810690245153624	1.4826	1.4826	1.0	1.0	3.3306690738754695e-17	0.0	
0.1	640	1825	2026090901	-0.028125	-0.023625739153599966	-0.03381069024515365	-0.823817726623563	-0.8411007781125666	population_median	0.08044441215020379	1.0008605365246268	0.19173023921575655	0.03909240505389559	0	1	-0.02362573915359999	-0.033810690245153645	1.4814953570109795	1.480183286618692	1.0	1.0	3.8857805861880476e-17	0.0	
0.1	640	1825	2026090901	-0.028125	-0.023625739153599966	-0.03381069024515365	-0.823817726623563	-0.8411007781125666	full_fit	0.8729650196694357	1.0684877108205655	0.16230489771740358	0.00717291274856762	1	1	-0.25970671242106785	-0.2637982403614009	0.5554852938999727	0.5556654882801652	0.2796875	0.2703125	9.025253044914195e-11	3.338822007938184e-10	
0.1	640	1826	2026090901	0.021875	0.02548091570709702	0.022562825596243424	0.8291860562917579	0.8240381245856279	population_reference	-0.009872589594827497	0.9999051657171276	0.03808388989966397	0.03808388989966397	0	0	0.0	0.0	1.4826	1.4826	1.0	1.0	0.017186642187438962	0.0	
