n	scenario	method	repetitions	n_perm	rejection_rate	wilson_low	wilson_high	mean_profile_correlation
80	matched_p01_m8	huber_cap8	1500	499	1.0	0.9974455692798185	1.0	0.6070577454297342
80	t2_matched	huber_uncapped	1500	499	0.734	0.7110618388466748	0.7557426875762802	0.35171717309549644
80	t2_matched	huber_cap3	1500	499	0.7066666666666667	0.6831217181458012	0.7291557838231905	0.2448926104867432
80	t2_matched	huber_cap4	1500	499	0.934	0.9202939816175293	0.9454887725173533	0.33340328162229144
80	t2_matched	huber_cap5	1500	499	0.986	0.9786920346546757	0.9908250586853078	0.40134926244987307
80	t2_matched	huber_cap6	1500	499	0.9886666666666667	0.9819247435172263	0.9929120595255831	0.43832666323917235
80	t2_matched	huber_cap8	1500	499	0.976	0.9669538023528023	0.982614379601585	0.4406148796773726
80	unmatched_masking	huber_uncapped	1500	499	0.058666666666666666	0.04786342768227863	0.07172461650006824	0.07100421049722555
80	unmatched_masking	huber_cap3	1500	499	0.3313333333333333	0.30797082592410174	0.3555575353721727	0.1500488293553135
80	unmatched_masking	huber_cap4	1500	499	0.5326666666666666	0.5073663866472939	0.5578000572123207	0.20832682741420597
80	unmatched_masking	huber_cap5	1500	499	0.6293333333333333	0.6045900829557596	0.6534158376312869	0.23750020160477325
80	unmatched_masking	huber_cap6	1500	499	0.5966666666666667	0.5716245993707548	0.6212148773566767	0.23559971935802104
80	unmatched_masking	huber_cap8	1500	499	0.38466666666666666	0.3603703036024817	0.40955225175030685	0.19672081471134636
