family	n	n_blocks	scale_ratio	signal_magnitude	permutation_scheme	method	repetitions	n_perm	rejection_rate	wilson_low	wilson_high	mean_observed_cdelta	mean_permutation_reference
matched_within_block	80	2	4.0	4.0	unrestricted	original_l2	1500	499	0.9786666666666667	0.97003941893791	0.984848472719303	1.1328963307996152	1.0000389540590444
matched_within_block	80	2	4.0	4.0	unrestricted	huber_primary	1500	499	0.9913333333333333	0.9852283335257945	0.9949281792198403	2.0173899547154095	1.0002826487928957
matched_within_block	80	2	4.0	4.0	unrestricted	huber_cap6	1500	499	0.99	0.9835660953982986	0.9939305624959235	1.6470904045213168	1.0001310776994574
matched_within_block	80	2	4.0	4.0	within_block	original_l2	1500	499	0.9166666666666666	0.901592932354254	0.9296117087122615	1.1328963307996152	1.031051778303935
matched_within_block	80	2	4.0	4.0	within_block	huber_primary	1500	499	0.9126666666666666	0.8973046659705769	0.9259204105416999	2.0173899547154095	1.3481303502064095
matched_within_block	80	2	4.0	4.0	within_block	huber_cap6	1500	499	0.7906666666666666	0.76934889032024	0.8104994672877611	1.6470904045213168	1.323359795786511
matched_within_block	80	2	4.0	6.0	unrestricted	original_l2	1500	499	0.9933333333333333	0.9877715110569365	0.9963747839658177	1.2135820180973427	1.0000227561437889
matched_within_block	80	2	4.0	6.0	unrestricted	huber_primary	1500	499	0.998	0.9941361954746901	0.9993195915280091	2.820425409399999	1.000464952838509
matched_within_block	80	2	4.0	6.0	unrestricted	huber_cap6	1500	499	0.998	0.9941361954746901	0.9993195915280091	1.6906478728418666	1.0001990797941198
matched_within_block	80	2	4.0	6.0	within_block	original_l2	1500	499	0.974	0.9646556618268805	0.9809227378503875	1.2135820180973427	1.0243869873635527
matched_within_block	80	2	4.0	6.0	within_block	huber_primary	1500	499	0.9853333333333333	0.9778925767113107	0.9902945892029664	2.820425409399999	1.3495388957965286
matched_within_block	80	2	4.0	6.0	within_block	huber_cap6	1500	499	0.9386666666666666	0.9253675283888986	0.9497247177259288	1.6906478728418666	1.2891647305176153
conditional_null	80	4	2.0	0.0	unrestricted	original_l2	1500	499	0.18933333333333333	0.17031025810548564	0.20994356151532043	1.009973028437888	1.0000003388552248
conditional_null	80	4	2.0	0.0	unrestricted	huber_primary	1500	499	0.21133333333333335	0.19142380773646023	0.2327176169326579	1.062082664782586	1.0000128860602713
conditional_null	80	4	2.0	0.0	unrestricted	huber_cap6	1500	499	0.21133333333333335	0.19142380773646023	0.2327176169326579	1.0620636784018076	1.000012602434776
conditional_null	80	4	2.0	0.0	within_block	original_l2	1500	499	0.036	0.027695588043697456	0.04667492366463097	1.009973028437888	1.0102146829412453
conditional_null	80	4	2.0	0.0	within_block	huber_primary	1500	499	0.038	0.029445029308207155	0.04891526467724054	1.062082664782586	1.0638463460084195
conditional_null	80	4	2.0	0.0	within_block	huber_cap6	1500	499	0.038	0.029445029308207155	0.04891526467724054	1.0620636784018076	1.063828675762014
matched_within_block	80	4	2.0	4.0	unrestricted	original_l2	1500	499	0.9946666666666667	0.9895110786364689	0.9972950712376982	1.1009859321664917	1.000018057959232
matched_within_block	80	4	2.0	4.0	unrestricted	huber_primary	1500	499	0.9946666666666667	0.9895110786364689	0.9972950712376982	1.6079517706326811	1.0001041666411425
matched_within_block	80	4	2.0	4.0	unrestricted	huber_cap6	1500	499	0.9946666666666667	0.9895110786364689	0.9972950712376982	1.5652711505288313	1.0000827454953658
matched_within_block	80	4	2.0	4.0	within_block	original_l2	1500	499	0.9913333333333333	0.9852283335257945	0.9949281792198403	1.1009859321664917	1.0109717575582668
matched_within_block	80	4	2.0	4.0	within_block	huber_primary	1500	499	0.9913333333333333	0.9852283335257945	0.9949281792198403	1.6079517706326811	1.0818165072681383
matched_within_block	80	4	2.0	4.0	within_block	huber_cap6	1500	499	0.992	0.9860686657808817	0.9954177743904598	1.5652711505288313	1.0780266356203614
matched_within_block	80	4	2.0	6.0	unrestricted	original_l2	1500	499	1.0	0.9974455692798185	1.0	1.1807385056888011	1.0000314972084383
matched_within_block	80	4	2.0	6.0	unrestricted	huber_primary	1500	499	1.0	0.9974455692798185	1.0	2.250261212808684	1.0002642028915876
matched_within_block	80	4	2.0	6.0	unrestricted	huber_cap6	1500	499	1.0	0.9974455692798185	1.0	1.9376594572812058	1.000178732861813
matched_within_block	80	4	2.0	6.0	within_block	original_l2	1500	499	1.0	0.9974455692798185	1.0	1.1807385056888011	1.0115574233465787
matched_within_block	80	4	2.0	6.0	within_block	huber_primary	1500	499	1.0	0.9974455692798185	1.0	2.250261212808684	1.1027753448863105
matched_within_block	80	4	2.0	6.0	within_block	huber_cap6	1500	499	1.0	0.9974455692798185	1.0	1.9376594572812058	1.0800166526700778
conditional_null	80	4	4.0	0.0	unrestricted	original_l2	1500	499	0.5526666666666666	0.527401666624523	0.5776626000062844	1.0323628849284687	0.9999881177982918
conditional_null	80	4	4.0	0.0	unrestricted	huber_primary	1500	499	0.6706666666666666	0.64647372098374	0.6939876999971047	1.2382734811138052	0.9999653069784626
conditional_null	80	4	4.0	0.0	unrestricted	huber_cap6	1500	499	0.6726666666666666	0.6485054627471664	0.6959457405107975	1.2367646359074111	0.9999661189906337
conditional_null	80	4	4.0	0.0	within_block	original_l2	1500	499	0.048	0.03828904363175826	0.06002016173928581	1.0323628849284687	1.032553509813405
conditional_null	80	4	4.0	0.0	within_block	huber_primary	1500	499	0.04	0.031201530510343935	0.05114854575222304	1.2382734811138052	1.2398385402090892
conditional_null	80	4	4.0	0.0	within_block	huber_cap6	1500	499	0.04	0.031201530510343935	0.05114854575222304	1.2367646359074111	1.2384894024210322
matched_within_block	80	4	4.0	4.0	unrestricted	original_l2	1500	499	0.982	0.9739373620090142	0.9876001667767309	1.121046948508174	1.0000525053779223
matched_within_block	80	4	4.0	4.0	unrestricted	huber_primary	1500	499	0.9913333333333333	0.9852283335257945	0.9949281792198403	1.8447667152084266	1.0004340048495541
matched_within_block	80	4	4.0	4.0	unrestricted	huber_cap6	1500	499	0.9913333333333333	0.9852283335257945	0.9949281792198403	1.6256351479934112	1.0003480827896987
matched_within_block	80	4	4.0	4.0	within_block	original_l2	1500	499	0.9093333333333333	0.8937379268859743	0.9228375124977705	1.121046948508174	1.0277529802107808
matched_within_block	80	4	4.0	4.0	within_block	huber_primary	1500	499	0.9253333333333333	0.910917556221347	0.937576141379352	1.8447667152084266	1.251990436603393
matched_within_block	80	4	4.0	4.0	within_block	huber_cap6	1500	499	0.9086666666666666	0.8930252928929022	0.922220219065136	1.6256351479934112	1.2251433359897184
matched_within_block	80	4	4.0	6.0	unrestricted	original_l2	1500	499	1.0	0.9974455692798185	1.0	1.2003578157155652	1.00000712764732
matched_within_block	80	4	4.0	6.0	unrestricted	huber_primary	1500	499	1.0	0.9974455692798185	1.0	2.5865067460435083	0.9999433773907189
matched_within_block	80	4	4.0	6.0	unrestricted	huber_cap6	1500	499	1.0	0.9974455692798185	1.0	1.8246755316065744	0.999915665766292
matched_within_block	80	4	4.0	6.0	within_block	original_l2	1500	499	0.9946666666666667	0.9895110786364689	0.9972950712376982	1.2003578157155652	1.0238492133484065
matched_within_block	80	4	4.0	6.0	within_block	huber_primary	1500	499	0.9966666666666667	0.9922205476749006	0.9985753844763858	2.5865067460435083	1.2726986470413624
matched_within_block	80	4	4.0	6.0	within_block	huber_cap6	1500	499	0.996	0.9913004908913017	0.9981655138342782	1.8246755316065744	1.20381396058674
conditional_null	160	2	2.0	0.0	unrestricted	original_l2	1500	499	0.494	0.4687464533319651	0.5192841998366771	1.0163300531014845	1.0000149139288903
conditional_null	160	2	2.0	0.0	unrestricted	huber_primary	1500	499	0.5573333333333333	0.532082448795508	0.5822913098152445	1.1096943962853563	1.0000766772616492
conditional_null	160	2	2.0	0.0	unrestricted	huber_cap6	1500	499	0.5573333333333333	0.532082448795508	0.5822913098152445	1.1096735323508413	1.0000762178278297
conditional_null	160	2	2.0	0.0	within_block	original_l2	1500	499	0.04733333333333333	0.03769502441859292	0.059284253526744726	1.0163300531014845	1.0163572079763767
